evid,evname,prefor,lat,lon,depth,time,nass,ndef,mb,ms,ml,Unknown,UTCtime
121890,201801021710,121890,32.971,35.611,17.0, 1/02/2018 (002) 17:10:56.270,12,12,,1.1,,(002),2018-01-02T17:10:56.270000Z
121891,201801061919,121891,33.674,35.675,1.0, 1/06/2018 (006) 19:21:12.630,17,17,,2.0,1.0,(006),2018-01-06T19:21:12.630000Z
121892,201801070037,121892,33.866,35.328,8.0, 1/07/2018 (007)  0:38:28.050,22,22,,2.7,2.9,(007),2018-01-07T00:38:28.050000Z
121893,201801070209,121893,33.615,35.115,4.0, 1/07/2018 (007)  2:11:20.360,21,21,,2.1,2.0,(007),2018-01-07T02:11:20.360000Z
121894,201801070657,121894,33.081,35.619,0.0, 1/07/2018 (007)  6:58:51.110,7,7,,1.0,,(007),2018-01-07T06:58:51.110000Z
121895,201801072135,121895,29.962,35.08,11.0, 1/07/2018 (007) 21:37:37.440,19,19,,1.7,1.8,(007),2018-01-07T21:37:37.440000Z
121896,201801100308,121896,34.874,33.915,8.0, 1/10/2018 (010)  3:09:13.870,26,26,,2.8,,(010),2018-01-10T03:09:13.870000Z
121897,201801100535,121897,30.191,35.222,9.0, 1/10/2018 (010)  5:37:52.650,14,14,,1.7,,(010),2018-01-10T05:37:52.650000Z
121898,201801102009,121898,32.675,35.191,18.0, 1/10/2018 (010) 20:10:50.410,14,14,,1.6,1.4,(010),2018-01-10T20:10:50.410000Z
121899,201801110612,121899,30.037,35.12,16.0, 1/11/2018 (011)  6:14:01.970,10,10,,1.5,,(011),2018-01-11T06:14:01.970000Z
121900,201801110625,121900,30.052,35.13,17.0, 1/11/2018 (011)  6:26:48.060,8,8,,1.0,,(011),2018-01-11T06:26:48.060000Z
121901,201801121404,121901,33.519,35.875,5.0, 1/12/2018 (012) 14:05:56.490,7,7,,1.5,,(012),2018-01-12T14:05:56.490000Z
121902,201801122302,121902,32.936,35.139,1.0, 1/12/2018 (012) 23:03:55.680,13,13,,1.1,,(012),2018-01-12T23:03:55.680000Z
121903,201801130157,121903,30.201,35.203,17.0, 1/13/2018 (013)  1:58:43.390,10,10,,1.3,,(013),2018-01-13T01:58:43.390000Z
121904,201801131248,121904,32.376,35.564,14.0, 1/13/2018 (013) 12:49:51.890,10,10,,1.5,,(013),2018-01-13T12:49:51.890000Z
121905,201801140006,121905,32.748,35.359,18.0, 1/14/2018 (014)  0:08:49.810,14,14,,0.9,,(014),2018-01-14T00:08:49.810000Z
121906,201801141753,121906,33.559,34.975,9.0, 1/14/2018 (014) 17:54:57.070,13,13,,1.7,,(014),2018-01-14T17:54:57.070000Z
121907,201801150916,121907,33.107,35.619,6.0, 1/15/2018 (015)  9:17:19.730,17,17,,1.5,,(015),2018-01-15T09:17:19.730000Z
121908,201801151112,121908,29.917,35.027,1.0, 1/15/2018 (015) 11:14:41.830,10,10,,1.3,,(015),2018-01-15T11:14:41.830000Z
121909,201801161656,121909,32.988,35.667,9.0, 1/16/2018 (016) 16:57:17.330,10,10,,0.8,,(016),2018-01-16T16:57:17.330000Z
121910,201801170007,121910,32.836,35.646,16.0, 1/17/2018 (017)  0:09:02.900,11,11,,0.9,,(017),2018-01-17T00:09:02.900000Z
121911,201801171439,121911,29.454,32.034,15.0, 1/17/2018 (017) 14:40:23.810,10,10,,2.5,,(017),2018-01-17T14:40:23.810000Z
121912,201801171739,121912,34.025,35.011,7.0, 1/17/2018 (017) 17:41:10.740,17,17,,1.8,,(017),2018-01-17T17:41:10.740000Z
121913,201801180411,121913,32.947,35.562,0.0, 1/18/2018 (018)  4:13:31.100,9,9,,0.8,,(018),2018-01-18T04:13:31.100000Z
121914,201801181618,121914,29.738,35.06,0.0, 1/18/2018 (018) 16:20:09.610,10,10,,1.1,,(018),2018-01-18T16:20:09.610000Z
121915,201801182047,121915,34.84,32.605,31.0, 1/18/2018 (018) 20:47:24.710,27,27,,3.1,,(018),2018-01-18T20:47:24.710000Z
121916,201801201558,121916,32.109,35.396,0.0, 1/20/2018 (020) 16:00:17.120,3,3,,0.9,,(020),2018-01-20T16:00:17.120000Z
121917,201801211413,121917,34.27,33.21,20.0, 1/21/2018 (021) 14:13:26.730,27,27,,2.3,2.1,(021),2018-01-21T14:13:26.730000Z
121918,201801211436,121918,34.27,33.14,20.0, 1/21/2018 (021) 14:36:34.740,24,24,,2.3,2.1,(021),2018-01-21T14:36:34.740000Z
121919,201801212316,121919,31.406,35.325,6.0, 1/21/2018 (021) 23:17:32.480,24,24,,1.5,1.5,(021),2018-01-21T23:17:32.480000Z
121920,201801231618,121920,30.535,35.364,9.0, 1/23/2018 (023) 16:20:05.010,16,16,,1.4,1.3,(023),2018-01-23T16:20:05.010000Z
