evid,evname,prefor,lat,lon,depth,time,nass,ndef,mb,ms,ml,emodelx,emodely,emodelz,Unknown,UTCtime,orid,etype,dtype,msid,mlid,algorithm,auth,lddate
121890,201801021710.0,20579.0,32.9729,35.6076,19.7659, 1/02/2018 (002) 17:10:56.270,12,12,,1.1,,0.150188,0.14345,0.109593,(002),2018-01-02T17:10:56.270000Z,,,,,,,,
121891,201801061919.0,20580.0,33.7225,35.661,5.2315, 1/06/2018 (006) 19:21:12.630,17,17,,2.0,1.0,0.283995,0.514213,0.32293,(006),2018-01-06T19:21:12.630000Z,,,,,,,,
121892,201801070037.0,20581.0,33.8819,35.3199,17.0023, 1/07/2018 (007)  0:38:28.050,22,22,,2.7,2.9,0.674611,0.685559,0.753014,(007),2018-01-07T00:38:28.050000Z,,,,,,,,
121893,201801070209.0,20582.0,33.6422,35.0819,11.4719, 1/07/2018 (007)  2:11:20.360,21,21,,2.1,2.0,0.328042,0.620596,0.640083,(007),2018-01-07T02:11:20.360000Z,,,,,,,,
121894,201801070657.0,20583.0,33.0657,35.6186,0.0, 1/07/2018 (007)  6:58:51.110,7,7,,1.0,,0.173923,0.129962,0.100476,(007),2018-01-07T06:58:51.110000Z,,,,,,,,
121895,201801072135.0,20584.0,29.9619,35.0924,14.1813, 1/07/2018 (007) 21:37:37.440,19,19,,1.7,1.8,0.151849,0.259717,0.162283,(007),2018-01-07T21:37:37.440000Z,,,,,,,,
121896,201801100308.0,20585.0,34.6452,33.8597,0.8363, 1/10/2018 (010)  3:09:13.870,26,26,,2.8,,0.328476,0.584751,0.815242,(010),2018-01-10T03:09:13.870000Z,,,,,,,,
121897,201801100535.0,20586.0,30.1933,35.1999,13.3233, 1/10/2018 (010)  5:37:52.650,14,14,,1.7,,0.236586,0.256756,0.0731342,(010),2018-01-10T05:37:52.650000Z,,,,,,,,
121898,201801102009.0,20587.0,32.6774,35.1832,19.7604, 1/10/2018 (010) 20:10:50.410,14,14,,1.6,1.4,0.178276,0.14424,0.190609,(010),2018-01-10T20:10:50.410000Z,,,,,,,,
121899,201801110612.0,20588.0,30.0354,35.1313,16.5408, 1/11/2018 (011)  6:14:01.970,10,10,,1.5,,0.163618,0.174889,0.330316,(011),2018-01-11T06:14:01.970000Z,,,,,,,,
121900,201801110625.0,20589.0,30.0474,35.1373,18.2376, 1/11/2018 (011)  6:26:48.060,8,8,,1.0,,0.106475,0.14215,0.15595,(011),2018-01-11T06:26:48.060000Z,,,,,,,,
121901,201801121404.0,20590.0,33.5287,35.8907,7.4116, 1/12/2018 (012) 14:05:56.490,7,7,,1.5,,0.140559,0.227647,0.333497,(012),2018-01-12T14:05:56.490000Z,,,,,,,,
121902,201801122302.0,20591.0,32.9348,35.1346,0.0129, 1/12/2018 (012) 23:03:55.680,13,13,,1.1,,0.105887,0.104469,0.120003,(012),2018-01-12T23:03:55.680000Z,,,,,,,,
121903,201801130157.0,20592.0,30.195,35.209,19.8832, 1/13/2018 (013)  1:58:43.390,10,10,,1.3,,0.264836,0.281705,0.374978,(013),2018-01-13T01:58:43.390000Z,,,,,,,,
121904,201801131248.0,20593.0,32.377,35.5702,13.7726, 1/13/2018 (013) 12:49:51.890,10,10,,1.5,,0.176375,0.188497,0.461869,(013),2018-01-13T12:49:51.890000Z,,,,,,,,
121905,201801140006.0,20594.0,32.7491,35.3542,20.9016, 1/14/2018 (014)  0:08:49.810,14,14,,0.9,,0.0995266,0.313218,0.36208,(014),2018-01-14T00:08:49.810000Z,,,,,,,,
121906,201801141753.0,20595.0,33.5426,34.9812,12.1664, 1/14/2018 (014) 17:54:57.070,13,13,,1.7,,0.271305,0.367357,0.378121,(014),2018-01-14T17:54:57.070000Z,,,,,,,,
121907,201801150916.0,20596.0,33.1112,35.6163,11.7266, 1/15/2018 (015)  9:17:19.730,17,17,,1.5,,0.15127,0.214781,0.139022,(015),2018-01-15T09:17:19.730000Z,,,,,,,,
121908,201801151112.0,20597.0,29.9157,35.0266,0.4882, 1/15/2018 (015) 11:14:41.830,10,10,,1.3,,0.140809,0.182081,0.149721,(015),2018-01-15T11:14:41.830000Z,,,,,,,,
121909,201801161656.0,20598.0,32.9988,35.6644,5.178, 1/16/2018 (016) 16:57:17.330,10,10,,0.8,,0.0285526,0.0586142,0.0558228,(016),2018-01-16T16:57:17.330000Z,,,,,,,,
121910,201801170007.0,20599.0,32.8347,35.6508,15.8122, 1/17/2018 (017)  0:09:02.900,11,11,,0.9,,0.145,0.181959,0.187555,(017),2018-01-17T00:09:02.900000Z,,,,,,,,
121911,201801171439.0,20600.0,29.4228,31.957,35.1191, 1/17/2018 (017) 14:40:23.810,10,10,,2.5,,0.889335,0.926262,0.922396,(017),2018-01-17T14:40:23.810000Z,,,,,,,,
121912,201801171739.0,20601.0,34.0716,34.9852,20.148, 1/17/2018 (017) 17:41:10.740,17,17,,1.8,,0.565478,0.565404,0.60229,(017),2018-01-17T17:41:10.740000Z,,,,,,,,
121913,201801180411.0,20602.0,32.9384,35.5714,0.0, 1/18/2018 (018)  4:13:31.100,9,9,,0.8,,0.112402,0.120109,0.105145,(018),2018-01-18T04:13:31.100000Z,,,,,,,,
121914,201801181618.0,20603.0,29.7328,35.0744,0.0, 1/18/2018 (018) 16:20:09.610,10,10,,1.1,,0.0862512,0.106375,0.152696,(018),2018-01-18T16:20:09.610000Z,,,,,,,,
121915,201801182047.0,20604.0,34.8048,32.5911,42.5067, 1/18/2018 (018) 20:47:24.710,27,27,,3.1,,2.29832,1.37552,1.03894,(018),2018-01-18T20:47:24.710000Z,,,,,,,,
121916,201801201558.0,20605.0,32.0748,35.4071,0.5539, 1/20/2018 (020) 16:00:17.120,3,3,,0.9,,0.10173,0.180808,0.164472,(020),2018-01-20T16:00:17.120000Z,,,,,,,,
121917,201801211413.0,20606.0,34.2951,33.1536,37.1807, 1/21/2018 (021) 14:13:26.730,27,27,,2.3,2.1,0.16256,0.451101,1.08586,(021),2018-01-21T14:13:26.730000Z,,,,,,,,
121918,201801211436.0,20607.0,34.3038,33.081,38.5864, 1/21/2018 (021) 14:36:34.740,24,24,,2.3,2.1,0.656869,0.234047,0.459803,(021),2018-01-21T14:36:34.740000Z,,,,,,,,
121919,201801212316.0,20608.0,31.4043,35.3285,9.7174, 1/21/2018 (021) 23:17:32.480,24,24,,1.5,1.5,0.129103,0.129325,0.128751,(021),2018-01-21T23:17:32.480000Z,,,,,,,,
121920,201801231618.0,20609.0,30.5485,35.3469,14.9809, 1/23/2018 (023) 16:20:05.010,16,16,,1.4,1.3,0.192358,0.205606,0.365314,(023),2018-01-23T16:20:05.010000Z,,,,,,,,
121921,201801241546.0,20610.0,34.0838,34.4228,41.5603, 1/24/2018 (024) 15:47:38.420,34,34,,2.6,,0.26712,0.457531,0.679353,(024),2018-01-24T15:47:38.420000Z,,,,,,,,
121922,201801250827.0,20611.0,33.3802,35.8379,6.9636, 1/25/2018 (025)  8:28:39.630,7,7,,1.6,,0.101549,0.142732,0.180537,(025),2018-01-25T08:28:39.630000Z,,,,,,,,
121923,201801251957.0,20612.0,32.91,35.6775,4.4598, 1/25/2018 (025) 19:58:40.020,22,22,,1.9,1.8,0.149659,0.266091,0.308873,(025),2018-01-25T19:58:40.020000Z,,,,,,,,
121924,201801260810.0,20613.0,30.5438,35.0842,11.3622, 1/26/2018 (026)  8:12:09.920,6,6,,1.1,,0.0785987,0.228595,0.139831,(026),2018-01-26T08:12:09.920000Z,,,,,,,,
121925,201801262242.0,20614.0,29.9817,35.1733,11.0587, 1/26/2018 (026) 22:44:02.930,22,22,,2.3,2.2,0.163821,0.175066,0.309121,(026),2018-01-26T22:44:02.930000Z,,,,,,,,
121926,201801271307.0,20615.0,34.5767,33.8461,9.5932, 1/27/2018 (027) 13:08:30.920,33,33,,2.1,,0.551159,0.956885,0.347358,(027),2018-01-27T13:08:30.920000Z,,,,,,,,
121927,201801271518.0,20616.0,34.6973,32.7906,20.6244, 1/27/2018 (027) 15:19:29.100,34,34,,2.4,,0.505873,2.05231,2.18764,(027),2018-01-27T15:19:29.100000Z,,,,,,,,
121928,201801271543.0,20617.0,33.0751,35.6003,13.5364, 1/27/2018 (027) 15:44:59.520,10,10,,1.2,,0.112537,0.0969162,0.140265,(027),2018-01-27T15:44:59.520000Z,,,,,,,,
121929,201801281340.0,20618.0,33.4598,35.7629,20.2699, 1/28/2018 (028) 13:41:50.130,8,8,,1.6,,0.262171,0.181067,0.210229,(028),2018-01-28T13:41:50.130000Z,,,,,,,,
121930,201801291720.0,20619.0,32.8403,35.4065,0.3618, 1/29/2018 (029) 17:21:45.870,20,20,,1.7,1.7,0.201966,0.209055,0.105006,(029),2018-01-29T17:21:45.870000Z,,,,,,,,
121931,201801300136.0,20620.0,33.7685,32.5305,50.0, 1/30/2018 (030)  1:37:36.490,34,34,,2.2,,0.692626,1.12417,0.896815,(030),2018-01-30T01:37:36.490000Z,,,,,,,,
121932,201801301619.0,20621.0,33.5468,35.7287,3.8987, 1/30/2018 (030) 16:20:16.920,16,16,,1.9,,0.178788,0.347449,0.318114,(030),2018-01-30T16:20:16.920000Z,,,,,,,,
121933,201801302213.0,20622.0,32.8055,35.5413,3.8831, 1/30/2018 (030) 22:14:04.740,8,8,,0.6,,0.157819,0.0744876,0.280775,(030),2018-01-30T22:14:04.740000Z,,,,,,,,
121934,201801311541.0,20623.0,32.6047,35.1833,17.8428, 1/31/2018 (031) 15:42:37.070,19,19,,1.7,,0.118879,0.225456,0.211601,(031),2018-01-31T15:42:37.070000Z,,,,,,,,
121935,201802011719.0,20624.0,30.9518,35.4049,0.7767, 2/01/2018 (032) 17:20:58.510,20,20,,1.7,,0.376042,0.11386,0.223525,(032),2018-02-01T17:20:58.510000Z,,,,,,,,
121936,201802011945.0,20625.0,30.7701,35.2957,15.938, 2/01/2018 (032) 19:46:58.240,22,22,,1.6,,0.160544,0.285771,0.480689,(032),2018-02-01T19:46:58.240000Z,,,,,,,,
121937,201802022302.0,20626.0,33.07,35.6232,0.0, 2/02/2018 (033) 23:04:02.610,9,9,,0.3,,0.100905,0.125536,0.132831,(033),2018-02-02T23:04:02.610000Z,,,,,,,,
121938,201802040628.0,20627.0,29.5496,34.9812,23.5044, 2/04/2018 (035)  6:30:10.200,10,10,,1.7,,0.230054,0.311321,0.246059,(035),2018-02-04T06:30:10.200000Z,,,,,,,,
121939,201802040629.0,20628.0,29.5423,34.8682,19.8679, 2/04/2018 (035)  6:30:17.470,10,10,,1.9,1.6,0.0441062,0.0597918,0.235813,(035),2018-02-04T06:30:17.470000Z,,,,,,,,
121940,201802041144.0,20629.0,33.4445,35.6517,1.9211, 2/04/2018 (035) 11:45:34.060,8,8,,1.6,,0.214373,0.247288,0.228868,(035),2018-02-04T11:45:34.060000Z,,,,,,,,
121941,201802050137.0,20630.0,31.5119,35.5248,14.169, 2/05/2018 (036)  1:38:37.120,31,31,,1.4,,0.183726,0.264885,0.196362,(036),2018-02-05T01:38:37.120000Z,,,,,,,,
121942,201802050832.0,20631.0,28.8876,33.2328,8.9378, 2/05/2018 (036)  8:34:33.400,8,8,,2.3,,1.47551,1.50398,1.54826,(036),2018-02-05T08:34:33.400000Z,,,,,,,,
121943,201802051324.0,20632.0,29.0076,33.2719,0.2272, 2/05/2018 (036) 13:24:12.450,10,10,,2.1,,1.47037,1.49403,0.916962,(036),2018-02-05T13:24:12.450000Z,,,,,,,,
121944,201802051851.0,20633.0,33.2506,35.7227,6.6637, 2/05/2018 (036) 18:53:32.140,11,11,,1.5,,0.0750675,0.093089,0.0800752,(036),2018-02-05T18:53:32.140000Z,,,,,,,,
121945,201802070221.0,20634.0,32.4062,36.6957,8.9717, 2/07/2018 (038)  2:22:41.000,15,15,,1.7,,0.531623,0.55988,0.653309,(038),2018-02-07T02:22:41.000000Z,,,,,,,,
121946,201802070239.0,20635.0,29.4559,34.899,9.5342, 2/07/2018 (038)  2:41:03.080,10,10,,1.1,,0.14401,0.157517,0.256287,(038),2018-02-07T02:41:03.080000Z,,,,,,,,
121947,201802070402.0,20636.0,32.404,36.6997,5.7266, 2/07/2018 (038)  4:04:05.070,18,18,,2.2,1.9,0.540717,0.947892,1.10576,(038),2018-02-07T04:04:05.070000Z,,,,,,,,
121948,201802071100.0,20637.0,29.548,34.9784,26.6497, 2/07/2018 (038) 11:01:21.840,20,20,,2.5,2.5,0.150836,0.196333,0.268665,(038),2018-02-07T11:01:21.840000Z,,,,,,,,
121949,201802080115.0,20638.0,34.2803,34.5358,43.1016, 2/08/2018 (039)  1:16:04.480,18,18,,1.8,,0.619034,0.715294,0.720617,(039),2018-02-08T01:16:04.480000Z,,,,,,,,
121950,201802080918.0,20639.0,33.688,36.0002,12.0042, 2/08/2018 (039)  9:20:08.740,9,9,,1.7,,0.475598,0.536453,0.414498,(039),2018-02-08T09:20:08.740000Z,,,,,,,,
121951,201802091015.0,20640.0,29.3938,32.7246,9.1338, 2/09/2018 (040) 10:15:21.050,14,14,,3.2,3.3,0.969802,1.00165,0.999729,(040),2018-02-09T10:15:21.050000Z,,,,,,,,
121952,201802091906.0,20641.0,34.8917,33.6762,0.0358, 2/09/2018 (040) 19:07:26.360,12,12,,2.8,,0.187806,0.506455,0.912204,(040),2018-02-09T19:07:26.360000Z,,,,,,,,
121953,201802092057.0,20642.0,32.854,35.6295,1.438, 2/09/2018 (040) 20:59:41.280,13,13,,1.1,,0.131212,0.160973,0.222251,(040),2018-02-09T20:59:41.280000Z,,,,,,,,
121954,201802100418.0,20643.0,31.1028,35.4838,32.1289, 2/10/2018 (041)  4:19:42.460,27,27,,2.4,2.3,0.199908,0.455149,0.127608,(041),2018-02-10T04:19:42.460000Z,,,,,,,,
121955,201802102054.0,20644.0,34.522,32.4965,0.8552, 2/10/2018 (041) 20:54:37.120,28,28,,2.6,,0.48219,0.858575,0.556173,(041),2018-02-10T20:54:37.120000Z,,,,,,,,
121956,201802102148.0,20645.0,34.6927,32.4343,21.238, 2/10/2018 (041) 21:49:07.340,20,20,,2.6,,0.439559,0.783448,0.554802,(041),2018-02-10T21:49:07.340000Z,,,,,,,,
121957,201802111525.0,20646.0,29.7368,34.995,22.6227, 2/11/2018 (042) 15:26:14.690,10,10,,1.1,,0.204854,0.216446,0.15198,(042),2018-02-11T15:26:14.690000Z,,,,,,,,
