plt_num,pickTime,Phase,evid,pickTime_floats,evname,prefor,lat,lon,depth,time,nass,ndef,mb,ms,ml,emodelx,emodely,emodelz,Unknown,UTCtime,orid,etype,dtype,msid,mlid,algorithm,auth,lddate,snr,angle,inclination,Ps,Pp,epi_direction,epi_distance,offset
17576.1704034,2018-02-14 04:05:22.850,P,121961,1518581122850.0,201802140404.0,20650.0,32.5713,35.2291,19.4524, 2/14/2018 (045)  4:05:13.870,24,24,,1.3,,0.103038,0.171996,0.10181,(045),2018-02-14T04:05:13.870000Z,,,,,,,,,4.997876674874337,191.5,72.82660219294723,0.81,0.86,216.34268327476642,49.050324389363034,-24.8426832747664
17588.6282818,2018-02-26 15:04:43.545,P,121984,1519657483545.0,201802261503.0,20673.0,33.206,35.4928,11.8897, 2/26/2018 (057) 15:04:37.450,24,24,,1.7,1.5,0.107171,0.144398,0.140361,(057),2018-02-26T15:04:37.450000Z,,,,,,,,,13.95303014539042,0.5,49.89463772573244,0.81,0.86,352.06144452801215,31.32453201782576,8.438555471987845
17592.1738984,2018-03-02 04:10:24.822,P,121992,1519963824822.0,201803020408.0,20681.0,33.0148,35.5671,5.0, 3/02/2018 (061)  4:10:22.480,10,10,,0.8,,0.0919807,0.0550696,0.0554218,(061),2018-03-02T04:10:22.480000Z,,,,,,,,,6.389153466948881,65.9,68.35728425436507,0.84,0.54,14.868639514390996,10.101488059909228,51.03136048560902
17604.1776692,2018-03-14 04:15:50.619,P,122006,1521000950619.0,201803140415.0,20695.0,33.2892,35.8036,14.6127, 3/14/2018 (073)  4:15:42.060,13,13,,1.6,,0.151836,0.189657,0.162207,(073),2018-03-14T04:15:42.060000Z,,,,,,,,,2.235557550885436,54.9,49.79772073713428,0.88,0.68,31.36256088412616,47.20239394737239,23.53743911587383
17617.0544678,2018-03-27 01:18:26.015,P,122029,1522113506015.0,201803270117.0,20718.0,34.7012,32.7456,30.0, 3/27/2018 (086)  1:17:41.630,40,40,,2.9,2.7,0.248853,2.0344,2.17006,(086),2018-03-27T01:17:41.630000Z,,,,,,,,,5.262291186292743,347.6,74.58600885931526,0.83,0.88,308.16403805971186,324.8363386863198,39.435961940288166
17620.7573543,2018-03-30 18:10:35.410,P,122033,1522433435410.0,201803301808.0,20722.0,32.8457,35.5845,5.0, 3/30/2018 (089) 18:10:33.030,17,17,,1.6,,0.253239,0.158556,0.258495,(089),2018-03-30T18:10:33.030000Z,,,,,,,,,2.4869308351583426,143.4,73.14266901731759,0.76,0.66,154.96118829197457,9.976854677689035,-11.561188291974526
17624.9265248,2018-04-03 22:14:11.739,P,122047,1522793651739.0,201804032212.0,20736.0,32.9615,35.6345,22.2641, 4/03/2018 (093) 22:14:06.650,11,11,,1.1,,0.0479948,0.054351,0.125481,(093),2018-04-03T22:14:06.650000Z,,,,,,,,,2.1786211527126014,1.7,82.24800638905442,0.75,0.35,66.61780105587856,9.676487010167559,-64.91780105587857
17626.7389192,2018-04-05 17:44:02.615,P,122049,1522950242615.0,201804051743.0,20738.0,33.1069,35.6106,19.2904, 4/05/2018 (095) 17:43:57.430,14,14,,1.2,,0.118942,0.150032,0.114564,(095),2018-04-05T17:43:57.430000Z,,,,,,,,,7.072345804395808,22.4,61.90128792116006,0.83,0.51,18.363651215589773,21.079677038620254,4.036348784410258
17632.1050648,2018-04-11 02:31:17.596,P,122060,1523413877596.0,201804110229.0,20749.0,33.8173,35.1905,21.1326, 4/11/2018 (101)  2:31:00.320,33,33,,2.4,2.4,0.410341,0.409835,0.415869,(101),2018-04-11T02:31:00.320000Z,,,,,,,,,7.339217799550028,350.7,63.682759952488574,0.81,0.57,341.97865946679786,104.1605626819117,8.721340533202165
17638.6569452,2018-04-17 15:46:00.063,P,122067,1523979960063.0,201804171544.0,20756.0,34.0552,36.8732,5.0, 4/17/2018 (107) 15:45:30.050,19,19,,3.3,3.4,1.18265,1.24528,1.31431,(107),2018-04-17T15:45:30.050000Z,,,,,,,,,2.6667416201981666,49.3,45.405442148825934,0.88,0.63,44.23056644007355,176.1741958603179,5.069433559926399
17639.40412,2018-04-18 09:41:55.970,P,122068,1524044515970.0,201804180940.0,20757.0,33.1278,35.6484,5.0, 4/18/2018 (108)  9:41:50.900,9,9,,1.5,,0.0584695,0.107195,0.103513,(108),2018-04-18T09:41:50.900000Z,,,,,,,,,1.9997281244142229,40.2,67.3798032622901,0.57,0.32,24.460999707110208,24.535426559132922,15.739000292889788
17640.2381129,2018-04-19 05:42:52.953,P,122070,1524116572953.0,201804190541.0,20759.0,32.9344,35.6358,23.2321, 4/19/2018 (109)  5:42:48.760,17,17,,1.5,,0.24839,0.127457,0.174199,(109),2018-04-19T05:42:48.760000Z,,,,,,,,,3.1949148408824617,134.3,70.04810003154375,0.85,0.63,84.75352593685089,9.043767928642424,49.54647406314912
17641.7113319,2018-04-20 17:04:19.075,P,122073,1524243859075.0,201804201702.0,20762.0,32.9261,35.6293,15.7812, 4/20/2018 (110) 17:04:15.620,21,21,,1.6,,0.214103,0.250098,0.25867,(110),2018-04-20T17:04:15.620000Z,,,,,,,,,1.8403034734102224,90.7,68.94487470449275,0.53,0.48,90.65811333927631,8.400608302083535,0.04188666073035687
17642.2643247,2018-04-21 06:20:37.655,P,122074,1524291637655.0,201804210619.0,20763.0,32.6709,35.1943,15.8179, 4/21/2018 (111)  6:20:29.240,24,24,,1.6,1.1,0.152393,0.227509,0.162862,(111),2018-04-21T06:20:29.240000Z,,,,,,,,,2.6624705811039484,211.7,59.93176879412128,0.74,0.72,228.64561030430406,43.020537506331856,-16.945610304304083
17644.5406876,2018-04-23 12:58:35.408,P,122076,1524488315408.0,201804231257.0,20765.0,34.5365,33.9178,30.0, 4/23/2018 (113) 12:58:02.380,27,27,,3.6,3.7,0.380598,0.678024,0.656916,(113),2018-04-23T12:58:02.380000Z,,,,,,,,,3.0446222104874407,326.8,50.195972771654105,0.78,0.57,320.48960944910345,233.47401459071648,6.310390550896537
17645.0437124,2018-04-24 01:02:56.748,P,122077,1524531776748.0,201804240101.0,20766.0,32.9033,35.5622,5.0, 4/24/2018 (114)  1:02:55.650,15,15,,1.6,,0.200623,0.21153,0.247516,(114),2018-04-24T01:02:55.650000Z,,,,,,,,,116.66660667716661,143.6,49.12230575567645,0.87,0.83,140.94690524253704,3.3932719463496688,2.6530947574629713
