plt_num,pickTime,Phase,evid,confidence,pickTime_floats,evname,prefor,lat,lon,depth,time,nass,ndef,mb,ms,ml,emodelx,emodely,emodelz,Unknown,UTCtime,orid,etype,dtype,msid,mlid,algorithm,auth,lddate,snr,angle,inclination,Ps,Pp,epi_direction,epi_distance,offset
17864.1082203,2018-11-29 02:35:50.234,P,123295,,1543458950234.0,201811290233.0,21981.0,33.6383,35.0148,14.0247,11/29/2018 (333)  2:35:36.750,13,13,,2.0,,0.655789,0.662218,0.67082,(333),2018-11-29T02:35:36.750000Z,,,,,,,,,7.747570472966327,303.8,38.184443059428965,0.87,0.37,322.94063667060533,77.53089365238023,-19.14063667060529
17868.01179442754,2018-12-03 00:16:59.036,P,123298,0.0,1543796219036.0,201812030016.0,21984.0,34.7422,33.2708,30.0,12/03/2018 (337)  0:16:19.470,32,32,,3.6,3.7,0.185076,0.82169,0.883059,(337),2018-12-03T00:16:19.470000Z,,,,,,,,,5.150738518232659,301.6,37.73147721700312,0.86,0.68,312.2645297116619,277.6572882846541,-10.664529711661883
17873.88183494153,2018-12-08 21:09:50.536,P,123305,0.0,1544303390536.0,201812082108.0,21991.0,34.112,35.7526,10.5782,12/08/2018 (342) 21:09:30.970,11,11,,1.9,,0.8463,1.04428,0.471391,(342),2018-12-08T21:09:30.970000Z,,,,,,,,,2.1410867450515716,336.6,42.90702687756618,0.72,0.31,10.62002641702948,116.44941029895473,-34.02002641702946
17879.5875267,2018-12-14 14:06:02.306,P,123309,,1544796362306.0,201812141404.0,21995.0,32.8486,35.6406,18.6859,12/14/2018 (348) 14:05:55.940,19,19,,1.3,,0.168652,0.106026,0.19092,(348),2018-12-14T14:05:55.940000Z,,,,,,,,,2.314870130898033,147.9,47.579361027707684,0.87,0.79,156.52343020201212,28.39708283154791,-8.623430202012127
17879.64470466509,2018-12-14 15:28:22.481,P,123310,0.0,1544801302481.0,201812141526.0,21996.0,34.5408,35.9547,8.9373,12/14/2018 (348) 15:27:56.550,60,60,,3.1,3.0,0.296657,0.307226,1.40684,(348),2018-12-14T15:27:56.550000Z,,,,,,,,,1.592724260087676,351.6,41.327914049252904,0.72,0.47,13.80897173275672,167.02226234427127,-22.208971732756723
17880.867896169584,2018-12-15 20:49:46.227,P,123311,0.0,1544906986227.0,201812152048.0,21997.0,34.5999,33.722,16.3782,12/15/2018 (349) 20:49:10.880,26,26,,2.0,,0.474641,0.507799,0.792011,(349),2018-12-15T20:49:10.880000Z,,,,,,,,,2.785623705469164,284.7,35.664522476783795,0.81,0.32,315.95477350564204,236.66217001702705,-31.254773505642046
17881.063298076864,2018-12-16 01:31:08.951,P,123313,0.0,1544923868951.0,201812160130.0,21999.0,34.5246,33.1363,7.3703,12/16/2018 (350)  1:30:27.330,32,32,,3.6,3.6,0.279049,1.12496,0.907934,(350),2018-12-16T01:30:27.330000Z,,,,,,,,,3.540256550042466,280.3,18.977779872262314,0.61,0.39,306.7136076492381,272.3592059856502,-26.41360764923809
17881.0668549705,2018-12-16 01:36:16.267,P,123314,0.0,1544924176267.0,201812160135.0,22000.0,34.6831,33.0733,30.0,12/16/2018 (350)  1:35:34.540,40,40,,3.0,3.0,0.103195,0.844815,0.908114,(350),2018-12-16T01:35:34.540000Z,,,,,,,,,2.0480653487812317,268.8,73.47477395937656,0.64,0.28,308.914026411242,287.4745878991,-40.11402641124198
17882.995652990558,2018-12-17 23:53:44.416,P,123316,0.0,1545090824416.0,201812172351.0,22002.0,34.671,32.9367,30.0,12/17/2018 (351) 23:53:03.090,54,54,,3.0,3.0,0.116929,0.48285,1.97936,(351),2018-12-17T23:53:03.090000Z,,,,,,,,,1.6717518764525814,262.3,44.67927097361157,0.66,0.35,307.2382179059863,296.69048757154917,-44.93821790598629
17888.4852469,2018-12-23 11:38:45.327,P,123319,,1545565125327.0,201812231137.0,22005.0,33.0113,35.4031,21.434,12/23/2018 (357) 11:38:40.850,15,15,,1.5,,0.189583,0.190076,0.224475,(357),2018-12-23T11:38:40.850000Z,,,,,,,,,4.60329622845584,215.5,64.74896320109845,0.83,0.76,233.75908148258208,13.457015077003025,-18.25908148258206
17888.9587253,2018-12-23 23:00:33.867,P,123321,,1545606033867.0,201812232258.0,22007.0,33.4919,35.6005,7.8562,12/23/2018 (357) 23:00:25.360,13,13,,1.5,,0.274837,0.298558,0.293689,(357),2018-12-23T23:00:25.360000Z,,,,,,,,,2.0639937428207973,9.9,77.33112454816204,0.67,0.17,9.377883465047654,46.09772373028354,0.5221165349527596
17890.0116286,2018-12-25 00:16:44.705,P,123323,,1545697004705.0,201812250014.0,22009.0,33.098,35.5473,19.2218,12/25/2018 (359)  0:16:40.000,11,11,,0.9,,0.210783,0.0980577,0.125155,(359),2018-12-25T00:16:40.000000Z,,,,,,,,,3.134570401381148,32.5,76.36347219301392,0.86,0.43,57.03642414501107,3.0865072166771568,-24.53642414501105
17891.0375104,2018-12-26 00:54:00.900,P,123325,,1545785640900.0,201812260052.0,22011.0,32.9169,35.6947,7.2926,12/26/2018 (360)  0:53:56.140,42,42,,2.7,2.5,0.0373704,0.099417,0.0559263,(360),2018-12-26T00:53:56.140000Z,,,,,,,,,6.2971369167141775,144.1,47.95236806106932,0.73,0.68,138.43854205086834,24.65067097263131,5.661457949131603
17891.152418925813,2018-12-26 03:39:28.993,P,123330,0.0,1545795568993.0,201812260337.0,22016.0,31.3747,35.5363,16.0213,12/26/2018 (360)  3:38:59.730,55,55,4.0,3.7,3.8,0.208251,0.190981,0.255855,(360),2018-12-26T03:38:59.730000Z,,,,,,,,,2.9569711719967717,125.6,59.91366165749416,0.74,0.14,179.51883505041934,189.9497460445857,-53.91883505041936
17891.6334925,2018-12-26 15:12:13.747,P,123332,,1545837133747.0,201812261510.0,22018.0,32.3275,35.4552,16.7105,12/26/2018 (360) 15:11:59.930,60,60,,2.5,2.4,0.0997442,0.103669,0.116618,(360),2018-12-26T15:11:59.930000Z,,,,,,,,,6.199585174827096,143.0,56.402162714523264,0.86,0.63,184.11425070058183,84.21182599603405,-41.11425070058183
17894.1791028,2018-12-29 04:17:54.479,P,123337,,1546057074479.0,201812290417.0,22023.0,33.1963,34.7086,29.2454,12/29/2018 (363)  4:17:40.830,26,26,,2.3,1.9,0.19847,0.271182,0.27116,(363),2018-12-29T04:17:40.830000Z,,,,,,,,,4.051124663149748,269.8,34.93040212904685,0.91,0.87,279.7029774419651,76.54684548505224,-9.902977441965119
17895.5169839,2018-12-30 12:24:27.403,P,123339,,1546172667403.0,201812301222.0,22025.0,32.8629,35.5722,5.0,12/30/2018 (364) 12:24:22.570,32,32,,1.5,,0.0251726,0.0322824,0.0267656,(364),2018-12-30T12:24:22.570000Z,,,,,,,,,1.439263628897036,223.6,80.44949301544334,0.57,0.69,168.62276294838244,24.951966154884257,54.97723705161756
17899.5463145,2019-01-03 13:06:41.570,P,123344,,1546520801570.0,201901031305.0,22030.0,33.4101,35.6117,5.2158, 1/03/2019 (003) 13:06:34.720,17,17,,2.2,2.0,0.198522,0.216121,0.212006,(003),2019-01-03T13:06:34.720000Z,,,,,,,,,5.140475708962356,355.2,53.028265845187335,0.88,0.32,13.235247520550114,37.379618021341486,-18.03524752055016
17904.0345771,2019-01-08 00:49:47.457,P,123349,,1546908587457.0,201901080047.0,22035.0,32.821,35.5942,5.0, 1/08/2019 (008)  0:49:42.220,29,29,,1.9,,0.0773872,0.0779021,0.0451439,(008),2019-01-08T00:49:42.220000Z,,,,,,,,,3.181556938517842,138.7,62.32201067301928,0.74,0.5,166.51977251527816,29.94442963827716,-27.81977251527816
17912.14893306178,2019-01-16 03:34:27.814,P,123356,0.0,1547609667814.0,201901160332.0,22042.0,32.8887,35.5878,6.2668, 1/16/2019 (016)  3:34:23.810,20,20,,1.4,,0.0578494,0.0852959,0.0855702,(016),2019-01-16T03:34:23.810000Z,,,,,,,,,1.924235568702362,179.8,51.531109403390474,0.72,0.73,163.54495447005593,22.5141101366671,16.255045529944088
17912.764044757725,2019-01-16 18:20:13.465,P,123358,0.0,1547662813465.0,201901161818.0,22044.0,32.014,35.5358,25.7877, 1/16/2019 (016) 18:19:54.150,62,62,,2.4,2.2,0.229304,0.238858,0.24029,(016),2019-01-16T18:19:54.150000Z,,,,,,,,,1.87431891542819,141.0,52.63692125601022,0.79,0.75,179.25915264721593,118.86607541087132,-38.25915264721593
17914.863285712745,2019-01-18 20:43:07.883,P,123363,0.0,1547844187883.0,201901182041.0,22049.0,35.1229,32.9608,30.0, 1/18/2019 (018) 20:42:23.690,41,41,,2.6,2.6,0.317521,0.210706,1.29288,(018),2019-01-18T20:42:23.690000Z,,,,,,,,,3.1868633835637388,282.4,38.38870931745409,0.81,0.56,314.62728350248364,327.01644462714927,-32.22728350248367
17919.2319728,2019-01-23 05:34:02.444,P,123370,,1548221642444.0,201901230532.0,22056.0,32.8421,35.5763,5.5899, 1/23/2019 (023)  5:33:57.410,36,36,,2.3,,0.039062,0.0673285,0.0480092,(023),2019-01-23T05:33:57.410000Z,,,,,,,,,4.564308604235181,141.5,44.17884164797513,0.92,0.45,168.78979565241752,27.295080917859185,-27.289795652417514
17919.9085252,2019-01-23 21:48:16.575,P,123373,,1548280096575.0,201901232146.0,22059.0,32.8414,35.5662,5.0, 1/23/2019 (023) 21:48:11.430,35,35,,2.4,2.4,0.0076775,0.0513763,0.0262252,(023),2019-01-23T21:48:11.430000Z,,,,,,,,,9.992274595751676,151.2,43.685913443406406,0.9,0.64,170.77151201566195,27.20472667617803,-19.57151201566196
17920.8368782,2019-01-24 20:05:06.274,P,123375,,1548360306274.0,201901242003.0,22061.0,32.7717,35.3194,5.96, 1/24/2019 (024) 20:04:58.760,52,52,,3.3,3.3,0.0797356,0.183999,0.112199,(024),2019-01-24T20:04:58.760000Z,,,,,,,,,74.08061570149472,199.0,57.87296850388315,0.93,0.94,208.41038735178276,39.321918351942145,-9.410387351782763
17927.2680518,2019-01-31 06:25:59.676,P,123384,,1548915959676.0,201901310624.0,22070.0,32.8336,35.5767,5.3325, 1/31/2019 (031)  6:25:54.700,34,34,,2.2,2.0,0.0673726,0.0431982,0.0791959,(031),2019-01-31T06:25:54.700000Z,,,,,,,,,3.600487165292049,141.9,41.51220269031604,0.83,0.53,169.087305490152,28.229929980065915,-27.187305490151985
17927.4884821,2019-01-31 11:43:24.855,P,123385,,1548935004855.0,201901311142.0,22071.0,32.842,35.5743,6.8346, 1/31/2019 (031) 11:43:19.780,41,41,,2.5,2.5,0.072888,0.0757001,0.0856895,(031),2019-01-31T11:43:19.780000Z,,,,,,,,,7.508797120325276,154.0,41.73136532473259,0.85,0.81,169.1794460655294,27.270392773470867,-15.179446065529373
17927.7088332,2019-01-31 17:00:43.187,P,123386,,1548954043187.0,201901311658.0,22072.0,33.8248,35.0625,22.3484, 1/31/2019 (031) 17:00:27.410,11,11,,1.8,,0.74183,0.450215,0.793588,(031),2019-01-31T17:00:27.410000Z,,,,,,,,,4.052984275485467,286.3,27.42056588897713,0.63,0.5,332.92543318800347,92.75229227095824,-46.62543318800349
17929.5027506,2019-02-02 12:03:57.647,P,123388,,1549109037647.0,201902021202.0,22074.0,32.8552,35.58,5.1831, 2/02/2019 (033) 12:03:52.940,22,22,,1.8,,0.0563426,0.0605017,0.0820142,(033),2019-02-02T12:03:52.940000Z,,,,,,,,,4.8870947713609825,147.9,45.167000187634464,0.91,0.47,167.41699384092698,25.940513789514537,-19.516993840926993
17933.1915731,2019-02-06 04:35:51.914,P,123394,,1549427751914.0,201902060433.0,22080.0,32.8089,35.4676,6.2349, 2/06/2019 (037)  4:35:46.100,15,15,,1.1,,0.0149261,0.0796573,0.135764,(037),2019-02-06T04:35:46.100000Z,,,,,,,,,1.9663298114581398,347.1,24.23265179047064,0.53,0.73,189.04601044285613,30.84991256094021,158.05398955714392
