plt_num,pickTime,Phase,evid,pickTime_floats,evname,prefor,lat,lon,depth,time,nass,ndef,mb,ms,ml,emodelx,emodely,emodelz,Unknown,UTCtime,orid,etype,dtype,msid,mlid,algorithm,auth,lddate,snr,angle,inclination,Ps,Pp,epi_direction,epi_distance,offset
17689.5889914,2018-06-07 14:08:08.858,P,122186,1528380488858.0,201806071406.0,20875.0,32.9413,35.622,16.2262, 6/07/2018 (158) 14:08:04.260,26,26,,1.9,1.8,0.217156,0.145805,0.113054,(158),2018-06-07T14:08:04.260000Z,,,,,,,,,50.837541464187765,249.2,77.55700193507512,0.97,0.65,255.79249168435518,18.193559578990058,-6.592491684355204
17689.9913008,2018-06-07 23:47:28.385,P,122188,1528415248385.0,201806072346.0,20877.0,32.6242,35.6212,5.0, 6/07/2018 (158) 23:47:19.550,39,39,,3.0,3.2,0.383743,0.384959,0.399697,(158),2018-06-07T23:47:19.550000Z,,,,,,,,,711.4371325645019,190.3,63.628233370673584,0.91,0.83,204.10624481804462,43.520531260914815,-13.806244818044624
17690.0820098,2018-06-08 01:58:05.648,P,122189,1528423085648.0,201806080156.0,20878.0,32.402,35.519,22.1796, 6/08/2018 (159)  1:57:52.720,13,13,,1.0,,0.233803,0.250058,0.19979,(159),2018-06-08T01:57:52.720000Z,,,,,,,,,2.9185993954120337,168.5,62.33468348479556,0.86,0.85,203.0553759910257,70.00203705833896,-34.55537599102569
17690.4626613,2018-06-08 11:06:13.936,P,122191,1528455973936.0,201806081104.0,20880.0,32.14,35.5784,5.0, 6/08/2018 (159) 11:05:56.260,30,30,,1.8,,0.081184,0.144323,0.282136,(159),2018-06-08T11:05:56.260000Z,,,,,,,,,7.080809037669184,184.3,60.792431274858906,0.85,0.49,193.17523166523458,96.08687712983422,-8.875231665234566
17690.4649802,2018-06-08 11:09:34.286,P,122192,1528456174286.0,201806081108.0,20881.0,32.1504,35.5646,6.1403, 6/08/2018 (159) 11:09:16.750,33,33,,2.2,2.2,0.126527,0.135105,0.274732,(159),2018-06-08T11:09:16.750000Z,,,,,,,,,4.547296341471074,178.2,67.27012632544493,0.85,0.73,194.09355192764374,95.26582779227736,-15.89355192764372
17691.1037588,2018-06-09 02:29:24.757,P,122195,1528511364757.0,201806090228.0,20884.0,32.6172,35.6239,5.0, 6/09/2018 (160)  2:29:16.220,27,27,,2.0,1.8,0.378973,0.387968,0.405152,(160),2018-06-09T02:29:16.220000Z,,,,,,,,,22.481004963571355,190.0,64.34220872989368,0.91,0.8,203.39523189213912,44.13211024884507,-13.39523189213911
17691.1447361,2018-06-09 03:28:25.199,P,122196,1528514905199.0,201806090326.0,20885.0,32.6275,35.6149,20.4689, 6/09/2018 (160)  3:28:16.850,16,16,,1.5,,0.0775174,0.395103,0.40661,(160),2018-06-09T03:28:16.850000Z,,,,,,,,,4.733412587058738,194.3,72.09438640477511,0.91,0.77,205.01424115048013,43.43075703331396,-10.714241150480113
17691.6071304,2018-06-09 14:34:16.067,P,122200,1528554856067.0,201806091432.0,20889.0,32.1451,35.5404,6.5302, 6/09/2018 (160) 14:33:58.660,21,21,,1.7,,0.128713,0.137449,0.263887,(160),2018-06-09T14:33:58.660000Z,,,,,,,,,2.9545759113806693,177.4,62.05531094579417,0.82,0.67,195.32328403790098,96.40939423719861,-17.923284037900974
17691.6123344,2018-06-09 14:41:45.691,P,122201,1528555305691.0,201806091440.0,20890.0,32.2311,35.3407,5.0, 6/09/2018 (160) 14:41:28.460,24,24,,1.7,,0.183941,0.277997,0.195707,(160),2018-06-09T14:41:28.460000Z,,,,,,,,,5.006870196170684,167.4,72.22745790909013,0.91,0.89,207.95589541139367,94.36522124463023,-40.55589541139365
17696.0321333,2018-06-14 00:46:16.314,P,122210,1528937176314.0,201806140044.0,20899.0,32.6038,35.591,5.0, 6/14/2018 (165)  0:46:06.410,19,19,,1.3,,0.223897,0.170513,0.264196,(165),2018-06-14T00:46:06.410000Z,,,,,,,,,3.437951822993324,200.1,64.58756225387644,0.83,0.62,206.14221746599074,46.77267476408629,-6.042217465990758
17696.2820489,2018-06-14 06:46:09.026,P,122211,1528958769026.0,201806140644.0,20900.0,33.2335,35.7246,5.0, 6/14/2018 (165)  6:46:02.750,13,13,,1.6,,0.0434813,0.0678194,0.046233,(165),2018-06-14T06:46:02.750000Z,,,,,,,,,2.3088713250146222,39.2,68.62461003485008,0.82,0.47,343.99384275808006,29.143126494334417,55.20615724191994
17703.6165777,2018-06-21 14:47:52.314,P,122228,1529592472314.0,201806211445.0,20917.0,33.2625,35.5886,5.0, 6/21/2018 (172) 14:47:44.780,11,11,,1.6,,0.0944238,0.144161,0.100399,(172),2018-06-21T14:47:44.780000Z,,,,,,,,,1.7657717655164777,335.9,53.205595505566066,0.56,0.32,326.5127561453077,37.47749572709538,9.387243854692276
17709.8692949,2018-06-27 20:51:47.077,P,122239,1530132707077.0,201806272050.0,20928.0,32.9254,35.6278,19.6366, 6/27/2018 (178) 20:51:42.230,11,11,,1.1,,0.233653,0.264382,0.272158,(178),2018-06-27T20:51:42.230000Z,,,,,,,,,3.0661172675225683,55.5,81.91316728152049,0.85,0.56,249.96808743651388,18.199970601498734,165.53191256348612
17712.7667366,2018-06-30 18:24:06.036,P,122242,1530383046036.0,201806301822.0,20931.0,33.146,34.7649,28.282, 6/30/2018 (181) 18:23:48.830,18,18,,1.7,1.6,0.395714,0.557089,0.554648,(181),2018-06-30T18:23:48.830000Z,,,,,,,,,4.083729883410904,349.3,73.25240324067704,0.84,0.57,280.9059347230672,99.1831157567828,68.39406527693276
17714.2497639,2018-07-02 05:59:39.599,P,122246,1530511179599.0,201807020558.0,20935.0,32.8742,35.5912,9.0628, 7/02/2018 (183)  5:59:34.980,30,30,,2.3,2.0,0.0827742,0.0420077,0.0647195,(183),2018-07-02T05:59:34.980000Z,,,,,,,,,9.793989333397283,232.3,72.5857480737189,0.86,0.78,239.8541863442747,23.737289007720655,-7.5541863442747434
17716.076533,2018-07-04 01:50:12.445,P,122249,1530669012445.0,201807040148.0,20938.0,32.862,35.576,9.1491, 7/04/2018 (185)  1:50:07.040,55,55,,4.2,,0.0170515,0.0176059,0.10414,(185),2018-07-04T01:50:07.040000Z,,,,,,,,,792.8320988824706,234.9,51.036167554171925,0.87,0.98,238.83546827659933,25.65121222148242,-3.9354682765993076
17716.0795336,2018-07-04 01:54:31.703,P,122250,1530669271703.0,201807040153.0,20939.0,32.8607,35.5815,10.3499, 7/04/2018 (185)  1:54:26.530,16,16,,2.0,,0.107976,0.150097,0.162504,(185),2018-07-04T01:54:26.530000Z,,,,,,,,,2.6107370747966425,233.7,53.07745585878498,0.84,0.28,237.95110790196776,25.290314212937805,-4.251107901967881
17716.0821642,2018-07-04 01:58:18.988,P,122251,1530669498988.0,201807040156.0,20940.0,32.8564,35.569,8.6059, 7/04/2018 (185)  1:58:13.890,65,65,,3.0,3.2,0.0819743,0.0828639,0.0959855,(185),2018-07-04T01:58:13.890000Z,,,,,,,,,95.47177425819928,229.8,59.49150877615546,0.88,0.94,238.41984313141262,26.534062702412804,-8.619843131412606
17716.1180195,2018-07-04 02:49:56.880,P,122252,1530672596880.0,201807040248.0,20941.0,32.8534,35.579,6.5712, 7/04/2018 (185)  2:49:51.520,35,35,,1.9,,0.067552,0.0420045,0.0721075,(185),2018-07-04T02:49:51.520000Z,,,,,,,,,2.0276645199617596,233.0,56.981541964209946,0.41,0.3,236.70742239220542,25.926317618536938,-3.707422392205427
17716.1401755,2018-07-04 03:21:51.161,P,122253,1530674511161.0,201807040320.0,20942.0,32.8319,35.579,5.0, 7/04/2018 (185)  3:21:44.930,26,26,,1.7,,0.118401,0.272359,0.217289,(185),2018-07-04T03:21:44.930000Z,,,,,,,,,2.398504405697467,233.7,59.40725285885437,0.86,0.79,232.51821619933116,27.3159770812731,1.1817838006687589
