plt_num,pickTime,Phase,evid,pickTime_floats,evname,prefor,lat,lon,depth,time,nass,ndef,mb,ms,ml,emodelx,emodely,emodelz,Unknown,UTCtime,orid,etype,dtype,msid,mlid,algorithm,auth,lddate,snr,angle,inclination,Ps,Pp,epi_direction,epi_distance,offset
17588.6282567,2018-02-26 15:04:41.376,P,121984,1519657481376.0,201802261503.0,20673.0,33.206,35.4928,11.8897, 2/26/2018 (057) 15:04:37.450,24,24,,1.7,1.5,0.107171,0.144398,0.140361,(057),2018-02-26T15:04:37.450000Z,,,,,,,,,4.769972757147194,346.6,76.8570953458706,0.87,0.32,296.42526506590184,16.290379010144495,50.17473493409815
17591.4058608,2018-03-01 09:44:26.368,P,121989,1519897466368.0,201803010942.0,20678.0,33.3312,35.6128,5.5038, 3/01/2018 (060)  9:44:21.850,9,9,,1.1,,0.143813,0.14548,0.153571,(060),2018-03-01T09:44:21.850000Z,,,,,,,,,1.3040944622142878,352.1,60.671202196275466,0.71,0.74,350.82229509233724,21.43540318019137,1.2777049076628235
17597.3713118,2018-03-07 08:54:41.340,P,121998,1520412881340.0,201803070853.0,20687.0,32.9907,35.6423,15.1372, 3/07/2018 (066)  8:54:37.260,9,9,,1.2,,0.11816,0.112321,0.0604346,(066),2018-03-07T08:54:37.260000Z,,,,,,,,,3.9169757869282593,127.2,58.74263828057805,0.68,0.78,182.33439017255216,16.715325897022087,-55.134390172552166
17604.177625,2018-03-14 04:15:46.796,P,122006,1521000946796.0,201803140415.0,20695.0,33.2892,35.8036,14.6127, 3/14/2018 (073)  4:15:42.060,13,13,,1.6,,0.151836,0.189657,0.162207,(073),2018-03-14T04:15:42.060000Z,,,,,,,,,10.749895985800315,35.7,66.53646165277367,0.89,0.66,40.9411888084633,21.844213051165298,-5.241188808463269
17610.3014533,2018-03-20 07:14:05.561,P,122015,1521530045561.0,201803200712.0,20704.0,33.2634,35.591,5.0, 3/20/2018 (079)  7:14:02.510,11,11,,1.6,,0.0963149,0.141603,0.10241,(079),2018-03-20T07:14:02.510000Z,,,,,,,,,1.8578208995552201,3.4,69.07519108343527,0.53,0.81,338.20125049974024,14.672043550942956,25.19874950025976
17617.0544586,2018-03-27 01:18:25.216,P,122029,1522113505216.0,201803270117.0,20718.0,34.7012,32.7456,30.0, 3/27/2018 (086)  1:17:41.630,40,40,,2.9,2.7,0.248853,2.0344,2.17006,(086),2018-03-27T01:17:41.630000Z,,,,,,,,,2.7528827307040977,349.1,60.45639184278341,0.84,0.53,303.72680277822076,319.1942996323422,45.373197221779236
17622.0122995,2018-04-01 00:17:42.674,P,122045,1522541862674.0,201804010015.0,20734.0,33.2043,35.6974,8.2873, 4/01/2018 (091)  0:17:41.210,10,10,,1.2,,0.0381818,0.0905033,0.260606,(091),2018-04-01T00:17:41.210000Z,,,,,,,,,64.81436429376787,29.8,72.62047890361224,0.87,0.93,32.241725067900475,8.336169816056714,-2.441725067900578
17624.9265266,2018-04-03 22:14:11.896,P,122047,1522793651896.0,201804032212.0,20736.0,32.9615,35.6345,22.2641, 4/03/2018 (093) 22:14:06.650,11,11,,1.1,,0.0479948,0.054351,0.125481,(093),2018-04-03T22:14:06.650000Z,,,,,,,,,3.0738941375691984,129.2,50.287125406969494,0.83,0.95,184.03961878668156,19.997951891663103,-54.83961878668159
17626.7389034,2018-04-05 17:44:01.248,P,122049,1522950241248.0,201804051743.0,20738.0,33.1069,35.6106,19.2904, 4/05/2018 (095) 17:43:57.430,14,14,,1.2,,0.118942,0.150032,0.114564,(095),2018-04-05T17:43:57.430000Z,,,,,,,,,2.356235892745161,90.8,56.04322108805177,0.63,0.3,223.86093025227575,5.2424787784948785,-133.06093025227574
17632.1050359,2018-04-11 02:31:15.101,P,122060,1523413875101.0,201804110229.0,20749.0,33.8173,35.1905,21.1326, 4/11/2018 (101)  2:31:00.320,33,33,,2.4,2.4,0.410341,0.409835,0.415869,(101),2018-04-11T02:31:00.320000Z,,,,,,,,,5.095394809916681,311.3,64.84567834280224,0.86,0.82,330.61091452758217,86.42841239984234,-19.310914527582153
