plt_num,pickTime,Phase,evid,pickTime_floats,evname,prefor,lat,lon,depth,time,nass,ndef,mb,ms,ml,emodelx,emodely,emodelz,Unknown,UTCtime,orid,etype,dtype,msid,mlid,algorithm,auth,lddate,snr,angle,inclination,Ps,Pp,epi_direction,epi_distance,offset
17667.8806594,2018-05-16 21:08:08.972,P,122140,1526504888972.0,201805162106.0,20829.0,32.1197,36.9258,5.0, 5/16/2018 (136) 21:07:37.650,37,37,,2.7,2.7,0.685208,0.730181,1.32304,(136),2018-05-16T21:07:37.650000Z,,,,,,,,,2.107631620322204,87.7,39.41087943808004,0.26,0.4,135.24528016071477,180.24616503088623,-47.54528016071477
17669.6558358,2018-05-18 15:44:24.212,P,122144,1526658264212.0,201805181542.0,20833.0,33.3442,35.6647,7.2831, 5/18/2018 (138) 15:44:21.670,34,34,,2.1,1.9,0.131992,0.154346,0.164865,(138),2018-05-18T15:44:21.670000Z,,,,,,,,,107.69401298535809,66.1,71.28306600795926,0.78,0.93,47.50357884562656,10.885013066870249,18.59642115437345
17670.588093,2018-05-19 14:06:51.229,P,122147,1526738811229.0,201805191405.0,20836.0,33.1889,35.6038,18.5071, 5/19/2018 (139) 14:06:47.320,21,21,,2.0,1.7,0.169026,0.211527,0.28394,(139),2018-05-19T14:06:47.320000Z,,,,,,,,,4.4419486246739455,95.5,71.52048441186662,0.74,0.49,166.54507158498043,10.198205451948015,-71.04507158498043
17684.3544617,2018-06-02 08:30:25.485,P,122180,1527928225485.0,201806020828.0,20869.0,32.997,35.5588,5.0, 6/02/2018 (153)  8:30:19.280,27,27,,1.6,1.3,0.15459,0.165735,0.24887,(153),2018-06-02T08:30:19.280000Z,,,,,,,,,4.321267039018985,115.4,73.03659327538647,0.76,0.42,183.32979378113643,31.309582953673115,-67.92979378113644
17689.5890207,2018-06-07 14:08:11.383,P,122186,1528380491383.0,201806071406.0,20875.0,32.9413,35.622,16.2262, 6/07/2018 (158) 14:08:04.260,26,26,,1.9,1.8,0.217156,0.145805,0.113054,(158),2018-06-07T14:08:04.260000Z,,,,,,,,,3.9943302610695173,113.7,77.55931633388062,0.7,0.58,173.785352028482,37.67098078119528,-60.08535202848201
17689.9913531,2018-06-07 23:47:32.901,P,122188,1528415252901.0,201806072346.0,20877.0,32.6242,35.6212,5.0, 6/07/2018 (158) 23:47:19.550,39,39,,3.0,3.2,0.383743,0.384959,0.399697,(158),2018-06-07T23:47:19.550000Z,,,,,,,,,7.532329558314845,182.0,73.53549474214718,0.67,0.57,176.83721641776884,72.82046122424555,5.162783582231115
17696.2819845,2018-06-14 06:46:03.460,P,122211,1528958763460.0,201806140644.0,20900.0,33.2335,35.7246,5.0, 6/14/2018 (165)  6:46:02.750,13,13,,1.6,,0.0434813,0.0678194,0.046233,(165),2018-06-14T06:46:02.750000Z,,,,,,,,,30.36843683260341,68.2,69.83409582537722,0.76,0.92,109.98951453846662,14.479425958664047,-41.78951453846662
17697.7075058,2018-06-15 16:58:48.495,P,122217,1529081928495.0,201806151656.0,20906.0,33.1824,35.5937,9.8667, 6/15/2018 (166) 16:58:45.510,11,11,,0.9,,0.113778,0.121534,0.107023,(166),2018-06-15T16:58:45.510000Z,,,,,,,,,2.2844855302050675,88.3,63.09124971338708,0.66,0.5,172.32954893126066,10.737324663416166,-84.02954893126066
17699.6539221,2018-06-17 15:41:38.865,P,122221,1529250098865.0,201806171540.0,20910.0,33.6598,34.9352,16.1199, 6/17/2018 (168) 15:41:25.690,23,23,,2.4,2.2,0.351056,0.421157,0.710069,(168),2018-06-17T15:41:25.690000Z,,,,,,,,,2.5597349844644564,338.9,75.50384856689725,0.67,0.51,305.60925226662624,73.21030418987287,33.29074773337371
17703.6165103,2018-06-21 14:47:46.490,P,122228,1529592466490.0,201806211445.0,20917.0,33.2625,35.5886,5.0, 6/21/2018 (172) 14:47:44.780,11,11,,1.6,,0.0944238,0.144161,0.100399,(172),2018-06-21T14:47:44.780000Z,,,,,,,,,38.01614182440301,91.3,77.21953151036162,0.78,0.94,151.09694010408353,1.9813992670550638,-59.79694010408353
17716.0765716,2018-07-04 01:50:15.788,P,122249,1530669015788.0,201807040148.0,20938.0,32.862,35.576,9.1491, 7/04/2018 (185)  1:50:07.040,55,55,,4.2,,0.0170515,0.0176059,0.10414,(185),2018-07-04T01:50:07.040000Z,,,,,,,,,31.344965757725273,164.0,60.6187205163442,0.83,0.64,180.2660249555,46.26870533879003,-16.26602495549998
17716.082206,2018-07-04 01:58:22.597,P,122251,1530669502597.0,201807040156.0,20940.0,32.8564,35.569,8.6059, 7/04/2018 (185)  1:58:13.890,65,65,,3.0,3.2,0.0819743,0.0828639,0.0959855,(185),2018-07-04T01:58:13.890000Z,,,,,,,,,7.141268143756586,146.8,68.31366274110624,0.76,0.47,181.06133602367316,46.898908041653684,-34.261336023673174
17716.1525049,2018-07-04 03:39:36.425,P,122254,1530675576425.0,201807040337.0,20943.0,32.8488,35.5826,5.316, 7/04/2018 (185)  3:39:27.520,28,28,,1.9,,0.0385208,0.0611618,0.0940617,(185),2018-07-04T03:39:27.520000Z,,,,,,,,,3.948906713361154,94.1,75.50904113523508,0.82,0.73,179.51787726355076,47.73766381539317,-85.41787726355076
17716.1612151,2018-07-04 03:52:08.982,P,122256,1530676328982.0,201807040350.0,20945.0,32.8639,35.5768,7.7195, 7/04/2018 (185)  3:52:00.270,63,63,,3.9,,0.0436865,0.0768492,0.0957271,(185),2018-07-04T03:52:00.270000Z,,,,,,,,,16.456624434493598,167.6,66.2631546318585,0.73,0.34,180.17428734478878,46.05715069874545,-12.574287344788788
17716.1651445,2018-07-04 03:57:48.483,P,122257,1530676668483.0,201807040357.0,20946.0,32.8555,35.5714,6.0534, 7/04/2018 (185)  3:57:39.720,55,55,,3.0,,0.06264,0.0378031,0.0990445,(185),2018-07-04T03:57:39.720000Z,,,,,,,,,16.439853933384946,148.9,76.32958341914896,0.82,0.81,180.78581418330057,46.99537468837053,-31.88581418330057
17716.1801673,2018-07-04 04:19:26.449,P,122260,1530677966449.0,201807040418.0,20949.0,32.8712,35.575,6.9908, 7/04/2018 (185)  4:19:17.970,45,45,,2.6,2.7,0.0648389,0.0708372,0.0926831,(185),2018-07-04T04:19:17.970000Z,,,,,,,,,3.748642515843084,185.9,61.80252271155796,0.58,0.44,180.39027408542358,45.246260450897914,5.5097259145764435
17716.2241462,2018-07-04 05:22:46.233,P,122268,1530681766233.0,201807040521.0,20957.0,32.8575,35.5754,5.9426, 7/04/2018 (185)  5:22:37.620,36,36,,2.4,2.3,0.0631993,0.0608967,0.101144,(185),2018-07-04T05:22:37.620000Z,,,,,,,,,5.275865787485862,104.8,80.45124828940486,0.83,0.3,180.33184966312803,46.7693668537632,-75.53184966312804
17716.2482811,2018-07-04 05:57:31.485,P,122270,1530683851485.0,201807040556.0,20959.0,32.8572,35.5682,8.1016, 7/04/2018 (185)  5:57:22.740,60,60,,3.3,3.3,0.0471997,0.0775308,0.0922588,(185),2018-07-04T05:57:22.740000Z,,,,,,,,,6.866490582812348,109.3,81.63600177464917,0.76,0.53,181.15478997404995,46.81140670003957,-71.85478997404995
17716.4994159,2018-07-04 11:59:09.530,P,122283,1530705549530.0,201807041157.0,20972.0,32.8417,35.5723,5.0, 7/04/2018 (185) 11:59:00.660,14,14,,1.8,1.8,0.247059,0.159892,0.23532,(185),2018-07-04T11:59:00.660000Z,,,,,,,,,3.1657763752196098,111.5,76.95493625845825,0.82,0.78,180.6618238834342,48.528687397483814,-69.16182388343422
17716.5203278,2018-07-04 12:29:16.318,P,122284,1530707356318.0,201807041227.0,20973.0,32.852,35.5781,7.0772, 7/04/2018 (185) 12:29:07.350,33,33,,2.1,1.9,0.073565,0.0720873,0.102847,(185),2018-07-04T12:29:07.350000Z,,,,,,,,,7.6387511698788755,112.3,78.70996429035695,0.87,0.59,180.0225924296294,47.38016190880807,-67.72259242962942
17716.7199144,2018-07-04 17:16:40.601,P,122287,1530724600601.0,201807041714.0,20976.0,32.8697,35.591,6.1111, 7/04/2018 (185) 17:16:31.750,27,27,,1.8,1.6,0.0585645,0.0718753,0.062499,(185),2018-07-04T17:16:31.750000Z,,,,,,,,,3.9230545620218136,98.4,77.40721773830847,0.87,0.05,178.50384201590603,45.427423379355,-80.10384201590601
17716.8234727,2018-07-04 19:45:48.040,P,122296,1530733548040.0,201807041944.0,20985.0,32.8533,35.5718,8.5709, 7/04/2018 (185) 19:45:39.660,63,63,,4.4,,0.0497581,0.0834827,0.0966043,(185),2018-07-04T19:45:39.660000Z,,,,,,,,,32.59437959681243,169.8,55.14543244888542,0.82,0.72,180.73644991288586,47.239488219567036,-10.936449912885799
17716.8274671,2018-07-04 19:51:33.154,P,122297,1530733893154.0,201807041950.0,20986.0,32.8558,35.5807,8.3213, 7/04/2018 (185) 19:51:24.490,45,45,,2.6,,0.0160673,0.0834751,0.0999093,(185),2018-07-04T19:51:24.490000Z,,,,,,,,,2.7435339843326085,121.7,71.37340162342902,0.87,0.47,179.72646512126943,46.95815008660152,-58.02646512126943
17716.8393404,2018-07-04 20:08:39.010,P,122301,1530734919010.0,201807042007.0,20990.0,32.8727,35.576,8.1268, 7/04/2018 (185) 20:08:30.380,46,46,,2.3,2.5,0.0742794,0.0802186,0.10136,(185),2018-07-04T20:08:30.380000Z,,,,,,,,,5.947992098788396,132.5,74.49412373780721,0.83,0.19,180.27301316388002,45.07893266267251,-47.77301316388003
17716.8438227,2018-07-04 20:15:06.278,P,122302,1530735306278.0,201807042013.0,20991.0,32.8565,35.5872,8.4288, 7/04/2018 (185) 20:14:57.510,52,52,,2.9,3.0,0.0812544,0.08674,0.103257,(185),2018-07-04T20:14:57.510000Z,,,,,,,,,6.1635311665264005,156.6,77.18214469595715,0.74,0.42,178.9840634146557,46.887116330686055,-22.384063414655696
17716.9094333,2018-07-04 21:49:35.033,P,122320,1530740975033.0,201807042148.0,21009.0,32.8742,35.5714,6.2491, 7/04/2018 (185) 21:49:26.690,56,56,,3.3,3.4,0.034953,0.0641907,0.0878072,(185),2018-07-04T21:49:26.690000Z,,,,,,,,,6.722626919712704,126.3,75.11290775755118,0.69,0.2,180.82201743534563,44.91623221887833,-54.522017435345624
