plt_num,pickTime,Phase,evid,pickTime_floats,evname,prefor,lat,lon,depth,time,nass,ndef,mb,ms,ml,emodelx,emodely,emodelz,Unknown,UTCtime,orid,etype,dtype,msid,mlid,algorithm,auth,lddate,snr,angle,inclination,Ps,Pp,epi_direction,epi_distance,offset
17849.9453313,2018-11-14 22:41:16.622,P,123261,1542235276622.0,201811142239.0,21948.0,33.166,35.7622,16.7342,11/14/2018 (318) 22:41:12.990,19,19,,1.4,,0.172954,0.182442,0.237285,(318),2018-11-14T22:41:12.990000Z,,,,,,,,,2.160411984149407,73.0,60.89812609306407,0.26,0.12,167.3210321198043,10.941216258867776,-94.3210321198043
17857.2872849,2018-11-22 06:53:41.414,P,123271,1542869621414.0,201811220652.0,21958.0,32.4304,35.4577,8.1895,11/22/2018 (326)  6:53:24.930,70,70,,2.3,2.2,0.11256,0.0502221,0.114857,(326),2018-11-22T06:53:24.930000Z,,,,,,,,,2.7682459620833737,190.4,56.54788638403617,0.75,0.42,195.80076405149603,96.06494037977232,-5.400764051495993
17857.5930649,2018-11-22 14:14:00.807,P,123274,1542896040807.0,201811221412.0,21961.0,33.0841,35.614,16.3469,11/22/2018 (326) 14:13:56.070,28,28,,1.9,1.7,0.115859,0.217857,0.207422,(326),2018-11-22T14:13:56.070000Z,,,,,,,,,16.794692714086985,186.3,56.52739230168786,0.78,0.82,209.97086951300383,22.827398294118503,-23.67086951300382
17858.6769782,2018-11-23 16:14:50.916,P,123281,1542989690916.0,201811231613.0,21967.0,33.2913,35.8235,5.0,11/23/2018 (327) 16:14:48.960,13,13,,1.2,,0.0927351,0.0986039,0.0359691,(327),2018-11-23T16:14:48.960000Z,,,,,,,,,7.189534708201058,47.2,62.86422985060753,0.82,0.67,68.05766676120251,8.727912657099145,-20.857666761202516
17864.1082229,2018-11-29 02:35:50.453,P,123295,1543458950453.0,201811290233.0,21981.0,33.6383,35.0148,14.0247,11/29/2018 (333)  2:35:36.750,13,13,,2.0,,0.655789,0.662218,0.67082,(333),2018-11-29T02:35:36.750000Z,,,,,,,,,4.682439671110197,332.5,61.43048267935131,0.86,0.85,302.2039491125283,78.94804603600005,30.296050887471754
17868.0117969,2018-12-03 00:16:59.247,P,123298,1543796219247.0,201812030016.0,21984.0,34.7422,33.2708,30.0,12/03/2018 (337)  0:16:19.470,32,32,,3.6,3.7,0.185076,0.82169,0.883059,(337),2018-12-03T00:16:19.470000Z,,,,,,,,,6.028615342040045,355.9,55.801926349904186,0.85,0.78,306.59512178381567,280.60534765889395,49.30487821618433
17873.7896675,2018-12-08 18:57:07.266,P,123304,1544295427266.0,201812081855.0,21990.0,33.2732,35.809,15.8552,12/08/2018 (342) 18:57:04.790,7,7,,0.9,,0.1932,0.315977,0.206494,(342),2018-12-08T18:57:04.790000Z,,,,,,,,,2.016593635633927,35.1,76.65460260849912,0.8,0.82,79.52615848075695,6.863700092446772,-44.42615848075695
17873.8817975,2018-12-08 21:09:47.305,P,123305,1544303387305.0,201812082108.0,21991.0,34.112,35.7526,10.5782,12/08/2018 (342) 21:09:30.970,11,11,,1.9,,0.8463,1.04428,0.471391,(342),2018-12-08T21:09:30.970000Z,,,,,,,,,2.753751873011949,7.3,55.681390892161474,0.83,0.67,0.9040624979658061,94.5275713115365,6.395937502034148
17879.5875595,2018-12-14 14:06:05.138,P,123309,1544796365138.0,201812141404.0,21995.0,32.8486,35.6406,18.6859,12/14/2018 (348) 14:05:55.940,19,19,,1.3,,0.168652,0.106026,0.19092,(348),2018-12-14T14:05:55.940000Z,,,,,,,,,2.796137744035964,150.3,54.59799006664877,0.84,0.42,191.01779564721892,46.82701576977125,-40.71779564721891
17879.6446733,2018-12-14 15:28:19.767,P,123310,1544801299767.0,201812141526.0,21996.0,34.5408,35.9547,8.9373,12/14/2018 (348) 15:27:56.550,60,60,,3.1,3.0,0.296657,0.307226,1.40684,(348),2018-12-14T15:27:56.550000Z,,,,,,,,,5.795592513767908,5.2,47.879473845475594,0.91,0.61,8.003651513285174,143.61613906273345,-2.8036515132851783
17880.8679028,2018-12-15 20:49:46.803,P,123311,1544906986803.0,201812152048.0,21997.0,34.5999,33.722,16.3782,12/15/2018 (349) 20:49:10.880,26,26,,2.0,,0.474641,0.507799,0.792011,(349),2018-12-15T20:49:10.880000Z,,,,,,,,,5.037757325536184,1.7,57.17370922590591,0.87,0.73,309.23539293539466,238.04711586787792,52.464607064605346
17888.4852886,2018-12-23 11:38:48.932,P,123319,1545565128932.0,201812231137.0,22005.0,33.0113,35.4031,21.434,12/23/2018 (357) 11:38:40.850,15,15,,1.5,,0.189583,0.190076,0.224475,(357),2018-12-23T11:38:40.850000Z,,,,,,,,,3.2581996243560134,189.1,51.616631740779006,0.66,0.57,228.15911805351968,41.71577386413112,-39.059118053519676
17888.9586945,2018-12-23 23:00:31.199,P,123321,1545606031199.0,201812232258.0,22007.0,33.4919,35.6005,7.8562,12/23/2018 (357) 23:00:25.360,13,13,,1.5,,0.274837,0.298558,0.293689,(357),2018-12-23T23:00:25.360000Z,,,,,,,,,3.3085741154243786,344.9,68.33152016499903,0.72,0.46,333.7649528946164,28.508657549365967,11.135047105383613
17891.0375388,2018-12-26 00:54:03.346,P,123325,1545785643346.0,201812260052.0,22011.0,32.9169,35.6947,7.2926,12/26/2018 (360)  0:53:56.140,42,42,,2.7,2.5,0.0373704,0.099417,0.0559263,(360),2018-12-26T00:53:56.140000Z,,,,,,,,,43.685805561482496,172.0,53.75155003025122,0.91,0.34,185.79217830108945,38.569511501052325,-13.792178301089427
17891.15245,2018-12-26 03:39:31.677,P,123330,1545795571677.0,201812260337.0,22016.0,31.3747,35.5363,16.0213,12/26/2018 (360)  3:38:59.730,55,55,4.0,3.7,3.8,0.208251,0.190981,0.255855,(360),2018-12-26T03:38:59.730000Z,,,,,,,,,17.356216350623427,176.9,57.18652099326446,0.87,0.72,185.1737781977847,210.69872700118356,-8.27377819778472
17891.6335332,2018-12-26 15:12:17.264,P,123332,1545837137264.0,201812261510.0,22018.0,32.3275,35.4552,16.7105,12/26/2018 (360) 15:11:59.930,60,60,,2.5,2.4,0.0997442,0.103669,0.116618,(360),2018-12-26T15:11:59.930000Z,,,,,,,,,4.095341932310612,190.4,65.99117320449332,0.8,0.39,194.27151887850596,107.18427000729599,-3.8715188785059
17894.1791331,2018-12-29 04:17:57.094,P,123337,1546057077094.0,201812290417.0,22023.0,33.1963,34.7086,29.2454,12/29/2018 (363)  4:17:40.830,26,26,,2.3,1.9,0.19847,0.271182,0.27116,(363),2018-12-29T04:17:40.830000Z,,,,,,,,,5.684964404427377,263.0,87.54983832084267,0.81,0.72,265.91177195008885,95.87705363371042,-2.91177195008894
17899.5462817,2019-01-03 13:06:38.734,P,123344,1546520798734.0,201901031305.0,22030.0,33.4101,35.6117,5.2158, 1/03/2019 (003) 13:06:34.720,17,17,,2.2,2.0,0.198522,0.216121,0.212006,(003),2019-01-03T13:06:34.720000Z,,,,,,,,,77.87708079838038,349.3,57.620699071541495,0.87,0.82,324.9094822500453,20.13442028447538,24.390517749954668
17909.055665,2019-01-13 01:20:09.453,P,123354,1547342409453.0,201901130118.0,22040.0,33.6431,35.8059,5.0, 1/13/2019 (013)  1:20:01.860,18,18,,2.0,,0.237706,0.45266,0.423103,(013),2019-01-13T01:20:01.860000Z,,,,,,,,,1.425681296129676,26.3,52.35237071254779,0.91,0.84,8.63242317329471,42.86411568659095,17.667576826705286
17912.764081,2019-01-16 18:20:16.597,P,123358,1547662816597.0,201901161818.0,22044.0,32.014,35.5358,25.7877, 1/16/2019 (016) 18:19:54.150,62,62,,2.4,2.2,0.229304,0.238858,0.24029,(016),2019-01-16T18:19:54.150000Z,,,,,,,,,4.37144470491669,182.0,46.39989420058926,0.65,0.36,187.76273292096369,140.0366175982543,-5.762732920963657
17919.9085731,2019-01-23 21:48:20.716,P,123373,1548280100716.0,201901232146.0,22059.0,32.8414,35.5662,5.0, 1/23/2019 (023) 21:48:11.430,35,35,,2.4,2.4,0.0076775,0.0513763,0.0262252,(023),2019-01-23T21:48:11.430000Z,,,,,,,,,2.0121587652340276,255.7,58.542416799023016,0.63,0.22,198.78224209974226,49.385504026158266,56.91775790025771
17920.8369327,2019-01-24 20:05:10.985,P,123375,1548360310985.0,201901242003.0,22061.0,32.7717,35.3194,5.96, 1/24/2019 (024) 20:04:58.760,52,52,,3.3,3.3,0.0797356,0.183999,0.112199,(024),2019-01-24T20:04:58.760000Z,,,,,,,,,13.795666128944958,176.5,61.554740446705374,0.88,0.66,215.60848543706882,66.96238702150484,-39.108485437068815
17927.488536,2019-01-31 11:43:29.505,P,123385,1548935009505.0,201901311142.0,22071.0,32.842,35.5743,6.8346, 1/31/2019 (031) 11:43:19.780,41,41,,2.5,2.5,0.072888,0.0757001,0.0856895,(031),2019-01-31T11:43:19.780000Z,,,,,,,,,4.505184322502888,151.4,66.92781371899713,0.77,0.31,197.97044018947253,49.084721480872055,-46.57044018947253
17935.0341966,2019-02-08 00:49:14.584,P,123398,1549586954584.0,201902080048.0,22084.0,34.5694,33.59,5.6209, 2/08/2019 (039)  0:48:40.060,40,40,,2.8,,0.202547,0.480894,1.70959,(039),2019-02-08T00:48:40.060000Z,,,,,,,,,5.212640425204463,341.1,68.27679631905876,0.71,0.66,306.873608766941,245.67700234996553,34.22639123305901
17936.8680737,2019-02-09 20:50:01.568,P,123402,1549745401568.0,201902092048.0,22088.0,32.8779,36.2538,9.8222, 2/09/2019 (040) 20:49:49.840,39,39,,1.7,1.6,0.390109,0.216963,0.300925,(040),2019-02-09T20:49:49.840000Z,,,,,,,,,2.3710569435646858,107.1,74.72255539253476,0.57,0.77,131.39544225917533,64.40919816071795,-24.295442259175303
17940.5644439,2019-02-13 13:32:47.949,P,123413,1550064767949.0,201902131331.0,22099.0,33.3335,35.412,6.3824, 2/13/2019 (044) 13:32:42.110,45,45,,2.3,2.1,0.16414,0.196447,0.168223,(044),2019-02-13T13:32:42.110000Z,,,,,,,,,4.989448812571817,345.0,75.74197194151645,0.9,0.79,284.86153961247203,31.18034268439403,60.138460387527985
17940.8841364,2019-02-13 21:13:09.380,P,123414,1550092389380.0,201902132111.0,22100.0,33.3281,35.4115,8.1336, 2/13/2019 (044) 21:13:03.270,43,43,,1.6,,0.0753351,0.0775246,0.118573,(044),2019-02-13T21:13:03.270000Z,,,,,,,,,2.3370549256418487,336.1,58.30909843325817,0.88,0.7,283.7689380604339,31.078728117276356,52.33106193956608
17941.0134586,2019-02-14 00:19:22.817,P,123415,1550103562817.0,201902140018.0,22101.0,33.3224,35.4158,5.0, 2/14/2019 (045)  0:19:16.770,30,30,,1.5,,0.156918,0.166655,0.193371,(045),2019-02-14T00:19:16.770000Z,,,,,,,,,1.6075016663366632,355.7,61.0651483432051,0.56,0.43,282.7894312645799,30.54591731733941,72.91056873542011
17944.9587218,2019-02-17 23:00:33.565,P,123421,1550444433565.0,201902172258.0,22107.0,32.1567,35.4753,5.0, 2/17/2019 (048) 23:00:11.610,49,49,,2.1,,0.0743488,0.120779,0.121146,(048),2019-02-17T23:00:11.610000Z,,,,,,,,,2.9018152877428194,129.4,67.03033955261054,0.79,0.73,191.31264049572394,125.30789123075624,-61.912640495723934
17948.5107278,2019-02-21 12:15:26.877,P,123423,1550751326877.0,201902211214.0,22109.0,33.3696,35.1192,9.8549, 2/21/2019 (052) 12:15:15.970,21,21,,2.1,,0.302775,0.417541,0.426911,(052),2019-02-21T12:15:15.970000Z,,,,,,,,,9.75260600797654,309.6,66.42148063118937,0.93,0.8,281.95349477044056,58.58529640784441,27.64650522955946
17948.5142545,2019-02-21 12:20:31.583,P,123424,1550751631583.0,201902211219.0,22110.0,33.398,35.0808,12.0059, 2/21/2019 (052) 12:20:20.080,17,17,,2.1,,0.083583,0.45497,0.464381,(052),2019-02-21T12:20:20.080000Z,,,,,,,,,10.169106896961445,339.0,72.66175564936127,0.74,0.87,284.123465520996,62.75799884997147,54.876534479003986
17961.8983743,2019-03-06 21:33:39.541,P,123431,1551908019541.0,201903062132.0,22117.0,34.833,32.6922,30.0, 3/06/2019 (065) 21:32:52.550,38,38,,3.4,,0.26185,0.956309,1.0203,(065),2019-03-06T21:32:52.550000Z,,,,,,,,,6.215018170687226,321.8,59.544301590594394,0.89,0.72,302.76158372158324,330.3976572811223,19.038416278416797
17962.8702184,2019-03-07 20:53:06.864,P,123433,1551991986864.0,201903072051.0,22119.0,33.1211,35.7213,8.5648, 3/07/2019 (066) 20:53:03.270,36,36,,1.7,,0.13241,0.171247,0.184205,(066),2019-03-07T20:53:03.270000Z,,,,,,,,,11.52026528088857,169.6,55.138393805233086,0.87,0.81,185.12889207503588,15.730245788997692,-15.52889207503586
17967.8989726,2019-03-12 21:34:31.230,P,123437,1552426471230.0,201903122133.0,22123.0,33.3874,35.8678,7.9613, 3/12/2019 (071) 21:34:27.360,43,43,,2.1,,0.191425,0.260567,0.280686,(071),2019-03-12T21:34:27.360000Z,,,,,,,,,14.50833279788725,22.7,50.51543168747856,0.89,0.33,41.1676936400549,18.533183946674757,-18.4676936400549
17973.6311931,2019-03-18 15:08:55.085,P,123443,1552921735085.0,201903181507.0,22129.0,33.2068,36.1591,12.2088, 3/18/2019 (077) 15:08:47.440,19,19,,2.1,1.9,0.368358,0.375818,0.413478,(077),2019-03-18T15:08:47.440000Z,,,,,,,,,28.525097254590538,58.4,73.36728855529407,0.9,0.87,98.75783334343511,39.79044898328795,-40.357833343435104
17973.8883843,2019-03-18 21:19:16.405,P,123444,1552943956405.0,201903182117.0,22130.0,34.5765,32.6677,21.8005, 3/18/2019 (077) 21:18:30.010,44,44,,3.2,,0.285616,0.509004,0.925219,(077),2019-03-18T21:18:30.010000Z,,,,,,,,,2.4029454109781967,355.1,70.00521292537363,0.73,0.37,298.15318164239955,318.6338194687912,56.946818357600506
