plt_num,pickTime,Phase,evid,confidence,pickTime_floats,evname,prefor,lat,lon,depth,time,nass,ndef,mb,ms,ml,emodelx,emodely,emodelz,Unknown,UTCtime,orid,etype,dtype,msid,mlid,algorithm,auth,lddate,snr,angle,inclination,Ps,Pp,epi_direction,epi_distance,offset
17588.6282737,2018-02-26 15:04:42.846,P,121984,0.0,1519657482846.0,201802261503.0,20673.0,33.206,35.4928,11.8897, 2/26/2018 (057) 15:04:37.450,24,24,,1.7,1.5,0.107171,0.144398,0.140361,(057),2018-02-26T15:04:37.450000Z,,,,,,,,,7.328379151037356,326.3,45.78283500288915,0.86,0.62,349.20328624017577,26.670930458350785,-22.90328624017576
17592.1738963,2018-03-02 04:10:24.641,P,121992,0.0,1519963824641.0,201803020408.0,20681.0,33.0148,35.5671,5.0, 3/02/2018 (061)  4:10:22.480,10,10,,0.8,,0.0919807,0.0550696,0.0554218,(061),2018-03-02T04:10:22.480000Z,,,,,,,,,4.75984822347145,65.3,86.17870335785291,0.86,0.76,21.2576704039613,5.297701858284939,44.0423295960387
17597.3712928,2018-03-07 08:54:39.692,P,121998,,1520412879692.0,201803070853.0,20687.0,32.9907,35.6423,15.1372, 3/07/2018 (066)  8:54:37.260,9,9,,1.2,,0.11816,0.112321,0.0604346,(066),2018-03-07T08:54:37.260000Z,,,,,,,,,1.088321919332932,348.5,32.383846757252606,0.36,0.47,75.79724944654298,9.216574710029903,-87.29724944654298
17617.054461400006,2018-03-27 01:18:25.466,P,122029,0.0,1522113505466.0,201803270117.0,20718.0,34.7012,32.7456,30.0, 3/27/2018 (086)  1:17:41.630,40,40,,2.9,2.7,0.248853,2.0344,2.17006,(086),2018-03-27T01:17:41.630000Z,,,,,,,,,1.4752333482989384,307.6,54.022614085328016,0.81,0.58,307.4205293821958,322.4099044765735,0.1794706178045717
17620.757363099998,2018-03-30 18:10:36.166,P,122033,,1522433436166.0,201803301808.0,20722.0,32.8457,35.5845,5.0, 3/30/2018 (089) 18:10:33.030,17,17,,1.6,,0.253239,0.158556,0.258495,(089),2018-03-30T18:10:33.030000Z,,,,,,,,,4.172116219116656,129.0,38.643719777002325,0.85,0.87,165.63919741249606,14.312592005237445,-36.639197412496074
17626.738912599998,2018-04-05 17:44:02.048,P,122049,,1522950242048.0,201804051743.0,20738.0,33.1069,35.6106,19.2904, 4/05/2018 (095) 17:43:57.430,14,14,,1.2,,0.118942,0.150032,0.114564,(095),2018-04-05T17:43:57.430000Z,,,,,,,,,11.365064697881206,344.3,73.80498228562512,0.85,0.71,21.47033760685357,16.311852617005385,-37.170337606853565
17632.105058,2018-04-11 02:31:17.012,P,122060,,1523413877012.0,201804110229.0,20749.0,33.8173,35.1905,21.1326, 4/11/2018 (101)  2:31:00.320,33,33,,2.4,2.4,0.410341,0.409835,0.415869,(101),2018-04-11T02:31:00.320000Z,,,,,,,,,9.394275758910677,332.0,51.374187457261385,0.86,0.54,340.758788447241,99.80199237134246,-8.75878844724095
17638.6569384,2018-04-17 15:45:59.474,P,122067,,1523979959474.0,201804171544.0,20756.0,34.0552,36.8732,5.0, 4/17/2018 (107) 15:45:30.050,19,19,,3.3,3.4,1.18265,1.24528,1.31431,(107),2018-04-17T15:45:30.050000Z,,,,,,,,,2.941794055948572,63.3,57.123885121143985,0.85,0.68,45.19380748424507,172.27189738317097,18.106192515754913
17639.404111099993,2018-04-18 09:41:55.200,P,122068,,1524044515200.0,201804180940.0,20757.0,33.1278,35.6484,5.0, 4/18/2018 (108)  9:41:50.900,9,9,,1.5,,0.0584695,0.107195,0.103513,(108),2018-04-18T09:41:50.900000Z,,,,,,,,,1.66916122776121,8.1,63.01005849868165,0.7,0.45,28.458650799514647,19.91293426412733,-20.358650799514653
17640.2381135,2018-04-19 05:42:53.005,P,122070,,1524116573005.0,201804190541.0,20759.0,32.9344,35.6358,23.2321, 4/19/2018 (109)  5:42:48.760,17,17,,1.5,,0.24839,0.127457,0.174199,(109),2018-04-19T05:42:48.760000Z,,,,,,,,,2.3267459954320886,124.1,36.16459592260746,0.75,0.59,115.63649875363173,9.243939226163034,8.463501246368242
