plt_num,pickTime,Phase,event
17576.1704034,2018-02-14 04:05:22.852000,P,121961
17588.6282818,2018-02-26 15:04:43.547000,P,121984
17592.1738984,2018-03-02 04:10:24.824000,P,121992
17592.1739277,2018-03-02 04:10:27.350000,S,121992
17604.1776692,2018-03-14 04:15:50.621000,P,122006
17604.1777448,2018-03-14 04:15:57.150000,S,122006
17617.0544678,2018-03-27 01:18:26.017000,P,122029
17620.7573543,2018-03-30 18:10:35.412000,P,122033
17620.7573773,2018-03-30 18:10:37.396000,S,122033
17624.9265248,2018-04-03 22:14:11.741000,P,122047
17624.9265412,2018-04-03 22:14:13.159000,S,122047
17626.7389192,2018-04-05 17:44:02.617000,P,122049
17626.7389602,2018-04-05 17:44:06.159000,S,122049
17632.1050648,2018-04-11 02:31:17.598000,P,122060
17632.1052085,2018-04-11 02:31:30.017000,S,122060
17638.6569452,2018-04-17 15:46:00.065000,P,122067
17639.40412,2018-04-18 09:41:55.972000,P,122068
17639.4041665,2018-04-18 09:41:59.989000,S,122068
17640.2381129,2018-04-19 05:42:52.955000,P,122070
17640.2381447,2018-04-19 05:42:55.702000,S,122070
17641.7113319,2018-04-20 17:04:19.077000,P,122073
17641.7113645,2018-04-20 17:04:21.894000,S,122073
17642.2643247,2018-04-21 06:20:37.657000,P,122074
17642.2643964,2018-04-21 06:20:43.847000,S,122074
17644.5406876,2018-04-23 12:58:35.410000,P,122076
17645.0437124,2018-04-24 01:02:56.750000,P,122077
17648.9053846,2018-04-27 21:43:45.225000,S,122079
17649.2852987,2018-04-28 06:50:49.811000,P,122083
17656.2133172,2018-05-05 05:07:10.609000,P,122102
17656.2133583,2018-05-05 05:07:14.161000,S,122102
17656.2140696,2018-05-05 05:08:15.614000,S,122103
17660.396619,2018-05-09 09:31:07.880000,S,122119
17661.9049697,2018-05-10 21:43:09.379000,P,122125
17661.9049975,2018-05-10 21:43:11.781000,S,122125
17664.795997,2018-05-13 19:06:14.143000,S,122129
17666.9577937,2018-05-15 22:59:13.379000,S,122135
17667.3403828,2018-05-16 08:10:09.072000,P,122138
17667.3404129,2018-05-16 08:10:11.675000,S,122138
17667.8806206,2018-05-16 21:08:05.621000,P,122140
17669.6559062,2018-05-18 15:44:30.295000,P,122144
17669.6559874,2018-05-18 15:44:37.314000,S,122144
17670.5881158,2018-05-19 14:06:53.203000,P,122147
17670.5881685,2018-05-19 14:06:57.760000,S,122147
17676.9859813,2018-05-25 23:39:48.785000,P,122164
17676.9860007,2018-05-25 23:39:50.462000,S,122164
17678.9683134,2018-05-27 23:14:22.281000,P,122166
17679.1341608,2018-05-28 03:13:11.492000,P,122169
17680.713679,2018-05-29 17:07:41.863000,P,122173
17683.0812477,2018-06-01 01:56:59.798000,P,122177
17684.3544225,2018-06-02 08:30:22.100000,P,122180
17684.3544446,2018-06-02 08:30:24.015000,S,122180
17689.5889788,2018-06-07 14:08:07.765000,P,122186
17689.589012,2018-06-07 14:08:10.637000,S,122186
17689.9912791,2018-06-07 23:47:26.512000,P,122188
17689.9913387,2018-06-07 23:47:31.666000,S,122188
17690.4650897,2018-06-08 11:09:43.751000,S,122192
17691.1037369,2018-06-09 02:29:22.867000,P,122195
17691.1037981,2018-06-09 02:29:28.152000,S,122195
