plt_num,pickTime,Phase,evid,confidence
17863.966934458425,2018-11-28 23:12:23.137,S,123294,2.0
17864.1082203,2018-11-29 02:35:50.236,P,123295,
17868.01179442754,2018-12-03 00:16:59.038,P,123298,0.0
17873.88183494153,2018-12-08 21:09:50.538,P,123305,0.0
17879.5875267,2018-12-14 14:06:02.308,P,123309,
17879.58758065129,2018-12-14 14:06:06.968,S,123309,0.0
17879.64470466509,2018-12-14 15:28:22.483,P,123310,0.0
17880.867896169584,2018-12-15 20:49:46.229,P,123311,0.0
17881.063298076864,2018-12-16 01:31:08.953,P,123313,0.0
17881.0668549705,2018-12-16 01:36:16.269,P,123314,0.0
17882.995652990558,2018-12-17 23:53:44.418,P,123316,0.0
17888.4852469,2018-12-23 11:38:45.329,P,123319,
17888.48528282087,2018-12-23 11:38:48.435,S,123319,0.0
17888.9587253,2018-12-23 23:00:33.869,P,123321,
17888.958788924134,2018-12-23 23:00:39.363,S,123321,1.0
17890.0116286,2018-12-25 00:16:44.707,P,123323,
17890.011660877186,2018-12-25 00:16:47.499,S,123323,0.0
17891.0375104,2018-12-26 00:54:00.902,P,123325,
17891.037558795717,2018-12-26 00:54:05.079,S,123325,2.0
17891.152418925813,2018-12-26 03:39:28.995,P,123330,0.0
17891.6334925,2018-12-26 15:12:13.749,P,123332,
17891.63362170539,2018-12-26 15:12:24.915,S,123332,0.0
17894.1791028,2018-12-29 04:17:54.481,P,123337,
17895.5169839,2018-12-30 12:24:27.405,P,123339,
17895.517032438354,2018-12-30 12:24:31.602,S,123339,2.0
17899.034086779524,2019-01-03 00:49:05.097,S,123343,2.0
17899.5463145,2019-01-03 13:06:41.572,P,123344,
17899.546377742547,2019-01-03 13:06:47.036,S,123344,2.0
17904.0345771,2019-01-08 00:49:47.459,P,123349,
17912.14893306178,2019-01-16 03:34:27.816,P,123356,0.0
17912.14897530911,2019-01-16 03:34:31.466,S,123356,1.0
17912.764044757725,2019-01-16 18:20:13.467,P,123358,0.0
17912.764218808537,2019-01-16 18:20:28.505,S,123358,2.0
17914.863285712745,2019-01-18 20:43:07.885,P,123363,0.0
17919.2319728,2019-01-23 05:34:02.446,P,123370,
17919.23202812875,2019-01-23 05:34:07.230,S,123370,1.0
17919.9085252,2019-01-23 21:48:16.577,P,123373,
17920.8368782,2019-01-24 20:05:06.276,P,123375,
17920.83695166958,2019-01-24 20:05:12.624,S,123375,0.0
17927.2680518,2019-01-31 06:25:59.678,P,123384,
17927.4884821,2019-01-31 11:43:24.857,P,123385,
17927.7088332,2019-01-31 17:00:43.189,P,123386,
17929.5027506,2019-02-02 12:03:57.649,P,123388,
17932.78868808935,2019-02-05 18:55:42.650,S,123393,0.0
17933.1915731,2019-02-06 04:35:51.916,P,123394,
17933.191627708773,2019-02-06 04:35:56.634,S,123394,2.0
17935.03419036355,2019-02-08 00:49:14.047,P,123398,0.0
17935.1085737,2019-02-08 02:36:20.766,P,123399,
17935.10860428865,2019-02-08 02:36:23.410,S,123399,0.0
17935.2634834,2019-02-08 06:19:24.963,P,123400,
17935.263545998176,2019-02-08 06:19:30.374,S,123400,2.0
17936.8680871,2019-02-09 20:50:02.722,P,123402,
17937.1264202,2019-02-10 03:02:02.703,P,123403,
17937.126475320005,2019-02-10 03:02:07.467,S,123403,0.0
17939.090039063834,2019-02-12 02:09:39.375,P,123408,0.0
17940.56221378463,2019-02-13 13:29:35.270,P,123412,0.0
17940.5644402,2019-02-13 13:32:47.629,P,123413,
17940.5644886571,2019-02-13 13:32:51.819,S,123413,0.0
17940.884134,2019-02-13 21:13:09.181,P,123414,
17940.884180596575,2019-02-13 21:13:13.203,S,123414,0.0
17941.013501822963,2019-02-14 00:19:26.557,S,123415,0.0
17948.510709,2019-02-21 12:15:25.259,P,123423,
17948.5107875067,2019-02-21 12:15:32.040,S,123423,0.0
17948.5142345,2019-02-21 12:20:29.863,P,123424,
17948.514313864383,2019-02-21 12:20:36.717,S,123424,1.0
17961.898367102225,2019-03-06 21:33:38.917,P,123431,0.0
17962.8702203,2019-03-07 20:53:07.029,P,123433,
17962.870259197454,2019-03-07 20:53:10.394,S,123433,2.0
17966.5085152,2019-03-11 12:12:15.714,P,123435,
17966.508595367115,2019-03-11 12:12:22.639,S,123435,0.0
17967.8990284,2019-03-12 21:34:36.055,P,123437,
17967.899103093634,2019-03-12 21:34:42.507,S,123437,0.0
17967.99516917782,2019-03-12 23:53:02.616,S,123438,1.0
17973.6312326,2019-03-18 15:08:58.499,P,123443,
17973.888377615847,2019-03-18 21:19:15.826,P,123444,0.0
17974.2472234,2019-03-19 05:56:00.102,P,123448,
17974.247267353938,2019-03-19 05:56:03.899,S,123448,1.0
17975.621925,2019-03-20 14:55:34.322,P,123451,
17980.6845044,2019-03-25 16:25:41.182,P,123454,
17982.1869706,2019-03-27 04:29:14.262,P,123458,
17982.2661899,2019-03-27 06:23:18.811,P,123459,
17982.9531202,2019-03-27 22:52:29.583,P,123463,
17984.8460157,2019-03-29 20:18:15.757,P,123465,
17987.13684798555,2019-04-01 03:17:03.665,S,123468,0.0
17989.0265761,2019-04-03 00:38:16.175,P,123470,
17990.5182089,2019-04-04 12:26:13.245,P,123471,
17990.518270083572,2019-04-04 12:26:18.535,S,123471,2.0
17990.7447364,2019-04-04 17:52:25.224,P,123472,
17990.744798688946,2019-04-04 17:52:30.606,S,123472,0.0
18001.708568652506,2019-04-15 17:00:20.331,P,123482,0.0
18003.0181577,2019-04-17 00:26:08.826,P,123484,
18003.018176290425,2019-04-17 00:26:10.431,S,123484,1.0
18005.200717923854,2019-04-19 04:49:02.028,P,123489,0.0
18005.200776131416,2019-04-19 04:49:07.057,S,123489,2.0
18008.7263006,2019-04-22 17:25:52.375,P,123491,
18008.8948432,2019-04-22 21:28:34.453,P,123492,
18008.894893048506,2019-04-22 21:28:38.759,S,123492,2.0
18010.7225487,2019-04-24 17:20:28.203,P,123495,
18010.72258760449,2019-04-24 17:20:31.569,S,123495,2.0
18012.458880529528,2019-04-26 11:00:47.277,S,123506,1.0
18013.22307486673,2019-04-27 05:21:13.668,P,123508,0.0
18015.505428536057,2019-04-29 12:07:49.025,P,123511,0.0
18019.75140382709,2019-05-03 18:02:01.290,P,123515,0.0
18021.089042197906,2019-05-05 02:08:13.245,P,123516,0.0
18021.0904827,2019-05-05 02:10:17.707,P,123517,
18023.37421760087,2019-05-07 08:58:52.400,P,123522,0.0
18023.374265929368,2019-05-07 08:58:56.576,S,123522,2.0
18023.965656654884,2019-05-07 23:10:32.734,P,123523,0.0
18023.965959260702,2019-05-07 23:10:58.880,S,123523,2.0
18024.02846590749,2019-05-08 00:40:59.454,S,123524,0.0
18030.6794520853,2019-05-14 16:18:24.660,P,123532,0.0
18031.70447996964,2019-05-15 16:54:27.069,P,123534,0.0
