plt_num,pickTime,Phase,event
17638.6572158,2018-04-17 15:46:23.448000,S,122067
17645.0437434,2018-04-24 01:02:59.427000,P,122077
17667.8805914,2018-05-16 21:08:03.095000,P,122140
17667.8807996,2018-05-16 21:08:21.086000,S,122140
17689.5889918,2018-06-07 14:08:08.889000,P,122186
17689.9912511,2018-06-07 23:47:24.092000,P,122188
17689.9912864,2018-06-07 23:47:27.148000,S,122188
17716.0765029,2018-07-04 01:50:09.851000,P,122249
17716.0795044,2018-07-04 01:54:29.179000,P,122250
17716.0821327,2018-07-04 01:58:16.263000,P,122251
17716.0821624,2018-07-04 01:58:18.827000,S,122251
17716.1179927,2018-07-04 02:49:54.570000,P,122252
17716.140143,2018-07-04 03:21:48.352000,P,122253
17716.1537569,2018-07-04 03:41:24.598000,P,122255
17716.1611446,2018-07-04 03:52:02.892000,P,122256
17716.1650751,2018-07-04 03:57:42.487000,P,122257
17716.1800998,2018-07-04 04:19:20.624000,P,122260
17716.1801325,2018-07-04 04:19:23.450000,S,122260
17716.2240764,2018-07-04 05:22:40.204000,P,122268
17716.2482091,2018-07-04 05:57:25.270000,P,122270
17716.3743184,2018-07-04 08:59:01.105000,S,122279
17716.3779915,2018-07-04 09:04:18.464000,P,122280
17716.3780233,2018-07-04 09:04:21.214000,S,122280
17716.4527579,2018-07-04 10:51:58.282000,P,122281
17716.4527874,2018-07-04 10:52:00.830000,S,122281
17716.4993789,2018-07-04 11:59:06.332000,S,122283
17716.520252,2018-07-04 12:29:09.776000,P,122284
17716.52028,2018-07-04 12:29:12.194000,S,122284
17716.7198447,2018-07-04 17:16:34.584000,P,122287
17716.7202921,2018-07-04 17:17:13.235000,P,122288
17716.7327898,2018-07-04 17:35:13.036000,P,122289
17716.7328227,2018-07-04 17:35:15.880000,S,122289
17716.7699247,2018-07-04 18:28:41.495000,P,122291
17716.7699575,2018-07-04 18:28:44.326000,S,122291
17716.8149243,2018-07-04 19:33:29.462000,P,122295
17716.8234005,2018-07-04 19:45:41.800000,P,122296
17716.827396,2018-07-04 19:51:27.012000,P,122297
17716.8367823,2018-07-04 20:04:57.994000,P,122300
17716.8392721,2018-07-04 20:08:33.107000,P,122301
17716.8393046,2018-07-04 20:08:35.920000,S,122301
17716.8437503,2018-07-04 20:15:00.030000,P,122302
17716.8566245,2018-07-04 20:33:32.354000,P,122305
17716.8626928,2018-07-04 20:42:16.657000,P,122306
17716.8655261,2018-07-04 20:46:21.453000,S,122308
17716.872778,2018-07-04 20:56:48.023000,P,122310
17716.8770508,2018-07-04 21:02:57.186000,P,122311
17716.8770775,2018-07-04 21:02:59.499000,S,122311
17716.8814363,2018-07-04 21:09:16.094000,P,122312
17716.8868122,2018-07-04 21:17:00.572000,P,122315
17716.8868433,2018-07-04 21:17:03.259000,S,122315
17716.8977266,2018-07-04 21:32:43.578000,P,122318
17716.9016735,2018-07-04 21:38:24.593000,S,122319
17716.9093673,2018-07-04 21:49:29.332000,P,122320
17716.9093991,2018-07-04 21:49:32.083000,S,122320
17716.9114432,2018-07-04 21:52:28.693000,P,122321
17716.9114753,2018-07-04 21:52:31.463000,S,122321
17716.926662,2018-07-04 22:14:23.597000,P,122323
17716.9266827,2018-07-04 22:14:25.384000,S,122323
17716.9289455,2018-07-04 22:17:40.891000,P,122324
17716.9289711,2018-07-04 22:17:43.101000,S,122324
17716.9297616,2018-07-04 22:18:51.398000,P,122325
17716.9321445,2018-07-04 22:22:17.282000,P,122326
17716.932177,2018-07-04 22:22:20.094000,S,122326
17716.9417347,2018-07-04 22:36:05.878000,P,122328
17716.9445452,2018-07-04 22:40:08.701000,P,122329
17716.9473992,2018-07-04 22:44:15.287000,P,122330
17716.9593565,2018-07-04 23:01:28.399000,P,122332
17716.9593893,2018-07-04 23:01:31.234000,S,122332
17716.9763311,2018-07-04 23:25:55.004000,P,122335
17716.9790191,2018-07-04 23:29:47.254000,P,122336
17716.9901077,2018-07-04 23:45:45.301000,P,122337
17717.0267991,2018-07-05 00:38:35.439000,P,122343
17717.0268315,2018-07-05 00:38:38.241000,S,122343
17717.0355889,2018-07-05 00:51:14.879000,P,122346
17717.0356176,2018-07-05 00:51:17.357000,S,122346
17717.0382939,2018-07-05 00:55:08.593000,P,122348
17717.041433,2018-07-05 00:59:39.811000,S,122349
17717.0555257,2018-07-05 01:19:57.417000,P,122352
17717.0589178,2018-07-05 01:24:50.499000,P,122353
17717.0664625,2018-07-05 01:35:42.361000,P,122355
17717.0923371,2018-07-05 02:12:57.921000,P,122358
17717.0923632,2018-07-05 02:13:00.183000,S,122358
17717.0941297,2018-07-05 02:15:32.809000,S,122359
17717.1487394,2018-07-05 03:34:11.079000,P,122362
17717.1591201,2018-07-05 03:49:07.979000,P,122363
17717.1667467,2018-07-05 04:00:06.917000,P,122364
17717.1667753,2018-07-05 04:00:09.390000,S,122364
17717.1804938,2018-07-05 04:19:54.664000,P,122368
17717.211672,2018-07-05 05:04:48.460000,P,122371
17717.2117004,2018-07-05 05:04:50.916000,S,122371
17717.2975266,2018-07-05 07:08:26.294000,P,122374
17717.297553,2018-07-05 07:08:28.578000,S,122374
17717.2999021,2018-07-05 07:11:51.538000,P,122375
17717.2999306,2018-07-05 07:11:54.003000,S,122375
17717.3541302,2018-07-05 08:29:56.849000,P,122378
17717.3541586,2018-07-05 08:29:59.301000,S,122378
17717.3770532,2018-07-05 09:02:57.396000,P,122382
17717.3770854,2018-07-05 09:03:00.174000,S,122382
17717.3848328,2018-07-05 09:14:09.553000,P,122383
17717.3848605,2018-07-05 09:14:11.949000,S,122383
17717.4034975,2018-07-05 09:41:02.183000,P,122385
17717.4198277,2018-07-05 10:04:33.115000,P,122387
17717.4198546,2018-07-05 10:04:35.435000,S,122387
17717.4315224,2018-07-05 10:21:23.536000,P,122388
17717.432868,2018-07-05 10:23:19.794000,P,122389
17717.4484208,2018-07-05 10:45:43.554000,S,122392
17717.6338516,2018-07-05 15:12:44.781000,P,122398
17717.7025528,2018-07-05 16:51:40.565000,P,122400
17717.7025828,2018-07-05 16:51:43.149000,S,122400
17717.742063,2018-07-05 17:48:34.245000,P,122402
17717.7704079,2018-07-05 18:29:23.238000,P,122403
17717.8222091,2018-07-05 19:43:58.868000,P,122405
