plt_num,pickTime,Phase,event
17533.7159987,2018-01-02 17:11:02.290000,P,121890
17533.7160508,2018-01-02 17:11:06.790000,S,121890
17537.8065136,2018-01-06 19:21:22.771000,P,121891
17537.8066015,2018-01-06 19:21:30.367000,S,121891
17538.0268763,2018-01-07 00:38:42.116000,P,121892
17538.0269917,2018-01-07 00:38:52.082000,S,121892
17538.091359,2018-01-07 02:11:33.417000,P,121893
17538.2909113,2018-01-07 06:58:54.739000,P,121894
17538.2909475,2018-01-07 06:58:57.862000,S,121894
17541.1318358,2018-01-10 03:09:50.611000,P,121896
17541.8410131,2018-01-10 20:11:03.535000,P,121898
17541.8411254,2018-01-10 20:11:13.230000,S,121898
17546.3870739,2018-01-15 09:17:23.184000,P,121907
17546.3871096,2018-01-15 09:17:26.271000,S,121907
17555.6583262,2018-01-24 15:47:59.380000,P,121921
17556.353294,2018-01-25 08:28:44.598000,P,121922
17556.3533419,2018-01-25 08:28:48.740000,S,121922
17556.8324811,2018-01-25 19:58:46.367000,P,121923
17556.8325446,2018-01-25 19:58:51.854000,S,121923
17558.6562939,2018-01-27 15:45:03.795000,P,121928
17558.6563295,2018-01-27 15:45:06.871000,S,121928
17559.5707921,2018-01-28 13:41:56.438000,P,121929
17560.7235573,2018-01-29 17:21:55.348000,P,121930
17560.7236443,2018-01-29 17:22:02.871000,S,121930
17561.0682587,2018-01-30 01:38:17.553000,P,121931
17561.6808313,2018-01-30 16:20:23.827000,P,121932
17561.6808952,2018-01-30 16:20:29.341000,S,121932
17562.6547572,2018-01-31 15:42:51.025000,P,121934
17562.654878,2018-01-31 15:43:01.460000,S,121934
17566.4900378,2018-02-04 11:45:39.262000,P,121940
17567.7872007,2018-02-05 18:53:34.141000,P,121944
17569.1697649,2018-02-07 04:04:27.687000,P,121947
17570.3891225,2018-02-08 09:20:20.182000,P,121950
17572.1807381,2018-02-10 04:20:15.771000,P,121954
17575.1522869,2018-02-13 03:39:17.585000,P,121959
17588.6282536,2018-02-26 15:04:41.114000,P,121984
17588.6282903,2018-02-26 15:04:44.278000,S,121984
17591.4058449,2018-03-01 09:44:24.996000,P,121989
17591.4058726,2018-03-01 09:44:27.389000,S,121989
17610.3014424,2018-03-20 07:14:04.619000,P,122015
17610.3014575,2018-03-20 07:14:05.924000,S,122015
17612.0958533,2018-03-22 02:18:01.725000,P,122021
17614.0963064,2018-03-24 02:18:40.876000,P,122025
17617.05445,2018-03-27 01:18:24.480000,P,122029
17622.0123059,2018-04-01 00:17:43.229000,P,122045
17626.7389088,2018-04-05 17:44:01.723000,P,122049
17626.7389405,2018-04-05 17:44:04.460000,S,122049
17629.9424306,2018-04-08 22:37:06.003000,P,122053
17629.9642531,2018-04-08 23:08:31.469000,P,122054
17631.5695594,2018-04-10 13:40:09.929000,P,122059
17632.1050246,2018-04-11 02:31:14.126000,P,122060
17632.1051373,2018-04-11 02:31:23.866000,S,122060
17633.9038587,2018-04-12 21:41:33.392000,P,122061
17637.4728619,2018-04-16 11:20:55.265000,P,122064
17637.4729387,2018-04-16 11:21:01.901000,S,122064
17638.6568947,2018-04-17 15:45:55.699000,P,122067
17639.4040886,2018-04-18 09:41:53.251000,P,122068
17639.4041103,2018-04-18 09:41:55.130000,S,122068
17640.2381421,2018-04-19 05:42:55.473000,P,122070
17641.7113616,2018-04-20 17:04:21.640000,P,122073
17641.7114198,2018-04-20 17:04:26.672000,S,122073
17642.2643819,2018-04-21 06:20:42.594000,P,122074
17642.2644952,2018-04-21 06:20:52.382000,S,122074
17644.536035,2018-04-23 12:51:53.420000,P,122075
17644.5406665,2018-04-23 12:58:33.583000,P,122076
17648.9053727,2018-04-27 21:43:44.199000,P,122079
17649.1983048,2018-04-28 04:45:33.537000,P,122080
17649.2853484,2018-04-28 06:50:54.100000,P,122083
17649.3022489,2018-04-28 07:15:14.301000,P,122084
17651.7577668,2018-04-30 18:11:11.047000,P,122089
17651.7578017,2018-04-30 18:11:14.069000,S,122089
17653.1745436,2018-05-02 04:11:20.562000,P,122090
17653.1745567,2018-05-02 04:11:21.698000,S,122090
17654.8089635,2018-05-03 19:24:54.450000,P,122093
17655.9575688,2018-05-04 22:58:53.942000,P,122100
17656.2133133,2018-05-05 05:07:10.266000,P,122102
17656.2133479,2018-05-05 05:07:13.257000,S,122102
17656.2139948,2018-05-05 05:08:09.147000,P,122103
17656.2140292,2018-05-05 05:08:12.126000,S,122103
17656.2545416,2018-05-05 06:06:32.391000,P,122104
17660.2442657,2018-05-09 05:51:44.553000,P,122118
17660.3964156,2018-05-09 09:30:50.311000,P,122119
17660.3965285,2018-05-09 09:31:00.064000,S,122119
17664.0877595,2018-05-13 02:06:22.421000,P,122128
17664.7960414,2018-05-13 19:06:17.979000,S,122129
17666.6010841,2018-05-15 14:25:33.663000,P,122131
17667.3404013,2018-05-16 08:10:10.668000,P,122138
17667.3404509,2018-05-16 08:10:14.959000,S,122138
17667.8806381,2018-05-16 21:08:07.134000,P,122140
17669.6558441,2018-05-18 15:44:24.929000,P,122144
17669.6558732,2018-05-18 15:44:27.443000,S,122144
17670.5880882,2018-05-19 14:06:50.824000,P,122147
17670.5881192,2018-05-19 14:06:53.496000,S,122147
17673.4692153,2018-05-22 11:15:40.198000,P,122155
17673.4699175,2018-05-22 11:16:40.874000,P,122156
17674.9208613,2018-05-23 22:06:02.414000,P,122160
17678.9684549,2018-05-27 23:14:34.500000,S,122166
17679.1342263,2018-05-28 03:13:17.150000,P,122169
17679.1342943,2018-05-28 03:13:23.030000,S,122169
17680.7138124,2018-05-29 17:07:53.389000,S,122173
17683.0812146,2018-06-01 01:56:56.939000,P,122177
17683.8652867,2018-06-01 20:46:00.773000,S,122178
17684.3544497,2018-06-02 08:30:24.455000,P,122180
17684.3545054,2018-06-02 08:30:29.267000,S,122180
17689.5890066,2018-06-07 14:08:10.172000,P,122186
17689.5890608,2018-06-07 14:08:14.856000,S,122186
17689.9913375,2018-06-07 23:47:31.559000,P,122188
17689.9914454,2018-06-07 23:47:40.885000,S,122188
17690.4626982,2018-06-08 11:06:17.124000,P,122191
17690.4648694,2018-06-08 11:09:24.713000,P,122192
17691.1037975,2018-06-09 02:29:28.107000,P,122195
17691.6785049,2018-06-09 16:17:02.819000,P,122202
17693.7975522,2018-06-11 19:08:28.513000,P,122205
17693.7976612,2018-06-11 19:08:37.923000,S,122205
17694.06108,2018-06-12 01:27:57.311000,P,122206
17694.0612163,2018-06-12 01:28:09.084000,S,122206
17695.9642498,2018-06-13 23:08:31.183000,P,122209
17696.2819929,2018-06-14 06:46:04.190000,P,122211
17696.2820218,2018-06-14 06:46:06.687000,S,122211
17697.7074993,2018-06-15 16:58:47.940000,P,122217
17697.7075209,2018-06-15 16:58:49.805000,S,122217
17699.5660757,2018-06-17 13:35:08.941000,P,122220
17699.566126,2018-06-17 13:35:13.285000,S,122220
17699.6539411,2018-06-17 15:41:40.515000,P,122221
17703.6165183,2018-06-21 14:47:47.178000,P,122228
17703.6165354,2018-06-21 14:47:48.658000,S,122228
17703.7324297,2018-06-21 17:34:41.930000,P,122229
17709.8693132,2018-06-27 20:51:48.660000,P,122239
17709.869371,2018-06-27 20:51:53.651000,S,122239
17712.7667063,2018-06-30 18:24:03.426000,P,122242
17713.7001846,2018-07-01 16:48:15.946000,P,122243
17713.8223799,2018-07-01 19:44:13.621000,P,122244
17713.8224697,2018-07-01 19:44:21.379000,S,122244
17714.2497964,2018-07-02 05:59:42.406000,P,122246
17714.2498617,2018-07-02 05:59:48.047000,S,122246
17716.0765585,2018-07-04 01:50:14.652000,P,122249
17716.0766475,2018-07-04 01:50:22.341000,S,122249
17716.0821907,2018-07-04 01:58:21.273000,P,122251
17716.0822708,2018-07-04 01:58:28.199000,S,122251
17716.1180512,2018-07-04 02:49:59.623000,P,122252
17716.1524912,2018-07-04 03:39:35.242000,P,122254
17716.1538144,2018-07-04 03:41:29.560000,P,122255
17716.1538951,2018-07-04 03:41:36.539000,S,122255
17716.1611999,2018-07-04 03:52:07.674000,P,122256
17716.1612824,2018-07-04 03:52:14.796000,S,122256
17716.1651294,2018-07-04 03:57:47.181000,P,122257
17716.1652185,2018-07-04 03:57:54.875000,S,122257
17716.1763995,2018-07-04 04:14:00.919000,S,122259
17716.1801522,2018-07-04 04:19:25.151000,P,122260
17716.1802334,2018-07-04 04:19:32.168000,S,122260
17716.1857983,2018-07-04 04:27:32.976000,S,122262
17716.2241357,2018-07-04 05:22:45.322000,P,122268
17716.2242186,2018-07-04 05:22:52.485000,S,122268
17716.2482646,2018-07-04 05:57:30.058000,P,122270
17716.2483513,2018-07-04 05:57:37.555000,S,122270
17716.4994038,2018-07-04 11:59:08.487000,P,122283
17716.5203165,2018-07-04 12:29:15.343000,P,122284
17716.7199806,2018-07-04 17:16:46.321000,S,122287
17716.7700608,2018-07-04 18:28:53.254000,S,122291
17716.8234596,2018-07-04 19:45:46.912000,P,122296
17716.8235403,2018-07-04 19:45:53.878000,S,122296
17716.8274556,2018-07-04 19:51:32.168000,P,122297
17716.8368385,2018-07-04 20:05:02.850000,P,122300
17716.8393248,2018-07-04 20:08:37.662000,P,122301
17716.8394089,2018-07-04 20:08:44.927000,S,122301
17716.8438073,2018-07-04 20:15:04.951000,P,122302
17716.8438922,2018-07-04 20:15:12.282000,S,122302
17716.8868647,2018-07-04 21:17:05.108000,P,122315
17716.8869476,2018-07-04 21:17:12.273000,S,122315
17716.8977939,2018-07-04 21:32:49.396000,P,122318
17716.9094177,2018-07-04 21:49:33.689000,P,122320
17716.9095027,2018-07-04 21:49:41.036000,S,122320
17716.9115791,2018-07-04 21:52:40.438000,S,122321
17716.9322002,2018-07-04 22:22:22.096000,P,122326
17716.932281,2018-07-04 22:22:29.075000,S,122326
17716.944608,2018-07-04 22:40:14.127000,P,122329
17716.9446867,2018-07-04 22:40:20.928000,S,122329
17717.0269356,2018-07-05 00:38:47.235000,S,122343
17717.0383477,2018-07-05 00:55:13.239000,P,122348
17717.058977,2018-07-05 01:24:55.613000,P,122353
17717.0590665,2018-07-05 01:25:03.349000,S,122353
17717.0924042,2018-07-05 02:13:03.720000,P,122358
17717.0924838,2018-07-05 02:13:10.598000,S,122358
17717.1668072,2018-07-05 04:00:12.145000,P,122364
17717.1879566,2018-07-05 04:30:39.450000,S,122369
17717.3541927,2018-07-05 08:30:02.246000,P,122378
