plt_num,pickTime,Phase,event
17610.3015063,2018-03-20T07:14:10.147,P,122015
17612.7243755,2018-03-22T17:23:06.040,S,122022
17620.7573555,2018-03-30T18:10:35.511,P,122033
17620.7573859,2018-03-30T18:10:38.138,S,122033
17624.9264873,2018-04-03T22:14:08.504,P,122047
17624.9265186,2018-04-03T22:14:11.204,S,122047
17626.7388986,2018-04-05T17:44:00.835,P,122049
17626.7389417,2018-04-05T17:44:04.562,S,122049
17639.4040959,2018-04-18T09:41:53.886,P,122068
17640.2380877,2018-04-19T05:42:50.775,P,122070
17640.2381206,2018-04-19T05:42:53.615,S,122070
17641.7113078,2018-04-20T17:04:16.995,P,122073
17641.7113404,2018-04-20T17:04:19.808,S,122073
17642.2643178,2018-04-21T06:20:37.057,P,122074
17642.2644041,2018-04-21T06:20:44.510,S,122074
17645.0436998,2018-04-24T01:02:55.659,P,122077
17645.0437232,2018-04-24T01:02:57.687,S,122077
17648.9053182,2018-04-27T21:43:39.490,P,122079
17656.2133182,2018-05-05T05:07:10.690,P,122102
17656.2133619,2018-05-05T05:07:14.468,S,122102
17664.7959972,2018-05-13T19:06:14.155,S,122129
17667.3403833,2018-05-16T08:10:09.116,P,122138
17667.3404178,2018-05-16T08:10:12.093,S,122138
17669.655909,2018-05-18T15:44:30.541,P,122144
17670.5881191,2018-05-19T14:06:53.486,P,122147
17678.9683196,2018-05-27T23:14:22.811,P,122166
17678.9683417,2018-05-27T23:14:24.721,S,122166
17679.1341633,2018-05-28T03:13:11.709,P,122169
17679.1341854,2018-05-28T03:13:13.618,S,122169
17680.7136819,2018-05-29T17:07:42.113,P,122173
17680.713703,2018-05-29T17:07:43.937,S,122173
17683.8652439,2018-06-01T20:45:57.072,P,122178
17683.8652845,2018-06-01T20:46:00.576,S,122178
17684.3544301,2018-06-02T08:30:22.760,P,122180
17684.3544598,2018-06-02T08:30:25.323,S,122180
17689.5889779,2018-06-07T14:08:07.693,P,122186
17689.5890111,2018-06-07T14:08:10.560,S,122186
17689.9912839,2018-06-07T23:47:26.926,P,122188
17689.9913496,2018-06-07T23:47:32.603,S,122188
17691.1037418,2018-06-09T02:29:23.293,P,122195
17691.1038084,2018-06-09T02:29:29.049,S,122195
17691.6784547,2018-06-09T16:16:58.483,P,122202
17695.1623554,2018-06-13T03:53:47.510,S,122207
17696.2820575,2018-06-14T06:46:09.770,P,122211
17697.4718844,2018-06-15T11:19:30.810,S,122214
17699.5660514,2018-06-17T13:35:06.844,P,122220
17699.5660833,2018-06-17T13:35:09.594,S,122220
17704.7641769,2018-06-22T18:20:24.882,P,122232
17709.8692803,2018-06-27T20:51:45.817,P,122239
17709.8693126,2018-06-27T20:51:48.608,S,122239
17712.7668438,2018-06-30T18:24:15.301,S,122242
17714.2497374,2018-07-02T05:59:37.313,P,122246
17714.2497621,2018-07-02T05:59:39.442,S,122246
17714.2576681,2018-07-02T06:11:02.520,P,122247
17714.2576927,2018-07-02T06:11:04.650,S,122247
17716.0765031,2018-07-04T01:50:09.865,P,122249
17716.0765355,2018-07-04T01:50:12.668,S,122249
17716.0795029,2018-07-04T01:54:29.053,P,122250
17716.0795334,2018-07-04T01:54:31.685,S,122250
17716.1179872,2018-07-04T02:49:54.096,P,122252
17716.1180195,2018-07-04T02:49:56.883,S,122252
17716.1401415,2018-07-04T03:21:48.228,P,122253
17716.1401719,2018-07-04T03:21:50.856,S,122253
17716.1524314,2018-07-04T03:39:30.075,P,122254
17716.1524621,2018-07-04T03:39:32.727,S,122254
17716.1611444,2018-07-04T03:52:02.872,P,122256
17716.161176,2018-07-04T03:52:05.602,S,122256
17716.1650733,2018-07-04T03:57:42.335,P,122257
17716.1651059,2018-07-04T03:57:45.150,S,122257
17716.172598,2018-07-04T04:08:32.465,P,122258
17716.1726257,2018-07-04T04:08:34.856,S,122258
17716.1762562,2018-07-04T04:13:48.539,P,122259
17716.1762819,2018-07-04T04:13:50.759,S,122259
17716.1800963,2018-07-04T04:19:20.323,P,122260
17716.1801249,2018-07-04T04:19:22.790,S,122260
17716.1831321,2018-07-04T04:23:42.616,S,122261
17716.191096,2018-07-04T04:35:10.691,P,122263
17716.1941649,2018-07-04T04:39:35.849,P,122264
17716.1941923,2018-07-04T04:39:38.218,S,122264
17716.2115035,2018-07-04T05:04:33.902,P,122265
17716.211537,2018-07-04T05:04:36.793,S,122265
17716.2167973,2018-07-04T05:12:11.288,P,122267
17716.2168245,2018-07-04T05:12:13.635,S,122267
17716.2240746,2018-07-04T05:22:40.044,P,122268
17716.2302311,2018-07-04T05:31:31.966,P,122269
17716.2302613,2018-07-04T05:31:34.577,S,122269
17716.2482094,2018-07-04T05:57:25.291,P,122270
