plt_num,pickTime,Phase,event
17775.1912672,2018-09-01T04:35:25.483,P,123039
17775.1912955,2018-09-01T04:35:27.932,S,123039
17784.9068432,2018-09-10T21:45:51.249,P,123063
17784.9068862,2018-09-10T21:45:54.967,S,123063
17807.6913227,2018-10-03T16:35:30.284,P,123132
17807.691362,2018-10-03T16:35:33.677,S,123132
17820.2855746,2018-10-16T06:51:13.648,P,123180
17820.2856132,2018-10-16T06:51:16.978,S,123180
17857.5930488,2018-11-22T14:13:59.417,P,123274
17857.5930808,2018-11-22T14:14:02.177,S,123274
17858.7960551,2018-11-23T19:06:19.162,S,123282
17891.0374905,2018-12-26T00:53:59.182,P,123325
17912.1489292,2019-01-16T03:34:27.478,P,123356
17912.1489664,2019-01-16T03:34:30.695,S,123356
17918.985392,2019-01-22T23:38:57.869,S,123369
17935.1086111,2019-02-08T02:36:23.998,S,123399
17974.2472153,2019-03-19T05:55:59.401,P,123448
17974.2472529,2019-03-19T05:56:02.653,S,123448
17980.8575121,2019-03-25T20:34:49.041,S,123455
18032.613062,2019-05-16T14:42:48.560,P,123537
18033.0943307,2019-05-17T02:15:50.176,P,123541
18033.0943694,2019-05-17T02:15:53.514,S,123541
18044.4200942,2019-05-28T10:04:56.140,P,123571
18044.4201283,2019-05-28T10:04:59.084,S,123571
18056.1533281,2019-06-09T03:40:47.545,P,123593
18056.1533738,2019-06-09T03:40:51.494,S,123593
18093.6979074,2019-07-16T16:44:59.202,P,123686
18093.6979323,2019-07-16T16:45:01.353,S,123686
18107.9562449,2019-07-30T22:56:59.555,P,123711
18107.9562802,2019-07-30T22:57:02.610,S,123711
18117.2795044,2019-08-09T06:42:29.175,P,123726
18117.2795283,2019-08-09T06:42:31.242,S,123726
18130.9251465,2019-08-22T22:12:12.661,P,123739
18130.9251707,2019-08-22T22:12:14.751,S,123739
18145.7480999,2019-09-06T17:57:15.835,P,123759
18145.7481345,2019-09-06T17:57:18.818,S,123759
18153.6854757,2019-09-14T16:27:05.103,P,123768
18162.0703317,2019-09-23T01:41:16.657,P,123782
18162.0703685,2019-09-23T01:41:19.841,S,123782
18163.0337839,2019-09-24T00:48:38.932,S,123785
18175.2187814,2019-10-06T05:15:02.709,P,123806
18175.2188116,2019-10-06T05:15:05.325,S,123806
18184.8028009,2019-10-15T19:16:02.001,P,123832
18184.8028333,2019-10-15T19:16:04.795,S,123832
18187.7721171,2019-10-18T18:31:50.916,S,123838
18200.4826506,2019-10-31T11:35:01.011,P,123859
18200.4826846,2019-10-31T11:35:03.949,S,123859
18200.9157451,2019-10-31T21:58:40.376,S,123861
18235.6582373,2019-12-05T15:47:51.704,P,123967
18235.6582746,2019-12-05T15:47:54.921,S,123967
18273.8235811,2020-01-12T19:45:57.408,S,124032
18318.7572797,2020-02-26T18:10:28.967,P,124126
18318.7573195,2020-02-26T18:10:32.407,S,124126
18334.1666504,2020-03-13T03:59:58.593,P,124156
18334.16669,2020-03-13T04:00:02.017,S,124156
18336.5101354,2020-03-15T12:14:35.702,P,124161
18336.5101683,2020-03-15T12:14:38.538,S,124161
18348.1582731,2020-03-27T03:47:54.795,P,124183
18348.1582997,2020-03-27T03:47:57.090,S,124183
18353.3749914,2020-04-01T08:59:59.254,P,124200
18353.3750129,2020-04-01T09:00:01.116,S,124200
18354.0502513,2020-04-02T01:12:21.711,P,124205
18354.050284,2020-04-02T01:12:24.541,S,124205
18354.4008312,2020-04-02T09:37:11.812,P,124209
18354.4008648,2020-04-02T09:37:14.717,S,124209
18354.7049688,2020-04-02T16:55:09.306,S,124212
18354.7096111,2020-04-02T17:01:50.398,P,124214
18354.7096452,2020-04-02T17:01:53.343,S,124214
18355.3832529,2020-04-03T09:11:53.050,P,124221
18355.3832872,2020-04-03T09:11:56.011,S,124221
18355.3836464,2020-04-03T09:12:27.047,P,124222
18355.3845597,2020-04-03T09:13:45.954,P,124223
18355.3845931,2020-04-03T09:13:48.846,S,124223
18356.0210154,2020-04-04T00:30:15.728,P,124228
18356.0210493,2020-04-04T00:30:18.657,S,124228
18356.0328185,2020-04-04T00:47:15.516,P,124229
18356.0328531,2020-04-04T00:47:18.507,S,124229
18356.2475969,2020-04-04T05:56:32.375,P,124239
18356.2476301,2020-04-04T05:56:35.242,S,124239
18356.5886278,2020-04-04T14:07:37.438,P,124244
18356.5886618,2020-04-04T14:07:40.377,S,124244
18356.5906229,2020-04-04T14:10:29.815,S,124245
18356.6242338,2020-04-04T14:58:53.799,P,124246
18356.6242677,2020-04-04T14:58:56.728,S,124246
18357.7699651,2020-04-05T18:28:44.988,P,124260
18357.7699998,2020-04-05T18:28:47.983,S,124260
18422.2543287,2020-06-09T06:06:13.999,P,124460
18422.2543659,2020-06-09T06:06:17.211,S,124460
18431.5687092,2020-06-18T13:38:56.472,P,124483
18431.5687445,2020-06-18T13:38:59.526,S,124483
18431.5752954,2020-06-18T13:48:25.518,P,124484
18431.5753305,2020-06-18T13:48:28.554,S,124484
18442.6051022,2020-06-29T14:31:20.828,S,124500
18497.5649344,2020-08-23T13:33:30.335,S,124558
18500.857136,2020-08-26T20:34:16.547,P,124562
18500.8571671,2020-08-26T20:34:19.237,S,124562
