plt_num,pickTime,Phase,event
17714.2497276,2018-07-02T05:59:36.468,P,122246
17714.2497454,2018-07-02T05:59:38.000,S,122246
17714.2576587,2018-07-02T06:11:01.711,P,122247
17714.257676,2018-07-02T06:11:03.209,S,122247
17716.0764886,2018-07-04T01:50:08.613,P,122249
17716.0765033,2018-07-04T01:50:09.881,S,122249
17716.0794876,2018-07-04T01:54:27.725,P,122250
17716.0795018,2018-07-04T01:54:28.953,S,122250
17716.1179717,2018-07-04T02:49:52.757,P,122252
17716.1179859,2018-07-04T02:49:53.978,S,122252
17716.1401257,2018-07-04T03:21:46.863,P,122253
17716.1401404,2018-07-04T03:21:48.132,S,122253
17716.152416,2018-07-04T03:39:28.738,P,122254
17716.152432,2018-07-04T03:39:30.122,S,122254
17716.1611297,2018-07-04T03:52:01.608,P,122256
17716.1611458,2018-07-04T03:52:02.995,S,122256
17716.165058,2018-07-04T03:57:41.013,P,122257
17716.1650738,2018-07-04T03:57:42.376,S,122257
17716.1725828,2018-07-04T04:08:31.157,P,122258
17716.1725975,2018-07-04T04:08:32.420,S,122258
17716.1762399,2018-07-04T04:13:47.126,P,122259
17716.1762531,2018-07-04T04:13:48.271,S,122259
17716.180078,2018-07-04T04:19:18.742,P,122260
17716.1800939,2018-07-04T04:19:20.112,S,122260
17716.1830883,2018-07-04T04:23:38.828,P,122261
17716.1831014,2018-07-04T04:23:39.959,S,122261
17716.1910796,2018-07-04T04:35:09.274,P,122263
17716.1910937,2018-07-04T04:35:10.494,S,122263
17716.1941484,2018-07-04T04:39:34.423,P,122264
17716.1941574,2018-07-04T04:39:35.199,S,122264
17716.2114881,2018-07-04T05:04:32.572,P,122265
17716.2115021,2018-07-04T05:04:33.778,S,122265
17716.2167817,2018-07-04T05:12:09.936,P,122267
17716.2167961,2018-07-04T05:12:11.184,S,122267
17716.2240587,2018-07-04T05:22:38.673,P,122268
17716.2240744,2018-07-04T05:22:40.027,S,122268
17716.2302157,2018-07-04T05:31:30.639,P,122269
17716.2302316,2018-07-04T05:31:32.006,S,122269
17716.2481946,2018-07-04T05:57:24.015,P,122270
17716.2482105,2018-07-04T05:57:25.386,S,122270
17716.2541858,2018-07-04T06:06:01.654,P,122271
17716.2542017,2018-07-04T06:06:03.031,S,122271
17716.2617036,2018-07-04T06:16:51.193,P,122274
17716.261719,2018-07-04T06:16:52.521,S,122274
17716.28665,2018-07-04T06:52:46.559,P,122275
17716.2866626,2018-07-04T06:52:47.644,S,122275
17716.2969199,2018-07-04T07:07:33.875,P,122276
17716.2969348,2018-07-04T07:07:35.163,S,122276
17716.3129727,2018-07-04T07:30:40.838,P,122277
17716.3129858,2018-07-04T07:30:41.969,S,122277
17716.3296787,2018-07-04T07:54:44.242,P,122278
17716.3296917,2018-07-04T07:54:45.361,S,122278
17716.3742671,2018-07-04T08:58:56.674,P,122279
17716.3742801,2018-07-04T08:58:57.800,S,122279
17716.3779727,2018-07-04T09:04:16.844,P,122280
17716.3779861,2018-07-04T09:04:18.000,S,122280
17716.4527365,2018-07-04T10:51:56.429,P,122281
17716.4527492,2018-07-04T10:51:57.529,S,122281
17716.4698186,2018-07-04T11:16:32.325,P,122282
17716.4698311,2018-07-04T11:16:33.403,S,122282
17716.4993286,2018-07-04T11:59:01.992,P,122283
17716.4993421,2018-07-04T11:59:03.159,S,122283
17716.5202396,2018-07-04T12:29:08.701,P,122284
17716.5202553,2018-07-04T12:29:10.060,S,122284
17716.5339448,2018-07-04T12:48:52.828,P,122285
17716.5339571,2018-07-04T12:48:53.895,S,122285
17716.7198247,2018-07-04T17:16:32.857,P,122287
17716.719839,2018-07-04T17:16:34.086,S,122287
17716.7327695,2018-07-04T17:35:11.281,P,122289
17716.7327825,2018-07-04T17:35:12.412,S,122289
17716.7596557,2018-07-04T18:13:54.251,P,122290
17716.7596687,2018-07-04T18:13:55.373,S,122290
17716.7699047,2018-07-04T18:28:39.763,P,122291
17716.7699175,2018-07-04T18:28:40.875,S,122291
17716.774577,2018-07-04T18:35:23.450,P,122292
17716.7745911,2018-07-04T18:35:24.671,S,122292
17716.7810021,2018-07-04T18:44:38.585,P,122294
17716.7810146,2018-07-04T18:44:39.663,S,122294
17716.8149044,2018-07-04T19:33:27.741,P,122295
17716.8149175,2018-07-04T19:33:28.867,S,122295
17716.8233898,2018-07-04T19:45:40.878,P,122296
17716.8234098,2018-07-04T19:45:42.609,S,122296
17716.8273825,2018-07-04T19:51:25.845,P,122297
17716.8273989,2018-07-04T19:51:27.264,S,122297
17716.8302728,2018-07-04T19:55:35.568,S,122298
17716.8367624,2018-07-04T20:04:56.267,P,122300
17716.8367754,2018-07-04T20:04:57.396,S,122300
17716.8437379,2018-07-04T20:14:58.956,P,122302
17716.843755,2018-07-04T20:15:00.430,S,122302
17716.8500313,2018-07-04T20:24:02.701,P,122303
17716.8500443,2018-07-04T20:24:03.830,S,122303
17716.8563262,2018-07-04T20:33:06.581,P,122304
17716.85634,2018-07-04T20:33:07.772,S,122304
17716.8626802,2018-07-04T20:42:15.567,P,122306
17716.862697,2018-07-04T20:42:17.022,S,122306
17716.8690968,2018-07-04T20:51:29.963,P,122309
17716.86911,2018-07-04T20:51:31.103,S,122309
17716.8727616,2018-07-04T20:56:46.603,P,122310
17716.8727775,2018-07-04T20:56:47.978,S,122310
17716.877037,2018-07-04T21:02:55.999,P,122311
17716.8770539,2018-07-04T21:02:57.455,S,122311
17716.8814216,2018-07-04T21:09:14.821,P,122312
17716.8814389,2018-07-04T21:09:16.316,S,122312
17716.8863769,2018-07-04T21:16:22.967,P,122314
17716.8863914,2018-07-04T21:16:24.216,S,122314
17716.8937895,2018-07-04T21:27:03.414,P,122317
17716.8938031,2018-07-04T21:27:04.591,S,122317
17716.8977162,2018-07-04T21:32:42.682,P,122318
17716.8977336,2018-07-04T21:32:44.178,S,122318
17716.9016232,2018-07-04T21:38:20.247,P,122319
17716.9016359,2018-07-04T21:38:21.340,S,122319
17716.9093472,2018-07-04T21:49:27.598,P,122320
17716.9093611,2018-07-04T21:49:28.798,S,122320
17716.9193536,2018-07-04T22:03:52.153,P,122322
17716.9193674,2018-07-04T22:03:53.341,S,122322
17716.926649,2018-07-04T22:14:22.471,P,122323
17716.9266668,2018-07-04T22:14:24.008,S,122323
17716.9375758,2018-07-04T22:30:06.545,P,122327
17716.9375892,2018-07-04T22:30:07.709,S,122327
17716.9417197,2018-07-04T22:36:04.580,P,122328
17716.9417348,2018-07-04T22:36:05.890,S,122328
17716.9445329,2018-07-04T22:40:07.643,P,122329
17716.9445494,2018-07-04T22:40:09.071,S,122329
