plt_num,pickTime,Phase,event
17689.5889914,2018-06-07T14:08:08.860,P,122186
17689.5890321,2018-06-07T14:08:12.371,S,122186
17689.9913008,2018-06-07T23:47:28.387,P,122188
17689.991372,2018-06-07T23:47:34.543,S,122188
17690.0820098,2018-06-08T01:58:05.650,P,122189
17690.0821167,2018-06-08T01:58:14.886,S,122189
17690.4626613,2018-06-08T11:06:13.938,P,122191
17690.4649802,2018-06-08T11:09:34.288,P,122192
17690.4651249,2018-06-08T11:09:46.792,S,122192
17691.1037588,2018-06-09T02:29:24.759,P,122195
17691.1038303,2018-06-09T02:29:30.937,S,122195
17691.1447361,2018-06-09T03:28:25.201,P,122196
17691.1448067,2018-06-09T03:28:31.296,S,122196
17691.6071304,2018-06-09T14:34:16.069,P,122200
17691.6123344,2018-06-09T14:41:45.693,P,122201
17693.7977502,2018-06-11T19:08:45.614,S,122205
17696.0321333,2018-06-14T00:46:16.316,P,122210
17696.0322112,2018-06-14T00:46:23.051,S,122210
17696.2820489,2018-06-14T06:46:09.028,P,122211
17696.2821173,2018-06-14T06:46:14.933,S,122211
17697.4719012,2018-06-15T11:19:32.266,S,122214
17697.6658497,2018-06-15T15:58:49.412,S,122216
17699.5661053,2018-06-17T13:35:11.501,S,122220
17703.6165777,2018-06-21T14:47:52.316,P,122228
17703.6166399,2018-06-21T14:47:57.689,S,122228
17709.8692949,2018-06-27T20:51:47.079,P,122239
17709.8693351,2018-06-27T20:51:50.553,S,122239
17712.7667366,2018-06-30T18:24:06.038,P,122242
17714.2497639,2018-07-02T05:59:39.601,P,122246
17714.2498099,2018-07-02T05:59:43.576,S,122246
17714.2577405,2018-07-02T06:11:08.783,S,122247
17716.076533,2018-07-04T01:50:12.447,P,122249
17716.076587,2018-07-04T01:50:17.117,S,122249
17716.0795336,2018-07-04T01:54:31.705,P,122250
17716.0795852,2018-07-04T01:54:36.162,S,122250
17716.0821642,2018-07-04T01:58:18.990,P,122251
17716.0822166,2018-07-04T01:58:23.512,S,122251
17716.1180195,2018-07-04T02:49:56.882,P,122252
17716.1401755,2018-07-04T03:21:51.163,P,122253
17716.1402243,2018-07-04T03:21:55.378,S,122253
17716.152464,2018-07-04T03:39:32.893,P,122254
17716.15252,2018-07-04T03:39:37.725,S,122254
17716.1537846,2018-07-04T03:41:26.986,P,122255
17716.1538361,2018-07-04T03:41:31.435,S,122255
17716.161174,2018-07-04T03:52:05.433,P,122256
17716.1612272,2018-07-04T03:52:10.025,S,122256
17716.165104,2018-07-04T03:57:44.982,P,122257
17716.1651617,2018-07-04T03:57:49.966,S,122257
17716.1726281,2018-07-04T04:08:35.066,P,122258
17716.1726783,2018-07-04T04:08:39.406,S,122258
17716.1763005,2018-07-04T04:13:52.367,P,122259
17716.1763367,2018-07-04T04:13:55.494,S,122259
17716.1801264,2018-07-04T04:19:22.916,P,122260
17716.1801779,2018-07-04T04:19:27.369,S,122260
17716.1831856,2018-07-04T04:23:47.236,S,122261
17716.1857429,2018-07-04T04:27:28.186,S,122262
17716.1911843,2018-07-04T04:35:18.319,S,122263
17716.1942518,2018-07-04T04:39:43.357,S,122264
17716.2121729,2018-07-04T05:05:31.739,S,122266
17716.2168776,2018-07-04T05:12:18.223,S,122267
17716.224105,2018-07-04T05:22:42.671,P,122268
17716.2241634,2018-07-04T05:22:47.720,S,122268
17716.2303125,2018-07-04T05:31:38.995,S,122269
17716.2482384,2018-07-04T05:57:27.801,P,122270
17716.248291,2018-07-04T05:57:32.340,S,122270
17716.2542305,2018-07-04T06:06:05.511,P,122271
17716.2553127,2018-07-04T06:07:39.016,P,122272
17716.2553628,2018-07-04T06:07:43.349,S,122272
17716.2563363,2018-07-04T06:09:07.452,S,122273
17716.261799,2018-07-04T06:16:59.432,S,122274
17716.286698,2018-07-04T06:52:50.707,P,122275
17716.2867477,2018-07-04T06:52:54.998,S,122275
17716.2970196,2018-07-04T07:07:42.494,S,122276
17716.3130739,2018-07-04T07:30:49.587,S,122277
17716.3297795,2018-07-04T07:54:52.950,S,122278
17716.3743126,2018-07-04T08:59:00.607,P,122279
17716.3743622,2018-07-04T08:59:04.898,S,122279
17716.3780226,2018-07-04T09:04:21.151,P,122280
17716.3780682,2018-07-04T09:04:25.091,S,122280
17716.4527858,2018-07-04T10:52:00.695,P,122281
17716.4528409,2018-07-04T10:52:05.452,S,122281
17716.4699228,2018-07-04T11:16:41.327,S,122282
17716.4993741,2018-07-04T11:59:05.925,P,122283
17716.4994241,2018-07-04T11:59:10.244,S,122283
17716.5202851,2018-07-04T12:29:12.631,P,122284
17716.5203367,2018-07-04T12:29:17.094,S,122284
17716.7198735,2018-07-04T17:16:37.068,P,122287
17716.7199264,2018-07-04T17:16:41.644,S,122287
17716.7328161,2018-07-04T17:35:15.307,P,122289
17716.7328664,2018-07-04T17:35:19.659,S,122289
17716.7699511,2018-07-04T18:28:43.771,P,122291
17716.770001,2018-07-04T18:28:48.089,S,122291
17716.7758386,2018-07-04T18:37:12.459,S,122293
17716.7811046,2018-07-04T18:44:47.440,S,122294
17716.8234331,2018-07-04T19:45:44.617,P,122296
17716.8274236,2018-07-04T19:51:29.395,P,122297
17716.8274761,2018-07-04T19:51:33.936,S,122297
17716.8328503,2018-07-04T19:59:18.266,S,122299
17716.8368662,2018-07-04T20:05:05.236,S,122300
17716.8392997,2018-07-04T20:08:35.492,P,122301
17716.8393498,2018-07-04T20:08:39.824,S,122301
17716.8437793,2018-07-04T20:15:02.532,P,122302
17716.8438317,2018-07-04T20:15:07.056,S,122302
17716.8564206,2018-07-04T20:33:14.738,S,122304
17716.8567069,2018-07-04T20:33:39.475,S,122305
17716.8627241,2018-07-04T20:42:19.363,P,122306
17716.8627759,2018-07-04T20:42:23.834,S,122306
17716.865522,2018-07-04T20:46:21.102,P,122308
17716.8655758,2018-07-04T20:46:25.752,S,122308
17716.8977591,2018-07-04T21:32:46.384,P,122318
17716.8978103,2018-07-04T21:32:50.813,S,122318
17716.9093926,2018-07-04T21:49:31.521,P,122320
17716.9094461,2018-07-04T21:49:36.141,S,122320
17716.9114697,2018-07-04T21:52:30.980,P,122321
17716.911526,2018-07-04T21:52:35.847,S,122321
17716.9194472,2018-07-04T22:04:00.240,S,122322
17716.9266953,2018-07-04T22:14:26.473,P,122323
17716.926752,2018-07-04T22:14:31.376,S,122323
17716.9297917,2018-07-04T22:18:54.002,P,122325
17716.932171,2018-07-04T22:22:19.578,P,122326
17716.9322213,2018-07-04T22:22:23.917,S,122326
17716.9417663,2018-07-04T22:36:08.609,P,122328
17716.9418176,2018-07-04T22:36:13.042,S,122328
17716.9445744,2018-07-04T22:40:11.229,P,122329
17716.9446229,2018-07-04T22:40:15.415,S,122329
17716.9474849,2018-07-04T22:44:22.693,S,122330
17716.9502268,2018-07-04T22:48:19.592,S,122331
17716.9593925,2018-07-04T23:01:31.507,P,122332
17716.9609797,2018-07-04T23:03:48.646,S,122333
17716.9764107,2018-07-04T23:26:01.881,S,122335
17716.9791044,2018-07-04T23:29:54.622,S,122336
17716.9901959,2018-07-04T23:45:52.923,S,122337
17716.9924584,2018-07-04T23:49:08.403,S,122338
17717.0195382,2018-07-05T00:28:08.102,S,122340
17717.021145,2018-07-05T00:30:26.928,S,122341
17717.0245098,2018-07-05T00:35:17.649,S,122342
17717.0268759,2018-07-05T00:38:42.077,S,122343
17717.0379448,2018-07-05T00:54:38.431,S,122347
17717.0383194,2018-07-05T00:55:10.793,P,122348
17717.0383688,2018-07-05T00:55:15.067,S,122348
17717.0414762,2018-07-05T00:59:43.542,S,122349
17717.054348,2018-07-05T01:18:15.669,P,122350
17717.0556091,2018-07-05T01:20:04.627,S,122352
17717.0589508,2018-07-05T01:24:53.352,P,122353
17717.0590039,2018-07-05T01:24:57.936,S,122353
17717.0665503,2018-07-05T01:35:49.945,S,122355
17717.0744043,2018-07-05T01:47:08.527,S,122356
17717.0762486,2018-07-05T01:49:47.878,S,122357
17717.092369,2018-07-05T02:13:00.684,P,122358
17717.0924254,2018-07-05T02:13:05.555,S,122358
17717.0941222,2018-07-05T02:15:32.158,P,122359
17717.0941772,2018-07-05T02:15:36.909,S,122359
17717.100278,2018-07-05T02:24:24.019,P,122360
17717.100332,2018-07-05T02:24:28.682,S,122360
17717.124645,2018-07-05T02:59:29.327,S,122361
17717.1487742,2018-07-05T03:34:14.089,P,122362
17717.1591541,2018-07-05T03:49:10.918,P,122363
17717.1592098,2018-07-05T03:49:15.723,S,122363
17717.166773,2018-07-05T04:00:09.183,P,122364
17717.1668228,2018-07-05T04:00:13.489,S,122364
17717.1740749,2018-07-05T04:10:40.074,S,122365
17717.1761658,2018-07-05T04:13:40.721,P,122366
17717.1762188,2018-07-05T04:13:45.300,S,122366
17717.1790387,2018-07-05T04:17:48.939,P,122367
17717.1790842,2018-07-05T04:17:52.878,S,122367
17717.1805249,2018-07-05T04:19:57.349,P,122368
17717.1805745,2018-07-05T04:20:01.640,S,122368
17717.1878514,2018-07-05T04:30:30.361,P,122369
17717.1879065,2018-07-05T04:30:35.125,S,122369
17717.2051138,2018-07-05T04:55:21.829,S,122370
17717.2117057,2018-07-05T05:04:51.375,P,122371
17717.211761,2018-07-05T05:04:56.148,S,122371
17717.2302546,2018-07-05T05:31:33.997,S,122372
17717.2678374,2018-07-05T06:25:41.155,S,122373
17717.297559,2018-07-05T07:08:29.096,P,122374
17717.297613,2018-07-05T07:08:33.763,S,122374
17717.2999355,2018-07-05T07:11:54.428,P,122375
17717.3082437,2018-07-05T07:23:52.251,S,122376
17717.3212408,2018-07-05T07:42:35.202,S,122377
17717.3541636,2018-07-05T08:29:59.735,P,122378
17717.3542197,2018-07-05T08:30:04.578,S,122378
17717.3565537,2018-07-05T08:33:26.243,S,122379
17717.3692386,2018-07-05T08:51:42.216,S,122381
17717.3770771,2018-07-05T09:02:59.460,P,122382
17717.3848663,2018-07-05T09:14:12.450,P,122383
17717.3849221,2018-07-05T09:14:17.268,S,122383
17717.4035303,2018-07-05T09:41:05.016,P,122385
17717.4035829,2018-07-05T09:41:09.564,S,122385
17717.4198562,2018-07-05T10:04:35.575,P,122387
17717.4315525,2018-07-05T10:21:26.137,P,122388
17717.432901,2018-07-05T10:23:22.644,P,122389
17717.4471304,2018-07-05T10:43:52.066,S,122391
17717.4698734,2018-07-05T11:16:37.061,P,122393
17717.6328185,2018-07-05T15:11:15.518,P,122397
17717.6328687,2018-07-05T15:11:19.854,S,122397
17717.6338844,2018-07-05T15:12:47.616,P,122398
17717.6339367,2018-07-05T15:12:52.128,S,122398
17717.7025859,2018-07-05T16:51:43.419,P,122400
17717.7026402,2018-07-05T16:51:48.109,S,122400
17717.7233752,2018-07-05T17:21:39.618,S,122401
17717.7704372,2018-07-05T18:29:25.774,P,122403
17717.7755895,2018-07-05T18:36:50.936,S,122404
17717.8222365,2018-07-05T19:44:01.237,P,122405
17717.8222909,2018-07-05T19:44:05.932,S,122405
17717.8474424,2018-07-05T20:20:19.021,P,122406
17717.8619469,2018-07-05T20:41:12.210,P,122408
17717.8619992,2018-07-05T20:41:16.727,S,122408
17717.8644237,2018-07-05T20:44:46.208,P,122409
17717.8654624,2018-07-05T20:46:15.952,S,122410
17717.9466852,2018-07-05T22:43:13.602,S,122414
17717.9539174,2018-07-05T22:53:38.464,S,122415
17717.9727295,2018-07-05T23:20:43.831,P,122416
17717.9727806,2018-07-05T23:20:48.243,S,122416
17717.9979442,2018-07-05T23:57:02.378,P,122419
17718.0251887,2018-07-06T00:36:16.305,S,122421
17718.0383797,2018-07-06T00:55:16.002,P,122422
17718.0384342,2018-07-06T00:55:20.718,S,122422
17718.0460175,2018-07-06T01:06:15.909,P,122426
17718.0460712,2018-07-06T01:06:20.553,S,122426
17718.0574745,2018-07-06T01:22:45.796,P,122427
17718.0686926,2018-07-06T01:38:55.037,P,122430
17718.0687467,2018-07-06T01:38:59.717,S,122430
17718.1035234,2018-07-06T02:29:04.422,P,122434
17718.1134082,2018-07-06T02:43:18.467,S,122435
17718.1284234,2018-07-06T03:04:55.784,S,122436
17718.1518209,2018-07-06T03:38:37.322,S,122438
17718.1568531,2018-07-06T03:45:52.108,S,122439
17718.2354147,2018-07-06T05:38:59.833,P,122444
17718.2354714,2018-07-06T05:39:04.732,S,122444
17718.2575657,2018-07-06T06:10:53.674,S,122445
17718.2762871,2018-07-06T06:37:51.205,S,122446
17718.3624289,2018-07-06T08:41:53.852,S,122448
17718.3888839,2018-07-06T09:19:59.571,S,122449
17718.4228403,2018-07-06T10:08:53.402,P,122451
17718.4228903,2018-07-06T10:08:57.724,S,122451
17718.4613232,2018-07-06T11:04:18.320,P,122452
17718.4613769,2018-07-06T11:04:22.961,S,122452
17718.4926836,2018-07-06T11:49:27.865,S,122453
17718.5338848,2018-07-06T12:48:47.647,S,122455
17718.5386132,2018-07-06T12:55:36.183,S,122456
17718.5453611,2018-07-06T13:05:19.200,S,122457
17718.5594637,2018-07-06T13:25:37.665,P,122459
17718.5595168,2018-07-06T13:25:42.254,S,122459
17718.560639,2018-07-06T13:27:19.209,S,122460
17718.5753918,2018-07-06T13:48:33.850,S,122461
17718.6228976,2018-07-06T14:56:58.349,S,122463
17718.6300937,2018-07-06T15:07:20.096,S,122465
17718.6485976,2018-07-06T15:33:58.830,P,122467
17718.6699767,2018-07-06T16:04:45.988,S,122469
17718.6779301,2018-07-06T16:16:13.158,S,122470
17718.7176991,2018-07-06T17:13:29.203,P,122472
17718.7177492,2018-07-06T17:13:33.534,S,122472
17718.7289588,2018-07-06T17:29:42.037,S,122473
17718.7304474,2018-07-06T17:31:50.655,P,122474
17718.7304971,2018-07-06T17:31:54.953,S,122474
17718.7325001,2018-07-06T17:34:48.005,S,122475
17718.7708856,2018-07-06T18:30:04.515,S,122478
17718.7748166,2018-07-06T18:35:44.155,P,122479
17718.7748674,2018-07-06T18:35:48.541,S,122479
17718.817161,2018-07-06T19:36:42.714,S,122482
17718.8332856,2018-07-06T19:59:55.877,P,122483
17718.8477286,2018-07-06T20:20:43.752,P,122487
17718.8478869,2018-07-06T20:20:57.424,S,122488
17718.8544529,2018-07-06T20:30:24.730,S,122489
17718.9004116,2018-07-06T21:36:35.566,P,122492
17718.900461,2018-07-06T21:36:39.833,S,122492
17718.9310707,2018-07-06T22:20:44.510,P,122495
17718.9311215,2018-07-06T22:20:48.898,S,122495
17718.9501397,2018-07-06T22:48:12.074,S,122498
17718.954767,2018-07-06T22:54:51.871,P,122499
17718.9548178,2018-07-06T22:54:56.260,S,122499
17718.9882046,2018-07-06T23:43:00.879,P,122501
17718.9882537,2018-07-06T23:43:05.118,S,122501
17719.0682866,2018-07-07T01:38:19.964,S,122504
17719.0887774,2018-07-07T02:07:50.369,P,122505
17719.0888316,2018-07-07T02:07:55.051,S,122505
17719.0993481,2018-07-07T02:23:03.677,P,122506
17719.0994016,2018-07-07T02:23:08.301,S,122506
17719.1184177,2018-07-07T02:50:31.288,P,122507
17719.1184713,2018-07-07T02:50:35.917,S,122507
17719.1250079,2018-07-07T03:00:00.686,P,122508
17719.1866116,2018-07-07T04:28:43.239,P,122512
17719.1866666,2018-07-07T04:28:47.997,S,122512
17719.2650153,2018-07-07T06:21:37.323,S,122513
17719.3472704,2018-07-07T08:20:04.166,P,122517
17719.3473243,2018-07-07T08:20:08.816,S,122517
17719.3782928,2018-07-07T09:04:44.501,S,122519
17719.4177761,2018-07-07T10:01:35.857,P,122520
17719.4448313,2018-07-07T10:40:33.421,P,122521
17719.4448804,2018-07-07T10:40:37.667,S,122521
17719.4747402,2018-07-07T11:23:37.556,P,122522
17719.4747944,2018-07-07T11:23:42.234,S,122522
17719.4907072,2018-07-07T11:46:37.099,P,122523
17719.4907632,2018-07-07T11:46:41.939,S,122523
17719.6406991,2018-07-07T15:22:36.402,P,122526
17719.6407515,2018-07-07T15:22:40.933,S,122526
17719.7240331,2018-07-07T17:22:36.460,P,122528
17719.7244943,2018-07-07T17:23:16.306,S,122529
17719.7316258,2018-07-07T17:33:32.472,P,122530
17719.7316772,2018-07-07T17:33:36.908,S,122530
17719.7434508,2018-07-07T17:50:34.149,P,122532
17719.7435031,2018-07-07T17:50:38.663,S,122532
17719.7538122,2018-07-07T18:05:29.375,S,122534
17719.763331,2018-07-07T18:19:11.798,S,122536
17719.769799,2018-07-07T18:28:30.629,P,122537
17719.7698489,2018-07-07T18:28:34.948,S,122537
17719.7922599,2018-07-07T19:00:51.255,S,122538
17719.8609526,2018-07-07T20:39:46.305,S,122541
17719.9115086,2018-07-07T21:52:34.345,S,122542
17720.0066438,2018-07-08T00:09:34.020,S,122547
17720.0444412,2018-07-08T01:03:59.722,S,122548
17720.1019495,2018-07-08T02:26:48.436,S,122550
17720.2700359,2018-07-08T06:28:51.105,S,122552
17720.3402605,2018-07-08T08:09:58.502,P,122553
17720.3403105,2018-07-08T08:10:02.828,S,122553
17720.4611907,2018-07-08T11:04:06.877,P,122554
17720.4612415,2018-07-08T11:04:11.269,S,122554
17720.5272597,2018-07-08T12:39:15.236,P,122555
17720.5273109,2018-07-08T12:39:19.658,S,122555
17720.5363816,2018-07-08T12:52:23.372,P,122556
17720.5364326,2018-07-08T12:52:27.780,S,122556
17720.5631167,2018-07-08T13:30:53.280,P,122557
17720.5631686,2018-07-08T13:30:57.769,S,122557
17720.5791723,2018-07-08T13:54:00.485,P,122558
17720.5792243,2018-07-08T13:54:04.983,S,122558
17720.5986991,2018-07-08T14:22:07.602,P,122559
17720.5987503,2018-07-08T14:22:12.023,S,122559
17720.6182618,2018-07-08T14:50:17.815,P,122560
17720.6183124,2018-07-08T14:50:22.191,S,122560
17720.6192909,2018-07-08T14:51:46.735,P,122561
17720.619343,2018-07-08T14:51:51.231,S,122561
17720.7626697,2018-07-08T18:18:14.663,S,122562
17720.7756558,2018-07-08T18:36:56.662,P,122563
17720.7757093,2018-07-08T18:37:01.282,S,122563
17720.792288,2018-07-08T19:00:53.687,P,122564
17720.7923399,2018-07-08T19:00:58.171,S,122564
