plt_num,pickTime,Phase,event
17588.5444894,2018-02-26T13:04:03.888,S,121982
17588.6282567,2018-02-26T15:04:41.378,P,121984
17588.6282912,2018-02-26T15:04:44.360,S,121984
17591.4058608,2018-03-01T09:44:26.370,P,121989
17591.405897,2018-03-01T09:44:29.498,S,121989
17592.1739559,2018-03-02T04:10:29.786,S,121992
17597.3713118,2018-03-07T08:54:41.342,P,121998
17604.177625,2018-03-14T04:15:46.798,P,122006
17604.1776652,2018-03-14T04:15:50.272,S,122006
17610.3014533,2018-03-20T07:14:05.563,P,122015
17610.3014829,2018-03-20T07:14:08.125,S,122015
17617.0544586,2018-03-27T01:18:25.218,P,122029
17620.7574722,2018-03-30T18:10:45.594,S,122033
17622.0122995,2018-04-01T00:17:42.676,P,122045
17622.0123093,2018-04-01T00:17:43.524,S,122045
17622.199891,2018-04-01T04:47:50.583,S,122046
17624.9265266,2018-04-03T22:14:11.898,P,122047
17626.7389034,2018-04-05T17:44:01.250,P,122049
17626.7389277,2018-04-05T17:44:03.357,S,122049
17632.1050359,2018-04-11T02:31:15.103,P,122060
17632.1051542,2018-04-11T02:31:25.325,S,122060
17638.6569042,2018-04-17T15:45:56.525,P,122067
17639.4040771,2018-04-18T09:41:52.262,P,122068
17639.404088,2018-04-18T09:41:53.200,S,122068
17640.2381302,2018-04-19T05:42:54.447,P,122070
17640.238176,2018-04-19T05:42:58.402,S,122070
17641.7113493,2018-04-20T17:04:20.576,P,122073
17641.7113965,2018-04-20T17:04:24.659,S,122073
17642.2643658,2018-04-21T06:20:41.208,P,122074
17642.2644778,2018-04-21T06:20:50.885,S,122074
17644.5360434,2018-04-23T12:51:54.149,P,122075
17644.5406738,2018-04-23T12:58:34.220,P,122076
17647.5973571,2018-04-26T14:20:11.652,S,122078
17648.9054688,2018-04-27T21:43:52.506,S,122079
17649.1982949,2018-04-28T04:45:32.682,P,122080
17649.2853372,2018-04-28T06:50:53.137,P,122083
17651.7577824,2018-04-30T18:11:12.400,S,122089
17653.1745501,2018-05-02T04:11:21.130,P,122090
17653.1745647,2018-05-02T04:11:22.393,S,122090
17654.8089816,2018-05-03T19:24:56.011,P,122093
17654.809084,2018-05-03T19:25:04.860,S,122093
17655.6166214,2018-05-04T14:47:56.087,S,122097
17656.2133301,2018-05-05T05:07:11.722,S,122102
17656.2140117,2018-05-05T05:08:10.606,S,122103
17667.3403889,2018-05-16T08:10:09.598,P,122138
17667.3404334,2018-05-16T08:10:13.448,S,122138
17667.8806283,2018-05-16T21:08:06.285,P,122140
