plt_num,pickTime,Phase,event
17620.7573494,2018-03-30T18:10:34.991,P,122033
17620.757371,2018-03-30T18:10:36.855,S,122033
17640.2381195,2018-04-19T05:42:53.526,P,122070
17641.7113386,2018-04-20T17:04:19.655,P,122073
17641.7113765,2018-04-20T17:04:22.927,S,122073
17645.0437251,2018-04-24T01:02:57.848,P,122077
17648.9052954,2018-04-27T21:43:37.521,P,122079
17648.9053523,2018-04-27T21:43:42.437,S,122079
17670.5881327,2018-05-19T14:06:54.663,P,122147
17676.9859775,2018-05-25T23:39:48.452,P,122164
17676.9859974,2018-05-25T23:39:50.172,S,122164
17678.9683195,2018-05-27T23:14:22.803,P,122166
17678.9683403,2018-05-27T23:14:24.602,S,122166
17679.1341661,2018-05-28T03:13:11.950,P,122169
17679.1341928,2018-05-28T03:13:14.254,S,122169
17680.7136842,2018-05-29T17:07:42.312,P,122173
17684.3544411,2018-06-02T08:30:23.713,P,122180
17684.3544843,2018-06-02T08:30:27.444,S,122180
17689.588987,2018-06-07T14:08:08.474,P,122186
17689.5890253,2018-06-07T14:08:11.784,S,122186
17689.9912625,2018-06-07T23:47:25.082,P,122188
17689.9913135,2018-06-07T23:47:29.489,S,122188
17690.4650587,2018-06-08T11:09:41.070,S,122192
17691.1037202,2018-06-09T02:29:21.424,P,122195
17691.1037716,2018-06-09T02:29:25.868,S,122195
17691.1446981,2018-06-09T03:28:21.914,P,122196
17691.144748,2018-06-09T03:28:26.223,S,122196
17695.9642854,2018-06-13T23:08:34.255,S,122209
17697.4717882,2018-06-15T11:19:22.497,P,122214
17697.4718417,2018-06-15T11:19:27.125,S,122214
17697.6657365,2018-06-15T15:58:39.632,P,122216
17697.6657909,2018-06-15T15:58:44.332,S,122216
17699.566063,2018-06-17T13:35:07.839,P,122220
17714.2497371,2018-07-02T05:59:37.282,P,122246
17716.0764938,2018-07-04T01:50:09.066,P,122249
17716.0765163,2018-07-04T01:50:11.012,S,122249
17716.0794934,2018-07-04T01:54:28.231,P,122250
17716.0821257,2018-07-04T01:58:15.657,P,122251
17716.0821466,2018-07-04T01:58:17.465,S,122251
17716.1179771,2018-07-04T02:49:53.224,P,122252
17716.1401317,2018-07-04T03:21:47.377,P,122253
17716.1524215,2018-07-04T03:39:29.216,P,122254
17716.1537456,2018-07-04T03:41:23.623,P,122255
17716.1537457,2018-07-04T03:41:23.626,P,122255
17716.1611358,2018-07-04T03:52:02.130,P,122256
17716.1611582,2018-07-04T03:52:04.068,S,122256
17716.1650637,2018-07-04T03:57:41.506,P,122257
17716.1650848,2018-07-04T03:57:43.325,S,122257
17716.1725901,2018-07-04T04:08:31.786,P,122258
17716.1726098,2018-07-04T04:08:33.484,S,122258
17716.1762487,2018-07-04T04:13:47.883,P,122259
17716.1762704,2018-07-04T04:13:49.763,S,122259
17716.1800898,2018-07-04T04:19:19.758,P,122260
17716.1801109,2018-07-04T04:19:21.585,S,122260
17716.1830968,2018-07-04T04:23:39.566,P,122261
17716.1856451,2018-07-04T04:27:19.735,P,122262
17716.1910859,2018-07-04T04:35:09.818,P,122263
17716.1911061,2018-07-04T04:35:11.564,S,122263
17716.1941578,2018-07-04T04:39:35.232,P,122264
17716.1941791,2018-07-04T04:39:37.074,S,122264
17716.2114923,2018-07-04T05:04:32.936,P,122265
17716.2115112,2018-07-04T05:04:34.563,S,122265
17716.2120813,2018-07-04T05:05:23.822,P,122266
17716.2167896,2018-07-04T05:12:10.623,P,122267
17716.2168106,2018-07-04T05:12:12.431,S,122267
17716.2240651,2018-07-04T05:22:39.222,P,122268
17716.2240845,2018-07-04T05:22:40.896,S,122268
17716.2302223,2018-07-04T05:31:31.206,P,122269
17716.2302457,2018-07-04T05:31:33.227,S,122269
17716.2482011,2018-07-04T05:57:24.578,P,122270
17716.2482221,2018-07-04T05:57:26.386,S,122270
17716.2541921,2018-07-04T06:06:02.198,P,122271
17716.2542123,2018-07-04T06:06:03.939,S,122271
17716.2552738,2018-07-04T06:07:35.652,P,122272
17716.2552954,2018-07-04T06:07:37.526,S,122272
17716.2617104,2018-07-04T06:16:51.780,P,122274
17716.2617326,2018-07-04T06:16:53.695,S,122274
17716.2866596,2018-07-04T06:52:47.392,P,122275
17716.2866833,2018-07-04T06:52:49.435,S,122275
17716.2969461,2018-07-04T07:07:36.143,S,122276
17716.312982,2018-07-04T07:30:41.645,P,122277
17716.3130042,2018-07-04T07:30:43.559,S,122277
17716.3296808,2018-07-04T07:54:44.417,P,122278
17716.3297072,2018-07-04T07:54:46.698,S,122278
