plt_num,pickTime,Phase,event
17667.8806594,2018-05-16 21:08:08.974000,P,122140
17669.6558358,2018-05-18 15:44:24.214000,P,122144
17669.6558628,2018-05-18 15:44:26.543000,S,122144
17670.588093,2018-05-19 14:06:51.231000,P,122147
17684.3544617,2018-06-02 08:30:25.487000,P,122180
17689.5890207,2018-06-07 14:08:11.385000,P,122186
17689.5890843,2018-06-07 14:08:16.884000,S,122186
17689.9913531,2018-06-07 23:47:32.903000,P,122188
17689.9914758,2018-06-07 23:47:43.510000,S,122188
17696.2819845,2018-06-14 06:46:03.462000,P,122211
17696.2820096,2018-06-14 06:46:05.627000,S,122211
17697.7075058,2018-06-15 16:58:48.497000,P,122217
17697.7075299,2018-06-15 16:58:50.582000,S,122217
17699.5661449,2018-06-17 13:35:14.919000,S,122220
17699.6539221,2018-06-17 15:41:38.867000,P,122221
17703.6165103,2018-06-21 14:47:46.492000,P,122228
17703.6165249,2018-06-21 14:47:47.754000,S,122228
17716.0765716,2018-07-04 01:50:15.790000,P,122249
17716.082206,2018-07-04 01:58:22.599000,P,122251
17716.1525049,2018-07-04 03:39:36.427000,P,122254
17716.1612151,2018-07-04 03:52:08.984000,P,122256
17716.1651445,2018-07-04 03:57:48.485000,P,122257
17716.1801673,2018-07-04 04:19:26.451000,P,122260
17716.1802575,2018-07-04 04:19:34.243000,S,122260
17716.2241462,2018-07-04 05:22:46.235000,P,122268
17716.2242382,2018-07-04 05:22:54.183000,S,122268
17716.2482811,2018-07-04 05:57:31.487000,P,122270
17716.4994159,2018-07-04 11:59:09.532000,P,122283
17716.5203278,2018-07-04 12:29:16.320000,P,122284
17716.5204211,2018-07-04 12:29:24.387000,S,122284
17716.7199144,2018-07-04 17:16:40.603000,P,122287
17716.7200048,2018-07-04 17:16:48.411000,S,122287
17716.8234727,2018-07-04 19:45:48.042000,P,122296
17716.823568,2018-07-04 19:45:56.278000,S,122296
17716.8274671,2018-07-04 19:51:33.156000,P,122297
17716.8393404,2018-07-04 20:08:39.012000,P,122301
17716.8438227,2018-07-04 20:15:06.280000,P,122302
17716.8439125,2018-07-04 20:15:14.040000,S,122302
17716.9094333,2018-07-04 21:49:35.035000,P,122320
17717.0383608,2018-07-05 00:55:14.376000,P,122348
17717.0589922,2018-07-05 01:24:56.926000,P,122353
