plt_num,pickTime,Phase,event
17849.9453313,2018-11-14 22:41:16.624000,P,123261
17849.9453636,2018-11-14 22:41:19.416000,S,123261
17856.8544802,2018-11-21 20:30:27.089000,S,123270
17857.2872849,2018-11-22 06:53:41.416000,P,123271
17857.5930649,2018-11-22 14:14:00.809000,P,123274
17857.5931082,2018-11-22 14:14:04.551000,S,123274
17858.6769782,2018-11-23 16:14:50.918000,P,123281
17858.676995,2018-11-23 16:14:52.370000,S,123281
17858.7960583,2018-11-23 19:06:19.440000,S,123282
17858.9101461,2018-11-23 21:50:36.623000,S,123283
17863.9669081,2018-11-28 23:12:20.856000,S,123294
17864.1082229,2018-11-29 02:35:50.455000,P,123295
17864.1083355,2018-11-29 02:36:00.186000,S,123295
17868.0117969,2018-12-03 00:16:59.249000,P,123298
17873.7896675,2018-12-08 18:57:07.268000,P,123304
17873.789706,2018-12-08 18:57:10.600000,S,123304
17873.8817975,2018-12-08 21:09:47.307000,P,123305
17879.5875595,2018-12-14 14:06:05.140000,P,123309
17879.5876338,2018-12-14 14:06:11.564000,S,123309
17879.6446733,2018-12-14 15:28:19.769000,P,123310
17880.8679028,2018-12-15 20:49:46.805000,P,123311
17888.4852886,2018-12-23 11:38:48.934000,P,123319
17888.4853551,2018-12-23 11:38:54.676000,S,123319
17888.9586945,2018-12-23 23:00:31.201000,P,123321
17888.9587359,2018-12-23 23:00:34.781000,S,123321
17891.0375388,2018-12-26 00:54:03.348000,P,123325
17891.0376106,2018-12-26 00:54:09.553000,S,123325
17891.15245,2018-12-26 03:39:31.679000,P,123330
17891.6335332,2018-12-26 15:12:17.266000,P,123332
17891.633691,2018-12-26 15:12:30.900000,S,123332
17894.1791331,2018-12-29 04:17:57.096000,P,123337
17894.2159637,2018-12-29 05:10:59.261000,S,123338
17896.799463,2018-12-31 19:11:13.602000,S,123341
17899.5462817,2019-01-03 13:06:38.736000,P,123344
17899.546314,2019-01-03 13:06:41.530000,S,123344
17904.0347052,2019-01-08 00:49:58.532000,S,123349
17909.055665,2019-01-13 01:20:09.455000,P,123354
17909.0557332,2019-01-13 01:20:15.350000,S,123354
17912.1490512,2019-01-16 03:34:38.026000,S,123356
17912.7559668,2019-01-16 18:08:35.527000,S,123357
17912.764081,2019-01-16 18:20:16.599000,P,123358
17915.2537975,2019-01-19 06:05:28.100000,S,123364
17919.2321033,2019-01-23 05:34:13.727000,S,123370
17919.9085731,2019-01-23 21:48:20.718000,P,123373
17919.908656,2019-01-23 21:48:27.880000,S,123373
17920.8369327,2019-01-24 20:05:10.987000,P,123375
17920.8370405,2019-01-24 20:05:20.300000,S,123375
17927.488536,2019-01-31 11:43:29.507000,P,123385
17927.4886141,2019-01-31 11:43:36.256000,S,123385
17927.7089545,2019-01-31 17:00:53.666000,S,123386
17929.5028761,2019-02-02 12:04:08.492000,S,123388
17932.7886572,2019-02-05 18:55:39.979000,S,123393
17935.0341966,2019-02-08 00:49:14.586000,P,123398
17935.1086285,2019-02-08 02:36:25.502000,S,123399
17936.8680737,2019-02-09 20:50:01.570000,P,123402
17940.5644439,2019-02-13 13:32:47.951000,P,123413
17940.5644992,2019-02-13 13:32:52.727000,S,123413
17940.8841364,2019-02-13 21:13:09.382000,P,123414
17940.8841906,2019-02-13 21:13:14.066000,S,123414
17941.0134586,2019-02-14 00:19:22.819000,P,123415
17941.0135123,2019-02-14 00:19:27.465000,S,123415
17944.9587218,2019-02-17 23:00:33.567000,P,123421
17948.5107278,2019-02-21 12:15:26.879000,P,123423
17948.5142545,2019-02-21 12:20:31.585000,P,123424
17961.8983743,2019-03-06 21:33:39.543000,P,123431
17961.8987718,2019-03-06 21:34:13.880000,S,123431
17962.8702184,2019-03-07 20:53:06.866000,P,123433
17962.8702559,2019-03-07 20:53:10.111000,S,123433
17967.0577167,2019-03-12 01:23:06.724000,S,123436
17967.8989726,2019-03-12 21:34:31.232000,P,123437
17967.8990049,2019-03-12 21:34:34.024000,S,123437
17970.9731116,2019-03-15 23:21:16.840000,S,123442
17973.6311931,2019-03-18 15:08:55.087000,P,123443
17973.8883843,2019-03-18 21:19:16.407000,P,123444
17973.9644527,2019-03-18 23:08:48.714000,S,123445
17974.2472504,2019-03-19 05:56:02.433000,P,123448
17974.2473118,2019-03-19 05:56:07.735000,S,123448
17978.1315116,2019-03-23 03:09:22.604000,P,123452
17980.6845249,2019-03-25 16:25:42.947000,S,123454
17980.8575645,2019-03-25 20:34:53.575000,S,123455
17982.2662175,2019-03-27 06:23:21.190000,P,123459
17984.8461414,2019-03-29 20:18:26.616000,S,123465
17987.1367692,2019-04-01 03:16:56.860000,P,123468
17987.1367971,2019-04-01 03:16:59.271000,S,123468
17989.0265194,2019-04-03 00:38:11.274000,P,123470
17990.518248,2019-04-04 12:26:16.625000,P,123471
17990.7447258,2019-04-04 17:52:24.307000,P,123472
17994.2635314,2019-04-08 06:19:29.116000,P,123476
17994.2635405,2019-04-08 06:19:29.900000,S,123476
18008.7262533,2019-04-22 17:25:48.282000,P,123491
18008.894882,2019-04-22 21:28:37.801000,P,123492
18011.6299805,2019-04-25 15:07:10.316000,P,123501
18013.2230199,2019-04-27 05:21:08.918000,P,123508
18015.5053758,2019-04-29 12:07:44.469000,P,123511
18021.5138653,2019-05-05 12:19:57.957000,P,123518
18021.5138865,2019-05-05 12:19:59.797000,S,123518
18027.831417,2019-05-11 19:57:14.431000,S,123527
18031.7045142,2019-05-15 16:54:30.024000,P,123534
18044.1036494,2019-05-28 02:29:15.308000,P,123569
18044.1037749,2019-05-28 02:29:26.149000,S,123569
18044.4201531,2019-05-28 10:05:01.226000,S,123571
18049.0299522,2019-06-02 00:43:07.872000,P,123579
18049.0299732,2019-06-02 00:43:09.688000,S,123579
18054.0834699,2019-06-07 02:00:11.797000,P,123590
18054.0834847,2019-06-07 02:00:13.076000,S,123590
18056.1532976,2019-06-09 03:40:44.909000,P,123593
18056.1533184,2019-06-09 03:40:46.708000,S,123593
18058.7415331,2019-06-11 17:47:48.461000,S,123601
18059.8610245,2019-06-12 20:39:52.517000,S,123605
18061.1232413,2019-06-14 02:57:28.046000,P,123608
18061.3732319,2019-06-14 08:57:27.238000,P,123609
18061.644382,2019-06-14 15:27:54.605000,P,123610
18061.6444744,2019-06-14 15:28:02.584000,S,123610
18062.4216111,2019-06-15 10:07:07.202000,S,123613
18062.8168178,2019-06-15 19:36:13.054000,P,123614
18062.8168386,2019-06-15 19:36:14.851000,S,123614
18062.8631915,2019-06-15 20:42:59.746000,P,123615
18062.9765955,2019-06-15 23:26:17.847000,P,123617
18063.0570541,2019-06-16 01:22:09.473000,S,123618
18066.7751623,2019-06-19 18:36:14.024000,P,123623
18073.371038,2019-06-26 08:54:17.685000,P,123640
18075.3864826,2019-06-28 09:16:32.098000,P,123652
18075.3866787,2019-06-28 09:16:49.036000,S,123652
18076.2386942,2019-06-29 05:43:43.180000,P,123655
18076.23892,2019-06-29 05:44:02.690000,S,123655
18078.80588,2019-07-01 19:20:28.035000,P,123662
18078.8060056,2019-07-01 19:20:38.883000,S,123662
18079.1556543,2019-07-02 03:44:08.533000,P,123665
18082.8301761,2019-07-05 19:55:27.214000,P,123674
18082.8302255,2019-07-05 19:55:31.480000,S,123674
18084.1101169,2019-07-07 02:38:34.099000,P,123675
18084.1101446,2019-07-07 02:38:36.491000,S,123675
18087.9347556,2019-07-10 22:26:02.887000,P,123678
18087.9349549,2019-07-10 22:26:20.100000,S,123678
18093.6979373,2019-07-16 16:45:01.786000,P,123686
18093.7135169,2019-07-16 17:07:27.859000,P,123687
18095.709311,2019-07-18 17:01:24.467000,P,123690
18095.9145239,2019-07-18 21:56:54.864000,P,123691
18098.9725053,2019-07-21 23:20:24.453000,P,123700
18098.9725678,2019-07-21 23:20:29.859000,S,123700
18107.9562537,2019-07-30 22:57:00.320000,P,123711
18107.9562951,2019-07-30 22:57:03.900000,S,123711
18110.6900852,2019-08-02 16:33:43.357000,P,123713
18110.690165,2019-08-02 16:33:50.254000,S,123713
18113.7952879,2019-08-05 19:05:12.873000,P,123720
18113.7953405,2019-08-05 19:05:17.421000,S,123720
18115.8807892,2019-08-07 21:08:20.190000,P,123723
18115.8808933,2019-08-07 21:08:29.182000,S,123723
18117.1004019,2019-08-09 02:24:34.721000,P,123724
18117.1103638,2019-08-09 02:38:55.434000,P,123725
18120.8957814,2019-08-12 21:29:55.514000,P,123730
18120.8958292,2019-08-12 21:29:59.642000,S,123730
18123.7216305,2019-08-15 17:19:08.879000,P,123733
18129.9991972,2019-08-21 23:58:50.638000,P,123738
