plt_num,pickTime,Phase,event
17612.7243891,2018-03-22T17:23:07.215,S,122022
17620.7573534,2018-03-30T18:10:35.331,P,122033
17624.9265158,2018-04-03T22:14:10.966,P,122047
17624.9265514,2018-04-03T22:14:14.038,S,122047
17640.2381133,2018-04-19T05:42:52.987,P,122070
17641.7113333,2018-04-20T17:04:19.201,P,122073
17641.711367,2018-04-20T17:04:22.107,S,122073
17645.0437305,2018-04-24T01:02:58.313,P,122077
17645.0437648,2018-04-24T01:03:01.277,S,122077
17667.340434,2018-05-16T08:10:13.496,S,122138
17669.6559236,2018-05-18T15:44:31.802,P,122144
17669.6560134,2018-05-18T15:44:39.560,S,122144
17670.5882002,2018-05-19T14:07:00.499,S,122147
17676.985976,2018-05-25T23:39:48.324,P,122164
17676.9860045,2018-05-25T23:39:50.792,S,122164
17678.968324,2018-05-27T23:14:23.193,P,122166
17678.9683481,2018-05-27T23:14:25.273,S,122166
17679.1341651,2018-05-28T03:13:11.860,P,122169
17679.1341891,2018-05-28T03:13:13.942,S,122169
17680.7136838,2018-05-29T17:07:42.277,P,122173
17680.713706,2018-05-29T17:07:44.196,S,122173
17684.3544486,2018-06-02T08:30:24.358,P,122180
17684.3544905,2018-06-02T08:30:27.979,S,122180
17689.5889829,2018-06-07T14:08:08.118,P,122186
17689.5890271,2018-06-07T14:08:11.940,S,122186
17689.9912661,2018-06-07T23:47:25.389,P,122188
17689.9913129,2018-06-07T23:47:29.431,S,122188
17691.1037248,2018-06-09T02:29:21.819,P,122195
17691.1037718,2018-06-09T02:29:25.880,S,122195
17691.1447479,2018-06-09T03:28:26.220,S,122196
17699.5660982,2018-06-17T13:35:10.883,S,122220
17709.8692835,2018-06-27T20:51:46.094,P,122239
17714.2497331,2018-07-02T05:59:36.943,P,122246
17714.2497541,2018-07-02T05:59:38.757,S,122246
17714.2576636,2018-07-02T06:11:02.134,P,122247
17714.2576846,2018-07-02T06:11:03.948,S,122247
17716.0764991,2018-07-04T01:50:09.524,P,122249
17716.0765258,2018-07-04T01:50:11.832,S,122249
17716.0794988,2018-07-04T01:54:28.695,P,122250
17716.0795255,2018-07-04T01:54:30.999,S,122250
17716.0821297,2018-07-04T01:58:16.007,P,122251
17716.0821527,2018-07-04T01:58:17.991,S,122251
17716.1179831,2018-07-04T02:49:53.741,P,122252
17716.1180075,2018-07-04T02:49:55.851,S,122252
17716.1401369,2018-07-04T03:21:47.827,P,122253
17716.1524269,2018-07-04T03:39:29.685,P,122254
17716.1524534,2018-07-04T03:39:31.974,S,122254
17716.1537493,2018-07-04T03:41:23.940,P,122255
17716.1611398,2018-07-04T03:52:02.474,P,122256
17716.1650697,2018-07-04T03:57:42.020,P,122257
17716.1650963,2018-07-04T03:57:44.320,S,122257
17716.1725933,2018-07-04T04:08:32.062,P,122258
17716.1726176,2018-07-04T04:08:34.159,S,122258
17716.1762522,2018-07-04T04:13:48.193,P,122259
17716.1762769,2018-07-04T04:13:50.327,S,122259
17716.180091,2018-07-04T04:19:19.859,P,122260
17716.1801173,2018-07-04T04:19:22.134,S,122260
17716.1831006,2018-07-04T04:23:39.888,P,122261
17716.1856506,2018-07-04T04:27:20.211,P,122262
17716.1910919,2018-07-04T04:35:10.343,P,122263
17716.1911166,2018-07-04T04:35:12.471,S,122263
17716.1941613,2018-07-04T04:39:35.537,P,122264
17716.1941855,2018-07-04T04:39:37.624,S,122264
