plt_num,pickTime,Phase,evid,confidence
17588.6282737,2018-02-26 15:04:42.848,P,121984,0.0
17592.1738963,2018-03-02 04:10:24.643,P,121992,0.0
17592.1739242,2018-03-02 04:10:27.051,S,121992,0.0
17597.3712928,2018-03-07 08:54:39.694,P,121998,
17597.3713273,2018-03-07 08:54:42.676,S,121998,1.0
17604.1777303,2018-03-14 04:15:55.902,S,122006,0.0
17610.3015513,2018-03-20 07:14:14.030,S,122015,1.0
17616.238911099994,2018-03-26 05:44:01.917,S,122026,2.0
17617.054461400006,2018-03-27 01:18:25.468,P,122029,0.0
17620.757363099998,2018-03-30 18:10:36.168,P,122033,
17622.0123905,2018-04-01 00:17:50.537,S,122045,0.0
17624.92654,2018-04-03 22:14:13.058,S,122047,1.0
17626.738912599998,2018-04-05 17:44:02.050,P,122049,
17632.105058,2018-04-11 02:31:17.014,P,122060,
17632.1051972,2018-04-11 02:31:29.036,S,122060,2.0
17638.6569384,2018-04-17 15:45:59.476,P,122067,
17639.404111099993,2018-04-18 09:41:55.202,P,122068,
17639.4041565,2018-04-18 09:41:59.120,S,122068,2.0
17640.2381135,2018-04-19 05:42:53.007,P,122070,
17640.238145599997,2018-04-19 05:42:55.783,S,122070,0.0
17641.7113324,2018-04-20 17:04:19.115,P,122073,
17641.7113652,2018-04-20 17:04:21.957,S,122073,0.0
17642.2643325,2018-04-21 06:20:38.327,P,122074,
17642.264409,2018-04-21 06:20:44.940,S,122074,2.0
17644.536054900003,2018-04-23 12:51:55.145,P,122075,0.0
17644.5406838,2018-04-23 12:58:35.078,P,122076,
17645.0437197,2018-04-24 01:02:57.385,P,122077,
17645.0437395,2018-04-24 01:02:59.090,S,122077,0.0
17649.198266900006,2018-04-28 04:45:30.259,P,122080,
17649.285306499998,2018-04-28 06:50:50.481,P,122083,
17651.757770599994,2018-04-30 18:11:11.381,P,122089,
17651.7578068,2018-04-30 18:11:14.508,S,122089,1.0
17656.213311000003,2018-05-05 05:07:10.067,P,122102,
17656.213346599998,2018-05-05 05:07:13.149,S,122102,0.0
17656.2139931,2018-05-05 05:08:09.007,P,122103,
17656.2140281,2018-05-05 05:08:12.029,S,122103,0.0
17659.6389998,2018-05-08 15:20:09.584,S,122116,0.0
17661.904970400006,2018-05-10 21:43:09.441,P,122125,
17661.9049971,2018-05-10 21:43:11.749,S,122125,0.0
17664.7959938,2018-05-13 19:06:13.863,S,122129,0.0
17667.340380200007,2018-05-16 08:10:08.852,P,122138,
17667.340409599998,2018-05-16 08:10:11.387,S,122138,0.0
17669.6558995,2018-05-18 15:44:29.718,P,122144,
17669.6559707,2018-05-18 15:44:35.872,S,122144,1.0
