plt_num,pickTime,Phase,event
17620.7573527,2018-03-30 18:10:35.275000,P,122033
17620.7573768,2018-03-30 18:10:37.359000,S,122033
17632.1050915,2018-04-11 02:31:19.903000,P,122060
17642.2643714,2018-04-21 06:20:41.684000,S,122074
17645.0437388,2018-04-24 01:02:59.033000,P,122077
17645.0437677,2018-04-24 01:03:01.533000,S,122077
17648.9052831,2018-04-27 21:43:36.461000,P,122079
17648.9053336,2018-04-27 21:43:40.823000,S,122079
17670.58822,2018-05-19 14:07:02.210000,S,122147
17678.968326,2018-05-27 23:14:23.367000,P,122166
17678.9683547,2018-05-27 23:14:25.849000,S,122166
17679.1341718,2018-05-28 03:13:12.442000,P,122169
17679.1342022,2018-05-28 03:13:15.067000,S,122169
17680.9432835,2018-05-29 22:38:19.697000,P,122174
17684.3545118,2018-06-02 08:30:29.823000,S,122180
17689.5890374,2018-06-07 14:08:12.833000,S,122186
17689.9912494,2018-06-07 23:47:23.949000,P,122188
17689.9912888,2018-06-07 23:47:27.348000,S,122188
17691.1037074,2018-06-09 02:29:20.317000,P,122195
17691.1037458,2018-06-09 02:29:23.635000,S,122195
17691.1447221,2018-06-09 03:28:23.991000,S,122196
17696.0321109,2018-06-14 00:46:14.385000,S,122210
17696.4510084,2018-06-14 10:49:27.127000,S,122212
17697.4718186,2018-06-15 11:19:25.130000,S,122214
17714.2497398,2018-07-02 05:59:37.518000,P,122246
17714.2497691,2018-07-02 05:59:40.049000,S,122246
17714.2576996,2018-07-02 06:11:05.248000,S,122247
17716.0764964,2018-07-04 01:50:09.289000,P,122249
17716.0765207,2018-07-04 01:50:11.385000,S,122249
17716.0794968,2018-07-04 01:54:28.520000,P,122250
17716.0795195,2018-07-04 01:54:30.488000,S,122250
17716.0821276,2018-07-04 01:58:15.822000,P,122251
17716.0821501,2018-07-04 01:58:17.772000,S,122251
17716.117981,2018-07-04 02:49:53.557000,P,122252
17716.1180022,2018-07-04 02:49:55.393000,S,122252
17716.1401349,2018-07-04 03:21:47.653000,P,122253
17716.1401567,2018-07-04 03:21:49.538000,S,122253
17716.1524243,2018-07-04 03:39:29.458000,P,122254
17716.1524472,2018-07-04 03:39:31.440000,S,122254
17716.1537484,2018-07-04 03:41:23.864000,P,122255
17716.153771,2018-07-04 03:41:25.813000,S,122255
17716.1611387,2018-07-04 03:52:02.385000,P,122256
17716.161164,2018-07-04 03:52:04.573000,S,122256
17716.1650668,2018-07-04 03:57:41.771000,P,122257
17716.1650891,2018-07-04 03:57:43.698000,S,122257
17716.1726174,2018-07-04 04:08:34.139000,S,122258
17716.1762786,2018-07-04 04:13:50.467000,S,122259
17716.1800939,2018-07-04 04:19:20.111000,P,122260
17716.1801193,2018-07-04 04:19:22.307000,S,122260
17716.185649,2018-07-04 04:27:20.075000,P,122262
17716.1856718,2018-07-04 04:27:22.041000,S,122262
17716.19109,2018-07-04 04:35:10.177000,P,122263
17716.1911126,2018-07-04 04:35:12.124000,S,122263
17716.1941878,2018-07-04 04:39:37.826000,S,122264
17716.2114948,2018-07-04 05:04:33.148000,P,122265
17716.2115192,2018-07-04 05:04:35.260000,S,122265
17716.2121121,2018-07-04 05:05:26.487000,S,122266
17716.216816,2018-07-04 05:12:12.906000,S,122267
17716.2240683,2018-07-04 05:22:39.497000,P,122268
17716.2240909,2018-07-04 05:22:41.451000,S,122268
17716.2302246,2018-07-04 05:31:31.405000,P,122269
17716.2302469,2018-07-04 05:31:33.331000,S,122269
17716.2482029,2018-07-04 05:57:24.734000,P,122270
17716.2482262,2018-07-04 05:57:26.741000,S,122270
17716.2541941,2018-07-04 06:06:02.368000,P,122271
17716.2542164,2018-07-04 06:06:04.299000,S,122271
17716.255298,2018-07-04 06:07:37.748000,S,122272
17716.2562691,2018-07-04 06:09:01.653000,S,122273
17716.261713,2018-07-04 06:16:52.002000,P,122274
17716.261736,2018-07-04 06:16:53.993000,S,122274
17716.2866653,2018-07-04 06:52:47.879000,P,122275
17716.286691,2018-07-04 06:52:50.103000,S,122275
17716.2969292,2018-07-04 07:07:34.681000,P,122276
17716.2969505,2018-07-04 07:07:36.522000,S,122276
17716.3297141,2018-07-04 07:54:47.297000,S,122278
17716.374306,2018-07-04 08:59:00.037000,S,122279
17716.3779862,2018-07-04 09:04:18.003000,P,122280
17716.3780101,2018-07-04 09:04:20.071000,S,122280
17716.4527751,2018-07-04 10:51:59.765000,S,122281
17716.4698581,2018-07-04 11:16:35.740000,S,122282
17716.4993412,2018-07-04 11:59:03.075000,P,122283
17716.4993655,2018-07-04 11:59:05.176000,S,122283
17716.5202461,2018-07-04 12:29:09.265000,P,122284
17716.5202685,2018-07-04 12:29:11.199000,S,122284
17716.7198615,2018-07-04 17:16:36.032000,S,122287
17716.7202867,2018-07-04 17:17:12.773000,P,122288
17716.7203094,2018-07-04 17:17:14.736000,S,122288
17716.7328095,2018-07-04 17:35:14.742000,S,122289
17716.7699429,2018-07-04 18:28:43.062000,S,122291
17716.7746096,2018-07-04 18:35:26.273000,S,122292
17716.7757734,2018-07-04 18:37:06.818000,S,122293
17716.7810422,2018-07-04 18:44:42.042000,S,122294
17716.814918,2018-07-04 19:33:28.914000,P,122295
17716.8149413,2018-07-04 19:33:30.930000,S,122295
17716.8233951,2018-07-04 19:45:41.335000,P,122296
17716.8234196,2018-07-04 19:45:43.452000,S,122296
17716.827391,2018-07-04 19:51:26.585000,P,122297
17716.8274159,2018-07-04 19:51:28.732000,S,122297
17716.8302635,2018-07-04 19:55:34.765000,P,122298
17716.8302857,2018-07-04 19:55:36.687000,S,122298
17716.8327547,2018-07-04 19:59:10.002000,P,122299
17716.832777,2018-07-04 19:59:11.936000,S,122299
17716.8367766,2018-07-04 20:04:57.501000,P,122300
17716.8367997,2018-07-04 20:04:59.494000,S,122300
17716.839267,2018-07-04 20:08:32.668000,P,122301
17716.8392921,2018-07-04 20:08:34.835000,S,122301
17716.8437464,2018-07-04 20:14:59.689000,P,122302
17716.84377,2018-07-04 20:15:01.730000,S,122302
17716.8563661,2018-07-04 20:33:10.030000,S,122304
17716.8566174,2018-07-04 20:33:31.741000,P,122305
17716.8566403,2018-07-04 20:33:33.718000,S,122305
17716.8626872,2018-07-04 20:42:16.172000,P,122306
17716.8627103,2018-07-04 20:42:18.167000,S,122306
17716.863472,2018-07-04 20:43:23.977000,S,122307
17716.8655166,2018-07-04 20:46:20.631000,S,122308
17716.8691346,2018-07-04 20:51:33.232000,S,122309
17716.8727686,2018-07-04 20:56:47.211000,P,122310
17716.8770448,2018-07-04 21:02:56.671000,P,122311
17716.8770665,2018-07-04 21:02:58.544000,S,122311
17716.8814305,2018-07-04 21:09:15.593000,P,122312
17716.8814554,2018-07-04 21:09:17.745000,S,122312
17716.8822301,2018-07-04 21:10:24.677000,S,122313
17716.8863892,2018-07-04 21:16:24.022000,P,122314
17716.8864134,2018-07-04 21:16:26.118000,S,122314
17716.8868038,2018-07-04 21:16:59.849000,P,122315
17716.8868309,2018-07-04 21:17:02.187000,S,122315
17716.8938034,2018-07-04 21:27:04.609000,P,122317
17716.8938262,2018-07-04 21:27:06.586000,S,122317
17716.8977209,2018-07-04 21:32:43.084000,P,122318
17716.8977435,2018-07-04 21:32:45.037000,S,122318
17716.9016644,2018-07-04 21:38:23.804000,S,122319
17716.9093624,2018-07-04 21:49:28.912000,P,122320
17716.9093888,2018-07-04 21:49:31.190000,S,122320
17716.9114399,2018-07-04 21:52:28.407000,P,122321
17716.9114631,2018-07-04 21:52:30.413000,S,122321
17716.9193685,2018-07-04 22:03:53.440000,P,122322
17716.9193944,2018-07-04 22:03:55.677000,S,122322
17716.9266535,2018-07-04 22:14:22.864000,P,122323
17716.9266734,2018-07-04 22:14:24.582000,S,122323
17716.9289387,2018-07-04 22:17:40.300000,P,122324
17716.9289608,2018-07-04 22:17:42.214000,S,122324
17716.9297528,2018-07-04 22:18:50.641000,P,122325
17716.9297747,2018-07-04 22:18:52.535000,S,122325
17716.9321625,2018-07-04 22:22:18.838000,S,122326
17716.9376139,2018-07-04 22:30:09.842000,S,122327
17716.9417264,2018-07-04 22:36:05.164000,P,122328
17716.9417489,2018-07-04 22:36:07.106000,S,122328
17716.9445416,2018-07-04 22:40:08.390000,P,122329
17716.9445662,2018-07-04 22:40:10.519000,S,122329
17716.94739,2018-07-04 22:44:14.496000,P,122330
17716.9474131,2018-07-04 22:44:16.490000,S,122330
17716.950137,2018-07-04 22:48:11.834000,P,122331
17716.9501599,2018-07-04 22:48:13.818000,S,122331
