plt_num,pickTime,Phase,event
17617.0544649,2018-03-27 01:18:25.769000,P,122029
17632.1050579,2018-04-11 02:31:17.004000,P,122060
17632.1051929,2018-04-11 02:31:28.664000,S,122060
17642.2643994,2018-04-21 06:20:44.110000,S,122074
17645.0437265,2018-04-24 01:02:57.973000,P,122077
17667.8808823,2018-05-16 21:08:28.227000,S,122140
17670.5881123,2018-05-19 14:06:52.905000,P,122147
17670.5881625,2018-05-19 14:06:57.241000,S,122147
17679.134174,2018-05-28 03:13:12.632000,P,122169
17684.3544203,2018-06-02 08:30:21.916000,P,122180
17689.9912915,2018-06-07 23:47:27.589000,P,122188
17689.9913677,2018-06-07 23:47:34.169000,S,122188
17691.103749,2018-06-09 02:29:23.911000,P,122195
17691.1038258,2018-06-09 02:29:30.548000,S,122195
17714.2497481,2018-07-02 05:59:38.232000,P,122246
17716.0765114,2018-07-04 01:50:10.584000,P,122249
17716.0821439,2018-07-04 01:58:17.233000,P,122251
17716.1401842,2018-07-04 03:21:51.910000,S,122253
17716.1611532,2018-07-04 03:52:03.632000,P,122256
17716.1611865,2018-07-04 03:52:06.513000,S,122256
17716.1650824,2018-07-04 03:57:43.118000,P,122257
17716.1801045,2018-07-04 04:19:21.032000,P,122260
17716.180138,2018-07-04 04:19:23.925000,S,122260
17716.2240829,2018-07-04 05:22:40.760000,P,122268
17716.2241169,2018-07-04 05:22:43.701000,S,122268
17716.2482187,2018-07-04 05:57:26.099000,P,122270
17716.2482538,2018-07-04 05:57:29.130000,S,122270
17716.378028,2018-07-04 09:04:21.617000,S,122280
17716.4527943,2018-07-04 10:52:01.426000,S,122281
17716.5202633,2018-07-04 12:29:10.747000,P,122284
17716.5202993,2018-07-04 12:29:13.861000,S,122284
17716.7328238,2018-07-04 17:35:15.972000,S,122289
17716.7699586,2018-07-04 18:28:44.423000,S,122291
17716.8149623,2018-07-04 19:33:32.738000,S,122295
17716.823415,2018-07-04 19:45:43.058000,P,122296
17716.8234527,2018-07-04 19:45:46.312000,S,122296
17716.8274075,2018-07-04 19:51:28.005000,P,122297
17716.8274396,2018-07-04 19:51:30.784000,S,122297
17716.8392779,2018-07-04 20:08:33.612000,P,122301
17716.8437616,2018-07-04 20:15:00.998000,P,122302
17716.843795,2018-07-04 20:15:03.891000,S,122302
17716.8634948,2018-07-04 20:43:25.947000,S,122307
17716.8814784,2018-07-04 21:09:19.737000,S,122312
17716.8868136,2018-07-04 21:17:00.695000,P,122315
17716.8938473,2018-07-04 21:27:08.406000,S,122317
17716.9093721,2018-07-04 21:49:29.751000,P,122320
17716.9114783,2018-07-04 21:52:31.722000,S,122321
17716.9321491,2018-07-04 22:22:17.679000,P,122326
17716.9321786,2018-07-04 22:22:20.231000,S,122326
17716.9445556,2018-07-04 22:40:09.600000,P,122329
17716.9445895,2018-07-04 22:40:12.532000,S,122329
17716.9763333,2018-07-04 23:25:55.198000,P,122335
17716.9924126,2018-07-04 23:49:04.452000,S,122338
17717.0244619,2018-07-05 00:35:13.507000,S,122342
17717.0268036,2018-07-05 00:38:35.831000,P,122343
17717.0268338,2018-07-05 00:38:38.438000,S,122343
17717.0382983,2018-07-05 00:55:08.976000,P,122348
17717.0555612,2018-07-05 01:20:00.487000,S,122352
17717.0589287,2018-07-05 01:24:51.443000,P,122353
17717.0589653,2018-07-05 01:24:54.604000,S,122353
17717.1002508,2018-07-05 02:24:21.668000,P,122360
17717.100284,2018-07-05 02:24:24.539000,S,122360
17717.1667551,2018-07-05 04:00:07.641000,P,122364
17717.1667893,2018-07-05 04:00:10.597000,S,122364
17717.1878627,2018-07-05 04:30:31.336000,S,122369
17717.3541405,2018-07-05 08:29:57.742000,P,122378
17717.3770564,2018-07-05 09:02:57.672000,P,122382
17717.3770892,2018-07-05 09:03:00.510000,S,122382
17717.4035087,2018-07-05 09:41:03.154000,P,122385
17717.4035448,2018-07-05 09:41:06.266000,S,122385
17717.4198391,2018-07-05 10:04:34.095000,P,122387
17717.4198728,2018-07-05 10:04:37.009000,S,122387
17717.6328291,2018-07-05 15:11:16.433000,S,122397
17717.8222452,2018-07-05 19:44:01.985000,S,122405
17717.8558971,2018-07-05 20:32:29.506000,S,122407
17717.864401,2018-07-05 20:44:44.250000,P,122409
17717.8644362,2018-07-05 20:44:47.290000,S,122409
17717.9727099,2018-07-05 23:20:42.133000,P,122416
17717.9871883,2018-07-05 23:41:33.071000,S,122417
17717.9979222,2018-07-05 23:57:00.480000,P,122419
17717.9979554,2018-07-05 23:57:03.342000,S,122419
17718.0230168,2018-07-06 00:33:08.653000,P,122420
17718.023049,2018-07-06 00:33:11.429000,S,122420
17718.0383545,2018-07-06 00:55:13.829000,P,122422
17718.0383919,2018-07-06 00:55:17.063000,S,122422
17718.0459954,2018-07-06 01:06:14.002000,P,122426
17718.0460288,2018-07-06 01:06:16.891000,S,122426
17718.0574504,2018-07-06 01:22:43.712000,P,122427
17718.0574868,2018-07-06 01:22:46.857000,S,122427
17718.0686749,2018-07-06 01:38:53.511000,P,122430
17718.2354233,2018-07-06 05:39:00.572000,S,122444
17718.4228499,2018-07-06 10:08:54.233000,S,122451
17718.717674,2018-07-06 17:13:27.034000,P,122472
17718.7177047,2018-07-06 17:13:29.686000,S,122472
17718.7304553,2018-07-06 17:31:51.334000,S,122474
17718.7708432,2018-07-06 18:30:00.855000,S,122478
17718.8333018,2018-07-06 19:59:57.274000,S,122483
17718.8477064,2018-07-06 20:20:41.834000,P,122487
17718.847745,2018-07-06 20:20:45.164000,S,122487
17718.8544116,2018-07-06 20:30:21.165000,S,122489
17718.8904075,2018-07-06 21:22:11.204000,S,122491
17718.9310807,2018-07-06 22:20:45.373000,S,122495
17718.9547464,2018-07-06 22:54:50.089000,P,122499
17718.9547787,2018-07-06 22:54:52.879000,S,122499
17718.9881837,2018-07-06 23:42:59.071000,P,122501
17719.0682417,2018-07-07 01:38:16.083000,S,122504
17719.0887612,2018-07-07 02:07:48.967000,P,122505
17719.0993295,2018-07-07 02:23:02.069000,P,122506
17719.1865951,2018-07-07 04:28:41.816000,P,122512
17719.490688,2018-07-07 11:46:35.443000,P,122523
17719.4907203,2018-07-07 11:46:38.235000,S,122523
17719.7244474,2018-07-07 17:23:12.252000,S,122529
17719.7316079,2018-07-07 17:33:30.923000,P,122530
17719.7316436,2018-07-07 17:33:34.002000,S,122530
17719.7434571,2018-07-07 17:50:34.696000,S,122532
17719.7698072,2018-07-07 18:28:31.341000,S,122537
17719.859367,2018-07-07 20:37:29.305000,S,122540
17720.0443921,2018-07-08 01:03:55.477000,S,122548
17720.3402759,2018-07-08 08:09:59.838000,S,122553
17720.4611733,2018-07-08 11:04:05.375000,P,122554
17720.4612076,2018-07-08 11:04:08.337000,S,122554
17720.5272388,2018-07-08 12:39:13.430000,P,122555
