evid,time_delay,corr_coef,angle_2d,Pp_2d,Ps_3d,Inclination_3d,angle_3d,Pp_3d
122186,0.04,0.88,297.0,0.991228685627,0.990587383883,15.2692385111,297.0,0.837089473006
122188,0.005,-0.94,239.8,0.856130493261,0.917517337784,10.7907234745,239.9,0.926836237801
122191,0.04,-0.76,249.7,0.857455740024,0.934003662338,-28.9415406257,249.5,0.982170307909
122192,0.23,0.85,240.9,0.839640201574,0.928218680276,-27.7823541426,240.8,0.993022323034
122195,0.21,0.75,217.6,0.963336540574,0.972757828969,-2.55029512951,217.6,0.940403934878
122196,0.215,0.59,218.1,0.979406464498,0.980722922387,-3.5615861561,218.1,0.840869012729
122200,0.04,-0.81,265.8,0.86646369168,0.940953622737,-30.3813855216,265.8,0.97503876261
122207,0.16,0.8,327.6,0.898124097497,0.932288271104,-22.7162032368,327.7,0.884014863991
122213,0.065,-0.74,322.5,0.954486373416,0.939331416794,-5.40140215546,322.5,0.893605779512
122214,0.215,0.9,268.4,0.955224459088,0.878515787969,-6.81768627309,268.3,0.848724420172
122216,0.22,0.91,267.9,0.961495431799,0.871503358458,-1.78624486765,267.9,0.833118359683
122239,0.045,0.9,348.0,0.966440478809,0.933233390903,8.23419800871,348.0,0.937831114912
122246,0.3,0.88,310.2,0.890851972684,0.945390731613,50.7086993107,310.0,0.567898438417
122247,0.29,0.92,283.2,0.935167693555,0.891737975876,2.36331504797,283.3,0.851960411898
122249,0.18,-0.93,346.3,0.918244167689,0.946798364643,10.3960342607,346.2,0.966553263475
122251,0.29,0.79,186.2,0.933798317063,0.960230762405,5.35403367522,186.2,0.932736375956
122254,0.03,0.92,331.9,0.877577917157,0.91389896332,-23.8425355704,332.3,0.975427621211
122255,0.275,0.9,240.8,0.901645012611,0.950155437995,18.0181947369,240.8,0.934584779169
122257,0.235,-0.83,201.0,0.971814815802,0.943040171784,-13.5730208162,201.0,0.802248949259
122258,0.3,0.65,240.8,0.969236696918,0.965090213561,16.7198797087,240.8,0.966210447611
122259,0.19,-0.81,237.1,0.96546978818,0.970550636418,9.74927816574,237.1,0.959907422923
122261,0.06,0.38,232.5,0.922653169881,0.898905197878,27.327677947,232.9,0.970596692073
122266,0.035,0.91,238.8,0.983716134012,0.979451759802,11.4558454586,238.8,0.859457126586
122267,0.3,0.8,229.0,0.985300069299,0.974500892321,-7.04801229951,229.0,0.956903954199
122269,0.15,-0.88,224.9,0.982258514988,0.955353055378,5.93221724126,224.9,0.953175185535
122270,0.27,0.82,261.3,0.936821744163,0.954846942912,16.9516580133,261.3,0.980286586909
122271,0.0,-0.73,250.2,0.935803763899,0.914467143419,-43.5829754832,250.8,0.983796414048
122272,0.165,-0.82,229.0,0.95626443096,0.93973490801,8.42073046762,229.1,0.965158289862
122274,0.29,0.89,224.0,0.995708153439,0.968477562394,2.26384092235,224.0,0.948371311349
122276,0.0,-0.79,190.3,0.896482861689,0.941859513741,19.8868640355,190.1,0.971328379893
122277,0.265,-0.55,345.7,0.867041554622,0.932285971614,-21.7624704742,345.8,0.916172237477
122278,0.25,-0.51,184.0,0.910664529472,0.951242908926,15.9083312016,184.0,0.864987161382
