evid,time_delay,corr_coef,angle_2d,Pp_2d,Ps_3d,Inclination_3d,angle_3d,Pp_3d
122022,0.16,-0.9,248.3,0.963325164828,0.940726271528,-4.43658025151,248.4,0.949000612911
122033,0.22,0.96,245.9,0.878642324976,0.818822826758,-17.6988236695,246.4,0.821335604425
122047,0.035,-0.98,317.7,0.814244652782,0.839113126668,-6.38224722827,317.5,0.775543578014
122049,0.04,-0.87,317.1,0.885439899944,0.770684246781,-45.5693060733,314.6,0.911899258003
122070,0.02,-0.99,332.9,0.858530552747,0.890282909817,-1.79550381154,332.9,0.752784181772
122073,0.015,-1.0,342.2,0.868875253521,0.924970367873,7.33336191889,342.2,0.853045683804
122074,0.275,-0.93,319.7,0.932310223213,0.943129382571,13.6086908642,319.6,0.964989244531
122077,0.19,0.98,345.3,0.96043035851,0.949493774462,-18.8391668033,345.4,0.87359379877
122102,0.24,-0.65,278.3,0.984400614407,0.974828020442,35.3500098004,278.3,0.87037763829
122129,0.03,0.91,263.9,0.969712095674,0.925459092493,13.8409014143,263.9,0.762084592686
122138,0.155,0.89,257.9,0.918780491411,0.94952047398,-13.1221813864,257.9,0.93855493872
122166,0.025,0.92,218.5,0.940438224484,0.950487422953,2.49719499122,218.5,0.700091192771
122169,0.145,-0.82,223.7,0.920695158137,0.918912250586,-41.0632289459,224.0,0.64213705936
122173,0.09,0.86,210.9,0.830607668118,0.887019195303,-14.3098576877,211.3,0.955595898719
122178,0.075,0.91,306.8,0.902330278608,0.908898344524,-3.6625477608,306.8,0.818160699171
122180,0.025,-0.93,236.3,0.92250935917,0.942013139559,8.74625560562,236.3,0.540297706868
122186,0.04,-0.97,310.7,0.967171654599,0.942053531106,-3.81294067954,310.7,0.607791977667
122188,0.065,-0.81,298.4,0.967542688176,0.910079754374,32.6926416353,298.3,0.853649127593
122195,0.035,-0.93,358.1,0.863985840175,0.924960713826,-22.434634392,358.1,0.81171222327
122207,0.14,-0.92,306.4,0.679099471104,0.808400992694,-10.8033586928,307.1,0.967276125065
122214,0.265,-0.82,249.9,0.941378994148,0.930591544244,-16.8665883746,250.0,0.888525857157
122220,0.04,0.98,303.7,0.976632066088,0.926384911555,21.5744909925,303.7,0.858406335403
122239,0.03,-0.99,196.4,0.9745422493,0.845441117558,11.8760969038,196.4,0.914236665596
122242,0.19,-0.8,213.2,0.972641291406,0.876908120056,-19.6341927219,213.1,0.904359742677
122246,0.02,0.85,189.2,0.922118146586,0.964256890311,-48.4611714643,189.3,0.758467047111
122247,0.235,-0.77,358.5,0.982667774871,0.961732398533,42.6593270606,358.5,0.910546649546
122249,0.135,-0.97,257.1,0.941549987013,0.886133453703,-9.37330365608,257.0,0.85426839141
122250,0.23,0.8,267.6,0.916569725336,0.917641398108,-20.1471307844,267.7,0.772705259432
122252,0.275,-0.73,307.3,0.837203686965,0.897001317727,22.5891943688,307.7,0.841330227482
122253,0.06,0.87,258.3,0.785697633076,0.872355042371,-10.8815523557,258.5,0.894975135125
122254,0.14,-0.78,271.7,0.958563592816,0.849730007098,27.3463110367,271.4,0.941226301984
122256,0.125,-0.86,284.0,0.977776291847,0.967464794875,-4.62714822097,284.0,0.902162388706
122257,0.205,0.95,340.2,0.845467056486,0.909833880809,14.1462863356,340.0,0.926215650087
122258,0.3,-0.94,276.4,0.955363317791,0.896871139553,-42.3217393138,276.2,0.849374545983
122259,0.235,0.61,247.1,0.952280411628,0.901853149869,-33.5601076358,246.8,0.938042539841
122260,0.17,-0.73,244.6,0.958033974497,0.906788244476,-22.0951959686,244.5,0.891215659229
122261,0.06,0.81,255.2,0.824956011589,0.896281137055,-13.3326205026,255.4,0.906935299316
