evid,time_delay,corr_coef,angle_2d,Pp_2d,Ps_3d,Inclination_3d,angle_3d,Pp_3d
122186,0.205,0.79,337.4,0.926585349487,0.895062870594,-48.0134991992,338.3,0.935003992954
122188,0.03,-0.75,268.6,0.904345769933,0.854370936074,-14.8742232114,269.0,0.971399146395
122189,0.115,0.98,223.9,0.922860112711,0.955567683245,29.9238906504,224.0,0.704132081073
122192,0.22,-0.71,181.8,0.960892105028,0.966961114148,8.97699127531,181.8,0.802190901609
122195,0.23,0.8,264.9,0.892075695907,0.938824151545,34.9636586308,265.0,0.617581185317
122196,0.225,0.88,259.2,0.902552058623,0.934749641442,28.4422367174,259.4,0.958708528544
122205,0.1,0.86,203.8,0.929688902286,0.956904394908,-5.64339498784,203.8,0.878684708732
122210,0.155,-0.97,244.5,0.957605914679,0.88466565621,26.395145396,244.2,0.985055145079
122211,0.195,-0.9,200.3,0.92164499414,0.897368886481,-7.2291498871,200.4,0.830154579203
122214,0.13,-0.91,240.9,0.886590035207,0.935947959553,4.24174084108,240.9,0.969035015083
122216,0.13,-0.98,248.7,0.917827963589,0.934589747356,12.9487617715,248.8,0.89447505299
122220,0.03,-0.99,200.6,0.910219135311,0.930891273711,23.7916031224,200.8,0.895042162195
122228,0.005,-0.94,332.4,0.945271229158,0.967943050128,11.0509199658,332.4,0.837505168076
122239,0.225,0.89,335.7,0.789222558369,0.816646137528,19.2274886726,334.7,0.808732947051
122246,0.115,0.69,270.8,0.913523950406,0.930837901105,32.0949237829,271.1,0.845073680735
122247,0.105,0.77,282.9,0.913245913518,0.929018422679,41.8242396026,283.3,0.805375752489
122249,0.16,-0.45,194.2,0.955962257708,0.931038577342,-21.8801212254,194.3,0.959824597606
122250,0.075,0.85,183.7,0.931348891513,0.955331497972,8.12692871419,183.7,0.7511729105
122251,0.28,-0.89,280.4,0.788749824578,0.873160747756,-30.2236706029,279.3,0.905342946216
122253,0.065,0.82,212.7,0.899038034155,0.941350621782,3.32517843932,212.7,0.959156740952
122254,0.085,0.91,267.7,0.949031553783,0.965229929596,2.47472818834,267.7,0.828719114738
122255,0.08,0.86,355.2,0.941881302883,0.935578324216,19.5350827843,355.1,0.928914348181
122256,0.015,-0.89,347.5,0.899005587834,0.930500268034,9.8411230979,347.6,0.957889357708
122257,0.065,0.92,285.0,0.956487383864,0.902424214738,27.8913034503,285.2,0.988271751723
122258,0.23,-0.95,332.4,0.815708198394,0.889062897754,-11.0169491011,332.6,0.880836399506
122259,0.065,0.87,181.5,0.918976899399,0.953902581667,-11.6558785788,181.5,0.85387117907
122260,0.245,-0.89,228.3,0.943592904664,0.948820696093,6.30212753492,228.3,0.562834594013
122261,0.195,-0.93,215.6,0.838672677349,0.842960291373,18.8074137949,216.4,0.919084411459
122262,0.01,0.92,239.8,0.853030131836,0.903363946224,0.869420525425,239.8,0.959150791783
122263,0.125,0.9,260.8,0.81269631497,0.899800647265,14.5795753558,260.9,0.927760123631
122264,0.1,-0.78,218.9,0.963371855626,0.970202626184,-9.00659090801,218.9,0.590362388299
122266,0.09,-0.86,222.2,0.851081253038,0.911661825627,-5.16676980912,222.2,0.861459962916
122267,0.235,-0.93,328.5,0.843370315411,0.911191074858,7.76987630312,328.4,0.989025581538
122268,0.185,-0.83,261.2,0.80273160826,0.901439356931,16.1634841793,261.3,0.971437328527
122269,0.06,-0.51,331.5,0.864735633123,0.938616378663,-28.0649327135,331.5,0.98354852032
122270,0.105,0.87,341.0,0.993563105027,0.908189369389,6.37495378042,341.0,0.978869667425
122272,0.185,0.97,291.9,0.971834153125,0.976036488779,-3.76624449942,291.9,0.885792227667
122273,0.015,-0.85,331.2,0.992562427764,0.969734243252,17.1944643379,331.2,0.99227400926
122274,0.0,-0.89,355.0,0.937359871081,0.922025450858,-0.41932130011,355.0,0.979029316159
122275,0.29,0.73,358.4,0.87692468105,0.874455709392,53.7324756175,180.5,0.928850036418
122276,0.025,-0.85,343.2,0.952266296426,0.973525212444,5.8706984658,343.2,0.94260946734
122277,0.29,-0.84,309.1,0.981804235268,0.982790497402,28.5942361309,309.2,0.243357343527
122278,0.285,-0.86,318.0,0.966600425885,0.959404122092,19.5409111518,318.0,0.689311687362
