evid,time_delay,corr_coef,angle_2d,Pp_2d,Ps_3d,Inclination_3d,angle_3d,Pp_3d
122033,0.27,0.73,330.7,0.780302894612,0.788075016214,10.0679443016,330.0,0.921206805534
122073,0.245,0.93,338.1,0.625604969482,0.766884174767,-50.639142753,349.0,0.970075521233
122079,0.205,-0.78,229.1,0.813052192589,0.917806217612,45.986394571,229.5,0.780679628132
122164,0.3,0.73,232.0,0.941805232753,0.962743620248,36.0853030917,232.1,0.648172426495
122166,0.255,0.51,295.5,0.952422566677,0.94889411271,-1.92327453331,295.5,0.543509416973
122169,0.205,0.94,199.7,0.934623358788,0.965742141304,-9.51841414457,199.7,0.95895226432
122180,0.27,0.84,342.6,0.932465886343,0.957204447693,-26.9626056387,342.5,0.694131970572
122186,0.14,-0.81,314.7,0.978208379217,0.952818709199,49.5306832703,314.9,0.948198453482
122188,0.04,-0.73,324.6,0.931382409567,0.971378680619,-37.7531865506,324.6,0.945678139888
122192,0.065,0.75,336.2,0.963669748278,0.926680957904,-31.8401255398,336.1,0.915329767013
122195,0.035,-0.62,333.1,0.862351677419,0.919325094,-38.4321619526,333.8,0.953477464816
122196,0.04,-0.6,334.0,0.88327670156,0.896187698687,-32.9218228182,334.7,0.891629056147
122209,0.175,0.76,344.0,0.979555862567,0.956684953862,-10.8028724121,344.1,0.890695814753
122214,0.175,-0.81,204.8,0.960379107318,0.939728123561,25.6863416968,204.9,0.95537864296
122216,0.105,0.59,216.7,0.947775958071,0.971343049564,3.72957672874,216.7,0.905114176149
122249,0.065,-0.94,202.4,0.897908135105,0.862837693498,37.0240690396,203.5,0.970646631516
122251,0.29,0.86,309.0,0.755251610258,0.858381565875,-21.3816677923,309.8,0.917075972185
122256,0.3,0.59,348.1,0.951626353806,0.883227408552,-38.5954757528,348.4,0.861834530438
122257,0.235,-0.59,213.4,0.852800246389,0.93825572618,49.8577201111,212.9,0.881917955259
122258,0.05,-0.88,358.7,0.842272638782,0.894326059269,-25.5456933145,359.2,0.847847336081
122259,0.2,0.74,263.9,0.854198748456,0.874869657622,22.5789871705,263.3,0.881514330705
122260,0.3,0.62,259.2,0.806321150835,0.89329653232,26.3466286947,259.5,0.824017115605
122263,0.265,0.46,336.7,0.958034769434,0.961739989234,-46.1807083215,336.6,0.615607840226
122264,0.085,-0.91,255.6,0.971140263667,0.948956148193,14.2026620471,255.6,0.874499158151
122265,0.045,-0.95,227.6,0.813587008125,0.884694702361,15.4553839382,227.2,0.976357925967
122267,0.195,0.94,226.7,0.889953253124,0.899046413883,-5.67456000665,226.6,0.661648303106
122268,0.23,0.85,288.4,0.940741027177,0.905894448166,-5.41636171099,288.3,0.888032438855
122269,0.255,-0.93,241.8,0.919407426754,0.943795312411,-7.90506459196,241.8,0.914013367179
122270,0.135,-0.63,258.0,0.786403796117,0.850441563026,27.6872908088,256.9,0.830421603692
122271,0.3,0.93,353.2,0.929547270226,0.929557179255,-19.1094757971,353.3,0.824401320132
122272,0.225,0.58,327.0,0.921421736016,0.948991228635,-7.12719673713,327.0,0.97021139438
122274,0.135,-0.91,258.5,0.851522191505,0.913689920344,0.97818469127,258.5,0.884644890311
122275,0.15,0.87,183.6,0.979136101564,0.880733389949,13.8564301489,183.5,0.970377428535
122276,0.265,0.61,344.5,0.946796337815,0.893064619294,5.92930768455,344.6,0.922634678633
122277,0.03,0.96,267.8,0.926498731837,0.935158241353,19.6793564644,268.0,0.887523122342
122278,0.005,0.55,194.0,0.936793917335,0.852813246624,29.2987764782,194.3,0.84248988172
122279,0.27,0.77,262.4,0.920284726766,0.901846973445,15.6173481917,262.6,0.89764912308
122280,0.28,-0.9,220.1,0.846555953876,0.911077385925,29.4485944161,220.6,0.897863565802
122282,0.105,-0.92,293.7,0.960153185534,0.968184635068,-19.6547906168,293.7,0.589005254122
122283,0.05,-0.96,249.7,0.967337977855,0.970978432506,24.9516315264,249.6,0.953801257622
122284,0.04,-0.95,341.7,0.918830557547,0.838778214384,-29.4076484584,342.3,0.875278780771
122289,0.26,-0.93,251.0,0.947306166463,0.937853527298,35.6183613169,250.8,0.968505565876
122292,0.255,0.75,338.3,0.967594687005,0.942487250589,-25.7728927736,338.4,0.842382636774
122293,0.3,-0.85,345.6,0.984410298246,0.925507901024,-43.7602462727,345.7,0.981606371701
122294,0.18,0.57,266.8,0.905032978827,0.944443164758,35.1157186941,266.7,0.616999640985
122297,0.23,-0.95,341.7,0.946547191945,0.922390688624,-53.2699470812,342.0,0.805384389448
122299,0.25,0.91,312.9,0.904285054031,0.922069741856,28.674243143,312.8,0.522755732352
122300,0.06,-0.97,205.4,0.933883253677,0.945233559516,20.6842000935,205.4,0.46766457583
122301,0.02,-0.85,269.4,0.957619838725,0.887699372493,-11.043846309,269.3,0.907537553338
122302,0.015,-0.61,351.5,0.898440783969,0.835690308941,-32.4076722617,352.4,0.869725601916
122303,0.23,-0.96,243.0,0.97357445501,0.873647566523,-1.35716919682,243.0,0.885665820048
122304,0.155,0.64,190.0,0.915566711559,0.951988566684,18.1667907056,190.1,0.909825303692
122305,0.29,-0.85,219.4,0.926406809821,0.964936142673,41.716193239,219.4,0.736133342907
122309,0.29,0.86,356.8,0.81478168183,0.896715874755,-7.00785954892,356.8,0.885306899016
122311,0.08,0.93,279.1,0.959697110993,0.881193284967,8.76023857709,279.0,0.880011487759
122313,0.075,0.85,246.3,0.939988606019,0.940868845218,-3.99590866346,246.3,0.667910840823
122314,0.015,-0.87,262.7,0.860111512019,0.922500509018,19.6916074924,262.6,0.871992034345
122315,0.24,-0.89,244.8,0.94972309923,0.964716174977,-9.52592549623,244.9,0.812184609271
122318,0.03,-0.69,345.1,0.933619422203,0.878947529234,-5.4093271273,345.2,0.797177815545
122319,0.005,-0.83,246.8,0.60199240797,0.755646730725,11.0600716628,245.3,0.969237674695
122320,0.18,-0.62,217.4,0.985578430044,0.992200526243,31.7248376554,217.4,0.728887147691
122321,0.3,0.51,266.0,0.77731650398,0.880602782876,13.3293107846,266.0,0.898572099081
122322,0.145,0.96,233.0,0.74810954155,0.746676215516,18.1148279977,231.7,0.674004268415
122324,0.265,-0.8,357.7,0.976406490709,0.942458317002,-43.1705248406,357.8,0.859212776196
122325,0.235,-0.92,306.5,0.596437518723,0.752152467572,-3.67832463925,306.9,0.934258435037
122326,0.27,0.82,246.3,0.976852330664,0.900003678131,-7.1025907505,246.3,0.974045830804
122327,0.295,0.92,188.9,0.828512630345,0.904364779938,14.4919921942,189.1,0.955598453661
122328,0.035,-0.84,314.3,0.739994357705,0.720056419292,-9.18640804479,315.5,0.952576898511
122331,0.075,0.96,276.1,0.798497875424,0.866169349394,57.5381032188,272.1,0.913241877403
122334,0.035,-0.92,303.6,0.866805543953,0.62467640626,35.3170706192,301.1,0.873847385342
122339,0.205,0.95,223.7,0.880693697381,0.928323904362,-9.86368441051,223.7,0.820770898073
122341,0.22,-0.93,214.3,0.637997641393,0.817133268795,18.840160662,214.2,0.933541383771
122343,0.04,-0.82,244.9,0.974601952522,0.876773523143,0.319423883102,244.9,0.981093436327
122347,0.265,-0.91,223.7,0.975446603207,0.963677809564,35.0247829261,223.7,0.667734318333
122348,0.3,0.8,253.3,0.814697829364,0.867279876975,13.1007222103,253.7,0.928384708983
122350,0.145,0.75,275.8,0.890157663053,0.898846679668,11.1068129319,275.9,0.563794524836
122351,0.13,-0.87,283.4,0.727101098277,0.822015997011,0.028890158284,283.4,0.90426612914
122353,0.045,-0.94,337.8,0.843297628811,0.685112581824,-7.86763799264,337.6,0.695676837343
122355,0.025,-0.85,272.2,0.966256777729,0.847536413249,15.219833152,272.3,0.917788878553
122357,0.255,-0.91,2.2,0.842263267903,0.864842587762,-1.24588064601,182.2,0.758764813605
122358,0.25,-0.9,343.0,0.833705318665,0.844640995072,-13.2460014492,343.4,0.789523583723
122364,0.24,0.53,295.0,0.886592458274,0.917702902301,9.45311035302,294.9,0.924214207755
122365,0.205,0.72,288.2,0.898101504305,0.793449780092,0.967444398842,288.2,0.739830724035
122366,0.035,-0.83,300.4,0.88753833181,0.935531050462,-31.0728055646,300.6,0.894175247072
122369,0.035,-0.65,251.5,0.934277947503,0.874278591963,27.9331986205,251.1,0.885534809807
122370,0.255,0.73,342.4,0.981581298468,0.95191571113,-32.2603345698,342.5,0.930978957829
122379,0.15,0.74,202.7,0.945624544322,0.927847563364,14.5475248305,202.8,0.876216111231
122382,0.055,-0.82,344.3,0.95875835797,0.927642467351,-10.6840745899,344.2,0.73240982819
122385,0.05,-0.95,303.8,0.881880370146,0.902935475009,-36.8516629026,303.2,0.711250578888
122386,0.16,0.73,271.8,0.636268883483,0.773097376004,7.11993807013,272.5,0.96200906584
122387,0.3,0.6,330.8,0.885917524309,0.948868702426,-58.1439187729,331.3,0.70842152955
122394,0.29,0.79,199.7,0.954577928973,0.963252989013,33.9044065524,199.7,0.537465758044
122397,0.15,-0.81,255.1,0.97571287599,0.980639522977,17.6817695523,255.1,0.371129185624
122398,0.04,-0.84,239.4,0.92690059548,0.963914133398,-20.8863581441,239.5,0.983383972746
122399,0.23,-0.86,260.3,0.992039810245,0.980025498207,-0.143742902272,260.3,0.819598273341
122402,0.04,-0.94,237.4,0.764021044965,0.855495634355,-3.18017523479,237.5,0.934508046639
122403,0.065,-0.9,216.4,0.808943711004,0.88780351884,28.3120028071,215.8,0.854172445229
122408,0.08,0.96,278.6,0.953784192566,0.960475752365,21.7660739284,278.7,0.769916929311
122410,0.25,0.93,348.4,0.978462560276,0.96258654979,3.14993248496,348.4,0.871800165385
122412,0.16,0.92,218.0,0.89168023386,0.922482905244,55.0208683807,218.9,0.839864526825
122413,0.16,0.96,280.1,0.752481209633,0.856393258967,3.26400508583,280.0,0.948509968948
122416,0.015,-0.9,270.3,0.81674804323,0.902225067822,23.1034933576,270.6,0.953543684579
122417,0.17,0.96,266.4,0.965665637735,0.941576857275,-9.70916523677,266.4,0.592386467326
122418,0.0,-0.83,257.6,0.90414630407,0.944632662899,-6.05518858285,257.6,0.839081715239
122419,0.225,-0.93,305.0,0.912794560238,0.95587130124,-27.0927424013,304.9,0.942929172155
122420,0.235,-0.95,255.1,0.96018072465,0.905006497591,3.60022431813,255.1,0.808954014464
122430,0.25,-0.93,255.4,0.962953426189,0.921421673878,-37.8922750979,255.5,0.806730162504
122432,0.17,0.31,207.1,0.971040204096,0.982452405967,53.2207941541,207.1,0.658193398249
122434,0.26,-0.93,326.4,0.933008859757,0.952966575005,-45.8961334669,326.6,0.695076734564
122439,0.3,0.75,245.9,0.977943068716,0.891353279599,-1.25685497354,245.9,0.982429595617
122441,0.095,0.35,305.8,0.917426372741,0.957592821825,-30.7876483643,306.0,0.975994304575
122444,0.235,-0.98,273.4,0.925973237868,0.91630453862,-52.9345057977,272.9,0.749007698675
122446,0.12,0.74,257.2,0.862946200754,0.895754989346,-20.7909795466,257.6,0.935210389696
122447,0.0,0.59,206.1,0.629750689388,0.79096126644,20.0258577313,206.9,0.837462976504
122448,0.045,-0.74,356.0,0.966900421755,0.969441277891,-18.7585229667,356.0,0.187129695698
122449,0.05,0.77,271.0,0.984676867635,0.97680948242,23.9371218027,271.0,0.674489347894
122456,0.18,0.75,349.1,0.730676196587,0.821249439058,0.739678850373,349.1,0.887261884843
122457,0.3,-0.69,213.1,0.803579198688,0.845975917719,12.8604472677,213.7,0.949874747612
122460,0.065,-0.93,200.4,0.704578018253,0.869051639858,39.1379380681,201.2,0.893051769306
122464,0.04,-0.93,267.9,0.937434344751,0.881334400953,-54.1742481937,267.2,0.863397814597
122465,0.15,0.89,241.3,0.751128564307,0.84943035849,-9.87831519459,241.8,0.967656142377
122467,0.065,-0.78,285.9,0.92298675533,0.885433635429,11.8876639534,286.0,0.630345056999
122472,0.165,0.92,338.7,0.957778428372,0.92177772331,-21.9242970589,338.8,0.759438610159
122474,0.3,0.64,325.2,0.983545107321,0.969754234046,-4.45890809367,325.2,0.812574568774
122476,0.085,0.53,296.1,0.900099907666,0.929559590004,1.45507116436,296.1,0.883259283257
122479,0.255,0.95,318.3,0.824602938724,0.822439091171,22.9405980173,317.1,0.903534856005
122480,0.27,-0.98,216.5,0.836030876433,0.878581386833,28.8075010572,215.5,0.973791991865
122481,0.285,0.74,334.7,0.924184513164,0.94263427792,-17.4078508919,334.6,0.976344260519
122482,0.07,-0.94,214.8,0.945676167414,0.852303079691,22.0447699387,214.9,0.799487083496
122483,0.06,-0.79,305.2,0.770526862796,0.900742144652,-40.2907019897,305.7,0.908757619085
122484,0.045,-0.93,269.9,0.957283619164,0.862630251605,-1.80238852831,270.0,0.907580913875
122485,0.29,-0.84,0.4,0.911947962013,0.906212824889,36.5175118309,180.1,0.694097536181
122486,0.265,0.81,338.5,0.895803894603,0.930408031747,-12.6390271798,338.4,0.743803981097
122487,0.235,0.72,205.5,0.89200054322,0.880578261034,40.45759774,204.5,0.891506616574
122488,0.29,-0.69,189.2,0.788243017449,0.8882249085,-1.05219476938,189.2,0.953651105121
122489,0.285,-0.76,330.6,0.985025720052,0.821383978087,12.2369445099,330.7,0.957299201543
122491,0.205,-0.9,326.6,0.84943957483,0.917946094405,-14.4828216303,326.6,0.877503233629
122497,0.125,0.89,236.3,0.964536125946,0.83456782321,1.96501504753,236.3,0.977099562588
122499,0.07,-0.93,220.4,0.974195986996,0.926033898508,25.044763552,220.4,0.81856307931
122500,0.28,0.96,188.7,0.938889466762,0.948974632979,1.79908887751,188.7,0.800521993476
122501,0.155,0.93,253.6,0.925329634218,0.868939373887,8.26147675364,253.7,0.875894880965
122502,0.01,-0.93,252.5,0.975412040218,0.968169432281,-17.9903847974,252.5,0.831947654426
122506,0.245,-0.94,326.4,0.956748030007,0.973615670009,-36.2705618696,326.4,0.530949768527
122507,0.245,-0.96,318.8,0.929731222594,0.958192835291,-40.6526868373,318.9,0.709686762813
122511,0.14,0.86,291.0,0.891690276221,0.937616078256,1.50683247046,291.0,0.891459460733
122512,0.285,-0.8,183.8,0.900222608521,0.922127474547,39.1276810398,184.2,0.758351400257
122513,0.14,0.97,221.3,0.957965692042,0.942446572177,-0.903147389043,221.3,0.857361363115
122521,0.19,0.57,191.5,0.774814321723,0.91014458464,45.6506942017,191.9,0.876486645323
122524,0.285,-0.82,350.8,0.826273655773,0.907589869437,-38.0653255356,349.9,0.977498909966
122526,0.115,-0.78,295.8,0.898982319117,0.886929317987,-37.8501239746,296.7,0.963784064497
122527,0.24,0.83,316.8,0.875214028807,0.931159554962,21.5510877193,317.0,0.954079975146
122533,0.15,0.8,297.0,0.877758277907,0.932883529444,11.2135620605,296.9,0.904142374725
122535,0.23,-0.78,299.0,0.915100921366,0.937098509235,4.68000525926,299.0,0.727048831899
122537,0.3,0.68,298.7,0.978725479491,0.967282648332,10.5215714996,298.7,0.877601120203
122539,0.29,-0.91,333.4,0.954330180993,0.967334011098,-43.8180392636,333.3,0.963084099486
122540,0.06,0.54,256.0,0.934009690926,0.933344645762,-6.43960475807,256.0,0.0521704544861
122541,0.3,0.64,267.5,0.942923164519,0.944732936796,-21.8764844947,267.6,0.325215311391
122542,0.27,-0.94,224.5,0.923092697095,0.738408402707,36.018399115,223.1,0.935833594302
122544,0.05,-0.84,189.7,0.877425021411,0.930158721885,24.0402502591,189.9,0.816856977921
122555,0.3,0.69,298.4,0.987596454782,0.9875913208,-0.403402507406,298.4,0.493350935972
122556,0.28,-0.9,202.7,0.885477929998,0.946147666092,47.2363029546,203.2,0.949820374649
