evid,time_delay,corr_coef,angle_2d,Pp_2d,Ps_3d,Inclination_3d,angle_3d,Pp_3d
122144,0.185,0.95,270.9,0.961141893469,0.971899044855,-18.5713761447,270.9,0.789093918989
122186,0.25,0.6,290.4,0.924106173071,0.917839983208,0.021735027694,290.4,0.867167731206
122188,0.3,-0.97,239.1,0.872593051098,0.933355386998,-29.008427258,238.9,0.903424305508
122211,0.175,-0.94,204.5,0.844507587404,0.885511283253,-22.7356574048,205.1,0.910516006303
122217,0.21,0.96,180.6,0.983736856077,0.918395639308,-29.5253575521,180.6,0.905283114673
122220,0.0,0.69,235.2,0.844902021379,0.907464645969,6.63485282216,235.2,0.904292426219
122228,0.14,-0.87,257.9,0.976518395336,0.955604982309,-9.64618891322,257.9,0.842352520231
122260,0.24,0.83,269.0,0.929347950976,0.915657379703,0.242800002636,269.0,0.864813034023
122268,0.09,-0.86,301.8,0.907476281996,0.916328485875,-13.5680218564,301.9,0.791714568055
122284,0.0,0.52,276.4,0.973107849779,0.98509767359,-5.20377151264,276.4,0.901798994931
122287,0.2,0.62,306.4,0.946828167893,0.900506662346,-6.66014209161,306.3,0.955271628848
122296,0.3,0.37,270.9,0.996720881729,0.976730782298,8.2646566105,270.9,0.959889263358
122302,0.095,0.46,226.6,0.990600858029,0.989644426636,-2.97744763255,226.6,0.606711068233
122369,0.245,0.69,303.2,0.92347421754,0.941272413993,-2.84375422006,303.2,0.763059144807
122382,0.3,-0.62,214.5,0.885129934741,0.922463273012,-10.438031901,214.6,0.963232485986
122387,0.22,0.6,262.5,0.958799337711,0.95747079463,1.41285023185,262.5,0.814530711979
122400,0.03,-0.43,333.6,0.975966850609,0.975927211445,-8.17721060906,333.6,0.718906378172
122408,0.095,0.62,217.7,0.972321156641,0.971575055322,11.607146748,217.7,0.676810994098
122409,0.165,0.51,332.5,0.98268000017,0.981942570272,11.7660475303,332.5,0.955855264243
122422,0.195,-0.93,181.9,0.930198417897,0.947273160852,-4.63214295143,182.0,0.896599560374
122426,0.13,0.74,325.5,0.913210914709,0.923449883809,38.3421402817,325.6,0.267745389273
122505,0.105,0.59,252.0,0.989890652636,0.979546852316,6.20344318593,252.0,0.763866170298
122554,0.075,0.58,227.6,0.874461757016,0.928347516131,-18.0553946366,227.8,0.960850678265
122555,0.045,0.37,200.5,0.942862201744,0.964734310205,5.04059249458,200.5,0.854339048946
122556,0.055,0.63,213.1,0.980047273285,0.982342579061,-14.9076079447,213.1,0.921336945734
122557,0.085,0.73,211.6,0.987946411217,0.983481675335,9.36446392697,211.6,0.564787057347
122564,0.195,0.55,243.7,0.991046907164,0.889887342056,-27.1480839937,243.7,0.988157709003
122565,0.13,-0.89,295.7,0.987270706004,0.972259010301,13.2454076995,295.7,0.978067873053
122571,0.15,-0.32,326.9,0.989010210707,0.97349551613,-7.17762134211,326.9,0.743877972999
122632,0.23,-0.53,244.9,0.854654346395,0.921482623794,-4.54824465311,244.9,0.943136168745
122702,0.155,-0.92,275.9,0.992732127462,0.978690526172,-29.7324482681,275.9,0.832060116126
122703,0.145,-0.73,268.8,0.925461199131,0.868034548499,-37.6311792559,268.1,0.870722775153
122723,0.025,-0.18,251.7,0.758977792566,0.869271217105,-15.2629068958,252.0,0.932808774258
