evid,time_delay,corr_coef,angle_2d,Pp_2d,Ps_3d,Inclination_3d,angle_3d,Pp_3d
123261,0.235,-0.9,197.0,0.948189733437,0.950876877316,-21.2051255174,196.9,0.76447563868
123270,0.14,-0.65,268.0,0.899564001154,0.872059467986,-15.2794316749,267.8,0.810913357657
123274,0.145,0.84,192.2,0.982562337328,0.970164768997,-1.01456040967,192.2,0.893250867159
123281,0.21,-0.85,186.5,0.899194437903,0.944031152756,-41.4239871875,186.3,0.688485982638
123282,0.25,0.93,208.5,0.935022075985,0.952677499318,-22.1621282078,208.4,0.963836222928
123283,0.15,0.85,282.7,0.9084585562,0.949521813512,-27.5711479865,282.8,0.864923786845
123294,0.275,0.95,217.3,0.846689091482,0.900088176221,-5.54247837619,217.4,0.957728115817
123295,0.205,-0.93,335.7,0.752953257684,0.810585092407,-29.249312343,333.9,0.806334003113
123304,0.01,-0.89,196.2,0.792413257189,0.866443749858,-17.6396235398,195.6,0.970374321531
123309,0.075,0.79,188.2,0.990163409296,0.944360143462,19.3127765037,188.2,0.966313196491
123319,0.125,-0.74,185.6,0.960329573667,0.973128658915,-18.1532423844,185.6,0.577055906708
123321,0.22,-0.89,318.7,0.96554270409,0.905782140571,32.4929813419,318.8,0.878176315381
123325,0.035,0.82,217.5,0.891759773672,0.943206201256,-14.3153066826,217.5,0.940785884454
123332,0.13,-0.57,346.3,0.977118353978,0.97220024748,2.33718815747,346.3,0.606979649545
123338,0.21,0.96,187.1,0.893377719947,0.939022828139,-0.0853926224492,187.1,0.899818640166
123341,0.05,0.45,261.8,0.95695451073,0.970338588321,-15.9204331651,261.7,0.677135102221
123344,0.025,0.77,303.6,0.917475848328,0.956235015596,11.8151658075,303.6,0.940940073863
123349,0.0,0.66,232.9,0.932057042027,0.964269274594,-15.102834492,232.9,0.911494968149
123354,0.095,0.9,358.3,0.926501155139,0.907145853885,-1.64130946318,358.3,0.980385309934
123356,0.14,-0.86,231.8,0.976685016635,0.953035282777,3.81699909349,231.8,0.781297248203
123357,0.175,0.78,358.1,0.981349850294,0.919896402768,11.3672679249,358.0,0.905344765781
123364,0.03,-0.86,202.6,0.93450062609,0.947458513547,-1.63411139733,202.6,0.934397536967
123370,0.175,-0.96,196.8,0.882223139393,0.913677234693,11.6199889448,196.6,0.965096639716
123373,0.08,0.84,343.1,0.87852695647,0.937597236747,1.43064967407,343.1,0.978389516129
123375,0.095,0.98,303.1,0.968222498095,0.972733887234,9.21491443344,303.1,0.638453820189
