evid,time_delay,corr_coef,angle_2d,Pp_2d,Ps_3d,Inclination_3d,angle_3d,Pp_3d
122022,0.265,0.94,213.0,0.960430256078,0.96032535343,-11.7318964853,213.0,0.819015424733
122047,0.29,0.87,355.9,0.866762946624,0.919636811721,22.269769838,356.1,0.777715246043
122073,0.295,-0.9,183.7,0.920504304679,0.835796645231,-10.4357091696,183.5,0.907521508493
122077,0.275,0.92,326.4,0.929235070723,0.908654185972,5.88246266502,326.3,0.985356507326
122138,0.29,0.88,189.8,0.966160014119,0.955461175997,11.1457585674,189.8,0.884927257854
122144,0.245,-0.78,299.0,0.880086336951,0.913368919625,-67.1357047882,301.2,0.877191271844
122147,0.06,0.92,227.5,0.878278760915,0.893742151939,27.1421514732,228.0,0.863552409492
122164,0.01,0.82,202.1,0.955734726533,0.914127223625,-4.69489934207,202.1,0.901677254807
122166,0.24,0.82,350.7,0.942319550172,0.960123923141,7.11667187072,350.7,0.623860790152
122169,0.025,0.99,219.7,0.839255516876,0.906480147492,33.7175138771,220.3,0.896161991205
122173,0.075,0.8,304.1,0.377478610958,0.620410213884,22.8603824687,294.9,0.921237738891
122180,0.19,-0.84,209.7,0.927846083108,0.957228819472,13.8098364958,209.7,0.788979213387
122186,0.12,0.93,211.3,0.985209065251,0.934842193728,49.2075725989,211.2,0.951677818692
122188,0.06,-0.99,357.0,0.887257290942,0.909389495043,-11.5306945717,357.1,0.867116245162
122195,0.055,-0.98,197.9,0.985267496724,0.966024279886,-24.6551800867,197.9,0.76704352308
122196,0.045,-0.99,216.6,0.894764091016,0.930968883699,-39.6476441002,216.2,0.870309297067
122220,0.29,0.9,356.6,0.97424108626,0.966725501909,8.35064280497,356.6,0.880861168268
122246,0.165,0.75,357.5,0.974330132974,0.971075906872,24.7681966431,357.5,0.73279616759
122247,0.28,-0.83,345.1,0.875665698287,0.935813174341,25.7357974678,345.1,0.861501513844
122249,0.08,0.87,235.0,0.991913367092,0.960153506545,13.707490545,235.0,0.962153157028
122250,0.285,0.95,274.3,0.955351943486,0.902171332017,26.2156839634,274.3,0.754204096869
122251,0.01,-0.6,245.7,0.944023670472,0.951116225863,-33.1833102548,245.9,0.82262365264
122252,0.1,0.89,276.9,0.888419921305,0.890829376105,-1.34454313672,276.8,0.937784805646
122254,0.1,0.76,286.7,0.886036707434,0.936949715808,-3.77916239666,286.8,0.979762482118
122257,0.105,0.69,282.0,0.915536323734,0.951465393563,-2.51057032058,282.0,0.873852367437
