evid,time_delay,corr_coef,angle_2d,Pp_2d,Ps_3d,Inclination_3d,angle_3d,Pp_3d
122060,0.15,0.95,193.5,0.901701396503,0.907900582676,11.4224761993,193.3,0.800495833419
122074,0.0,0.68,344.0,0.931698263095,0.935862620628,20.734029014,344.2,0.965605832664
122140,0.07,-0.81,354.2,0.909373122907,0.934025625308,20.3728179614,354.3,0.914290742786
122147,0.22,0.71,279.8,0.868936092069,0.950762478518,-45.1686917226,280.0,0.960070373163
122188,0.0,0.52,303.3,0.936239498839,0.932116810837,-25.7873804833,303.1,0.926710432258
122195,0.0,0.56,300.3,0.969828068753,0.940690559411,-15.5663869141,300.3,0.892595814057
122253,0.055,-0.88,208.1,0.980661508969,0.960334935451,-32.4396368512,208.2,0.962472559734
122256,0.095,-0.71,299.1,0.881734382317,0.916791838779,-40.2675213279,299.7,0.79519004796
122260,0.1,-0.63,348.7,0.977399254296,0.98586488597,19.6135250299,348.8,0.841065566463
122268,0.205,0.84,359.4,0.887370181599,0.923313138814,-7.72552194831,359.3,0.849353793858
122270,0.225,0.88,258.8,0.923450792202,0.893906479648,-24.6783695804,259.0,0.642615193088
122280,0.04,-0.94,234.1,0.922839196024,0.918081985705,-44.4046850159,234.4,0.669180461612
122281,0.14,-0.85,346.0,0.963309996015,0.972107629056,5.42132803361,346.0,0.608436787365
122284,0.215,0.82,208.9,0.914967555374,0.94798863648,-12.5472762944,208.8,0.983956010905
122289,0.02,-0.92,188.0,0.952966806606,0.939800599065,10.8103011198,188.0,0.667464067833
122291,0.015,-0.83,359.0,0.914040822686,0.910379976061,-24.5443668176,359.0,0.244408178303
122295,0.215,0.96,354.0,0.863754009419,0.935662593744,28.2820727128,354.2,0.993265490225
122296,0.07,-0.86,204.7,0.938694493573,0.924196932232,-16.0693824788,204.8,0.876494895866
122297,0.135,-0.91,309.9,0.800132257971,0.878707914091,-22.7368254251,310.7,0.980994777579
122302,0.135,-0.7,313.3,0.959018603297,0.89093255135,48.5860518237,312.7,0.993310200643
122307,0.145,-0.78,346.8,0.963992858285,0.897802896689,18.6997563228,346.9,0.9826777461
122312,0.05,-0.94,259.3,0.787772493331,0.885857083961,-50.8657734005,261.4,0.820156158725
122317,0.025,0.96,308.9,0.984694444275,0.980749137516,15.3113207393,308.9,0.380260386154
122321,0.105,-0.93,323.2,0.91721329261,0.940675155116,23.3589578659,323.4,0.889715327879
122326,0.205,0.71,348.4,0.947076818061,0.893252281061,31.5130102992,348.0,0.959786003166
122329,0.01,-0.86,338.6,0.908483965216,0.889595106731,-34.6830117103,338.0,0.863536834123
122338,0.2,0.9,194.1,0.96963278683,0.914057221376,-13.0273990915,194.2,0.945489942543
122342,0.21,0.86,350.0,0.911347171545,0.93676205184,18.6036007992,350.2,0.910484606148
122343,0.14,-0.93,280.7,0.951334984753,0.948849308288,-29.696177203,280.7,0.321840249961
122352,0.215,0.99,356.0,0.984700162941,0.955114266897,14.0161325129,356.0,0.918813844673
122353,0.13,-0.97,192.3,0.918485831154,0.949408635945,2.65728816645,192.3,0.799014070404
122360,0.21,0.96,356.2,0.983145230372,0.932210368406,12.3989286927,356.2,0.985428303779
122364,0.3,0.92,293.6,0.857905184933,0.934851193388,-51.2199072123,292.8,0.878094683668
122369,0.29,0.79,307.8,0.968026165165,0.963148882231,-7.86416255899,307.8,0.835479409246
122382,0.295,0.71,308.7,0.957293471837,0.974337393477,-11.2677593568,308.8,0.835953003101
122385,0.135,-0.97,1.6,0.882101530938,0.933906886699,6.22573296781,181.6,0.892363510315
122387,0.035,-0.7,193.5,0.946287360653,0.953150998253,-4.3615202488,193.5,0.568470048711
122397,0.11,-0.63,348.3,0.87885305595,0.930619001436,-21.832479498,348.4,0.839962263179
122405,0.3,0.67,324.0,0.970113468144,0.967441582139,39.736476645,324.0,0.966504968069
122407,0.05,-0.93,306.9,0.806164086212,0.879888231988,-40.7983069752,305.2,0.932569074712
122409,0.02,-0.96,347.8,0.906834555522,0.892217387749,27.896903673,347.3,0.959353176132
122417,0.0,0.79,327.9,0.942912478501,0.952643962369,-12.8356238171,328.0,0.699886833334
122419,0.07,-0.97,315.4,0.958217722148,0.928128130089,8.48233675321,315.4,0.987941323188
122420,0.035,-0.97,224.2,0.819598221376,0.936517701116,-47.4127726489,224.1,0.961137893513
122422,0.22,0.89,182.7,0.983671732038,0.92627548421,-22.21446554,182.7,0.961438856815
122426,0.05,-0.8,335.5,0.811342341955,0.854028118568,32.0470428928,337.2,0.964413275451
122427,0.125,-0.85,262.6,0.68376526241,0.852736903179,-24.9181465576,262.6,0.973117087726
122444,0.085,-0.95,295.0,0.901322333645,0.921856458313,-4.41659313108,295.1,0.619601323228
122451,0.035,-0.87,225.9,0.833122429321,0.863983558664,5.87517187905,225.7,0.822796855679
122472,0.19,0.92,336.5,0.807719514666,0.915069061357,50.3818230088,337.6,0.8520599222
122474,0.21,0.88,315.2,0.827703198189,0.831605278297,-30.7699846671,313.8,0.844005551358
122478,0.215,0.96,345.2,0.966825897386,0.782465102756,24.1733679041,345.4,0.938435875902
122483,0.26,0.92,194.0,0.971352384857,0.967415869888,-34.2585441576,194.0,0.872070350015
122487,0.26,0.85,202.9,0.966975342394,0.960062180907,-14.3261223855,203.0,0.912644489739
122489,0.21,0.88,314.9,0.898773030734,0.929763720484,-4.16706052346,314.9,0.815913147141
122491,0.095,-0.94,320.5,0.935245482977,0.954599912103,27.3928127827,320.6,0.964822413749
122495,0.3,0.69,341.1,0.796952951094,0.892736818341,7.41348907016,341.0,0.992058133047
122499,0.005,0.96,301.4,0.952367857356,0.937456086454,-42.4891341032,301.6,0.85732239939
122504,0.295,0.98,283.2,0.947970647904,0.945981714785,-55.7869139324,283.2,0.639186360089
122523,0.08,-0.98,237.4,0.930692805096,0.944667364746,-50.9905189968,237.9,0.958456416238
122529,0.04,-0.92,190.7,0.820091171156,0.91822346888,-40.7089573802,191.4,0.944072540422
122530,0.295,0.83,218.3,0.983585643857,0.907249822083,-17.4508008861,218.3,0.921453898238
